Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
Egypt,2020-04-21,3490,264,870,2356,3.410401235171107,7.564469914040115
South Africa,2020-04-21,3465,58,1055,2352,5.842283633175403,1.673881673881674
Morocco,2020-04-21,3209,145,393,2671,8.693885291647478,4.518541601745092
Algeria,2020-04-21,2811,392,1152,1267,6.4103441198604365,13.945215225898258
Cameroon,2020-04-21,1163,43,329,791,4.381074361485723,3.697334479793637
Ghana,2020-04-21,1042,9,99,934,3.3533936214720175,0.8637236084452975
Djibouti,2020-04-21,945,2,112,831,95.64777327935222,0.21164021164021166
Cote d'Ivoire,2020-04-21,916,13,303,600,3.4725907953597694,1.4192139737991267
Tunisia,2020-04-21,884,38,148,698,7.47948218969456,4.298642533936651
Guinea,2020-04-21,688,6,127,555,5.238711642427473,0.872093023255814
Nigeria,2020-04-21,665,22,188,455,0.3225962937809256,3.308270676691729
Niger,2020-04-21,657,20,127,510,2.7140909654232246,3.0441400304414
Burkina Faso,2020-04-21,600,38,362,200,2.8704013777926614,6.333333333333334
Senegal,2020-04-21,412,5,242,165,2.460582895365504,1.2135922330097086
Congo (Kinshasa),2020-04-21,350,25,35,290,0.39079510054599653,7.142857142857142
Mauritius,2020-04-21,328,9,243,76,25.78616352201258,2.7439024390243905
Kenya,2020-04-21,296,14,74,208,0.5504826021461382,4.72972972972973
Somalia,2020-04-21,286,8,4,274,1.7995343862077646,2.797202797202797
Mali,2020-04-21,258,14,57,187,1.2740111599427189,5.426356589147287
Tanzania,2020-04-21,254,10,11,233,0.42521846854387785,3.937007874015748
Congo (Brazzaville),2020-04-21,165,6,16,143,2.9902138455962306,3.6363636363636362
Gabon,2020-04-21,156,1,16,139,7.008086253369273,0.641025641025641
Rwanda,2020-04-21,150,0,84,66,1.1581222977146386,0.0
Madagascar,2020-04-21,121,0,44,77,0.43696507890650393,0.0
Ethiopia,2020-04-21,114,3,16,95,0.09916147663616437,2.631578947368421
Sudan,2020-04-21,107,12,8,87,0.24401924787338367,11.214953271028037
Liberia,2020-04-21,101,8,7,86,1.9968366943455913,7.920792079207921
Togo,2020-04-21,86,6,56,24,1.0387727986471795,6.976744186046512
Equatorial Guinea,2020-04-21,83,0,7,76,5.915894511760513,0.0
Zambia,2020-04-21,70,3,35,32,0.3807658833768494,4.285714285714286
Cabo Verde,2020-04-21,68,1,1,66,12.23021582733813,1.4705882352941175
Uganda,2020-04-21,61,0,38,23,0.13335956800244855,0.0
Benin,2020-04-21,54,1,27,26,0.4454342984409799,1.8518518518518516
Libya,2020-04-21,51,1,15,35,0.7422500363848057,1.9607843137254901
Guinea-Bissau,2020-04-21,50,0,3,47,2.540650406504065,0.0
Sierra Leone,2020-04-21,50,0,6,44,0.6268020559107434,0.0
Mozambique,2020-04-21,39,0,8,31,0.12478003519436891,0.0
Eritrea,2020-04-21,39,0,6,33,1.0998307952622675,0.0
Chad,2020-04-21,33,0,8,25,0.2009010105929624,0.0
Eswatini,2020-04-21,31,1,8,22,2.6724137931034484,3.225806451612903
Zimbabwe,2020-04-21,28,3,2,23,0.1883872704030142,10.714285714285714
Angola,2020-04-21,24,2,6,16,0.0730237935860768,8.333333333333332
Botswana,2020-04-21,20,1,0,19,0.8503401360544218,5.0
Malawi,2020-04-21,18,2,3,13,0.09409304756926294,11.11111111111111
Namibia,2020-04-21,16,0,6,10,0.6296733569460842,0.0
Central African Republic,2020-04-21,14,0,10,4,0.2898550724637681,0.0
Seychelles,2020-04-21,11,0,5,6,11.224489795918368,0.0
Gambia,2020-04-21,10,1,2,7,0.4137360364087712,10.0
Mauritania,2020-04-21,7,1,6,0,0.15053763440860216,14.285714285714285
Burundi,2020-04-21,5,1,4,0,0.04204860819106888,20.0
South Sudan,2020-04-21,4,0,0,4,0.035733428622476325,0.0
Sao Tome and Principe,2020-04-21,4,0,0,4,1.82648401826484,0.0
Comoros,2020-04-21,0,0,0,0,0.0,
Lesotho,2020-04-21,0,0,0,0,0.0,
