Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-11-06,734175,19749,675593,38833,1237.8812659124249,2.689958116252937
Morocco,2020-11-06,246349,4127,200954,41268,667.4135081682966,1.6752655785085386
Egypt,2020-11-06,108754,6343,100106,2305,106.27357476498524,5.83242915203119
Ethiopia,2020-11-06,98746,1512,58103,39131,85.89297519223409,1.5312012638486623
Libya,2020-11-06,66444,915,38624,26905,967.0208121088633,1.3770995123713203
Tunisia,2020-11-06,66334,1577,36727,28030,561.2488366190033,2.3773630415774716
Nigeria,2020-11-06,63731,1155,59844,2732,30.916367517221303,1.8123048437965825
Algeria,2020-11-06,60800,2024,41510,17266,138.65134204465122,3.3289473684210527
Kenya,2020-11-06,60704,1093,40131,19480,112.89356716445668,1.8005403268318398
Ghana,2020-11-06,48788,320,47521,947,157.01090979306792,0.6558989915553005
Cameroon,2020-11-06,22103,429,21151,523,83.26301514352444,1.9409129982355338
Cote d'Ivoire,2020-11-06,20801,126,20477,198,78.85738115095913,0.6057401086486227
Madagascar,2020-11-06,17111,244,16409,458,61.79264020800982,1.4259832856057506
Zambia,2020-11-06,16819,349,15862,608,91.48716275021758,2.0750341875260125
Senegal,2020-11-06,15676,326,15294,56,93.62159579550884,2.079612145955601
Sudan,2020-11-06,14033,837,6764,6432,32.003010330908346,5.964512221192902
Uganda,2020-11-06,13852,131,7727,5994,30.283553048687175,0.945711810568871
Mozambique,2020-11-06,13485,99,11275,2111,43.14509678451447,0.7341490545050056
Namibia,2020-11-06,13143,133,11578,1432,517.2373081463991,1.011945522331279
Guinea,2020-11-06,12363,73,10751,1539,94.13690702809716,0.5904715683895495
Angola,2020-11-06,12223,300,5626,6297,37.19040954177569,2.454389266137609
Congo (Kinshasa),2020-11-06,11517,315,10838,364,12.859391922823551,2.735087262307893
Cabo Verde,2020-11-06,9224,100,8363,761,1658.992805755396,1.0841283607979184
Gabon,2020-11-06,9022,55,8878,89,405.3009883198563,0.6096209266238084
Zimbabwe,2020-11-06,8471,250,7983,238,56.9938774137119,2.9512454255695904
Botswana,2020-11-06,7835,27,5534,2274,333.12074829931976,0.3446075303126994
Mauritania,2020-11-06,7804,165,7469,170,167.8279569892473,2.114300358790364
Eswatini,2020-11-06,5976,117,5704,155,515.1724137931035,1.957831325301205
Malawi,2020-11-06,5942,184,5346,412,31.06116048092002,3.096600471221811
Djibouti,2020-11-06,5604,61,5481,62,567.2064777327935,1.0885082084225552
Congo (Brazzaville),2020-11-06,5379,92,3887,1400,97.48097136643712,1.7103550845882134
Rwanda,2020-11-06,5208,36,4953,219,40.21000617665225,0.6912442396313364
Equatorial Guinea,2020-11-06,5092,85,4968,39,362.93656450463294,1.6692851531814612
Central African Republic,2020-11-06,4866,62,1924,2880,100.74534161490682,1.2741471434443075
Somalia,2020-11-06,4229,107,3247,875,26.609199018435792,2.530148971388035
Gambia,2020-11-06,3684,121,3527,36,152.42035581299132,3.2844733984799133
Mali,2020-11-06,3657,137,2817,703,18.058367488025283,3.7462400875034185
South Sudan,2020-11-06,2943,59,1290,1594,26.290870108986958,2.0047570506286103
Benin,2020-11-06,2745,43,2466,236,22.642910170749815,1.5664845173041893
Burkina Faso,2020-11-06,2562,67,2366,129,12.256613883174664,2.615144418423107
Togo,2020-11-06,2460,57,1720,683,29.713733542698396,2.317073170731707
Guinea-Bissau,2020-11-06,2414,42,1862,510,122.66260162601625,1.739850869925435
Sierra Leone,2020-11-06,2373,74,1807,492,29.74802557352388,3.1184155077960387
Lesotho,2020-11-06,1967,44,1024,899,91.83006535947712,2.236908998474835
Chad,2020-11-06,1538,99,1362,77,9.363204675514428,6.436931079323798
Liberia,2020-11-06,1442,82,1310,50,28.509292210359828,5.6865464632454925
Niger,2020-11-06,1230,69,1143,18,5.081174866774074,5.609756097560976
Sao Tome and Principe,2020-11-06,960,16,910,34,438.35616438356163,1.6666666666666667
Burundi,2020-11-06,606,1,511,94,5.096291312757548,0.16501650165016502
Comoros,2020-11-06,557,7,525,25,64.02298850574712,1.2567324955116697
Tanzania,2020-11-06,509,21,183,305,0.8521110255465899,4.12573673870334
Eritrea,2020-11-06,484,0,429,55,13.649182177100958,0.0
Mauritius,2020-11-06,453,10,416,27,35.613207547169814,2.207505518763797
Seychelles,2020-11-06,158,0,155,3,161.22448979591837,0.0
