Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-10-05,682215,17016,615684,49515,1150.272302685933,2.4942283590950067
Morocco,2020-10-05,134695,2369,113336,18990,364.91831703286283,1.7587883737332493
Egypt,2020-10-05,103781,5990,97398,393,101.41399730294918,5.771769399022943
Ethiopia,2020-10-05,79437,1230,34016,44191,69.09728262760517,1.548396842781072
Nigeria,2020-10-05,59465,1113,50951,7401,28.84690016493645,1.8716892289582108
Algeria,2020-10-05,52270,1768,36672,13830,119.19910606371576,3.382437344557107
Ghana,2020-10-05,46829,303,46060,466,150.7064010555788,0.6470349569711076
Kenya,2020-10-05,39449,735,27035,11679,73.36482490561828,1.8631650992420594
Libya,2020-10-05,37437,596,22076,14765,544.8551884732935,1.592007906616449
Tunisia,2020-10-05,22230,321,5032,16877,188.08697859378967,1.4439946018893388
Cameroon,2020-10-05,20924,420,19764,740,78.82166804791683,2.007264385394762
Cote d'Ivoire,2020-10-05,19885,120,19490,275,75.38479035559936,0.6034699522252954
Madagascar,2020-10-05,16570,233,15601,736,59.838936838684056,1.4061557030778515
Senegal,2020-10-05,15122,312,12870,1940,90.31294792164357,2.063219150905965
Zambia,2020-10-05,15089,334,14306,449,82.07680591818973,2.213533037311949
Sudan,2020-10-05,13660,836,6764,6060,31.152363793929165,6.120058565153733
Namibia,2020-10-05,11654,125,9451,2078,458.63833136560413,1.0725931010811738
Guinea,2020-10-05,10800,67,10161,572,82.2355897357801,0.6203703703703703
Congo (Kinshasa),2020-10-05,10778,274,10239,265,12.034255981956433,2.542215624420115
Mozambique,2020-10-05,9296,66,6104,3126,29.742441209406493,0.7099827882960413
Uganda,2020-10-05,8965,82,5078,3805,19.599484051507403,0.9146681539319576
Gabon,2020-10-05,8808,54,8135,619,395.68733153638817,0.6130790190735695
Zimbabwe,2020-10-05,7898,228,6424,1246,53.13866648725022,2.886806786528235
Mauritania,2020-10-05,7523,162,7204,157,161.78494623655914,2.153396251495414
Cabo Verde,2020-10-05,6433,68,5524,841,1157.0143884892086,1.0570495880615576
Malawi,2020-10-05,5794,180,4541,1073,30.287506534239416,3.1066620642043494
Eswatini,2020-10-05,5579,112,5141,326,480.948275862069,2.0075282308657463
Angola,2020-10-05,5530,199,2591,2740,16.82589910545853,3.5985533453887886
Djibouti,2020-10-05,5421,61,5352,8,548.6842105263157,1.1252536432392548
Congo (Brazzaville),2020-10-05,5089,89,3887,1113,92.2254440014498,1.7488701120062882
Equatorial Guinea,2020-10-05,5045,83,4879,83,359.5866001425517,1.6451932606541129
Rwanda,2020-10-05,4867,29,3226,1612,37.577208153180976,0.5958495993425108
Central African Republic,2020-10-05,4845,62,1914,2869,100.31055900621118,1.279669762641899
Somalia,2020-10-05,3745,99,3010,636,23.563833134084188,2.643524699599466
Gambia,2020-10-05,3594,115,2226,1253,148.69673148531237,3.1997774067890927
Mali,2020-10-05,3189,131,2482,576,15.74737050022221,4.107870805895264
Botswana,2020-10-05,3172,16,710,2446,134.8639455782313,0.5044136191677175
South Sudan,2020-10-05,2726,50,1290,1386,24.352331606217618,1.834189288334556
Guinea-Bissau,2020-10-05,2385,40,1728,617,121.1890243902439,1.6771488469601679
Benin,2020-10-05,2357,41,1973,343,19.44238224861833,1.7394993635977938
Sierra Leone,2020-10-05,2269,72,1706,491,28.444277297229537,3.1732040546496254
Burkina Faso,2020-10-05,2184,59,1420,705,10.448261015165288,2.7014652014652016
Togo,2020-10-05,1864,48,1403,413,22.514796473003987,2.575107296137339
Lesotho,2020-10-05,1683,39,926,718,78.57142857142857,2.3172905525846703
Liberia,2020-10-05,1354,82,1236,36,26.769474100434955,6.056129985228951
Chad,2020-10-05,1223,86,1075,62,7.4455132107634245,7.031888798037612
Niger,2020-10-05,1200,69,1115,16,4.957243772462511,5.75
Sao Tome and Principe,2020-10-05,913,15,888,10,416.89497716894977,1.642935377875137
Burundi,2020-10-05,514,1,472,41,4.32259692204188,0.19455252918287938
Tanzania,2020-10-05,509,21,183,305,0.8521110255465899,4.12573673870334
Comoros,2020-10-05,487,7,466,14,55.97701149425287,1.4373716632443532
Eritrea,2020-10-05,398,0,358,40,11.223914269599549,0.0
Mauritius,2020-10-05,387,10,357,20,30.424528301886795,2.5839793281653747
Seychelles,2020-10-05,146,0,143,3,148.9795918367347,0.0
