Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-04-06,1686,12,95,1579,2.8427388760559107,0.7117437722419928
Algeria,2020-04-06,1423,173,90,1160,3.245079929762149,12.157413914265636
Egypt,2020-04-06,1322,85,259,978,1.2918482615748432,6.429652042360061
Morocco,2020-04-06,1120,80,81,959,3.0343258107339275,7.142857142857142
Cameroon,2020-04-06,658,9,17,632,2.4787161907632034,1.3677811550151975
Tunisia,2020-04-06,596,22,5,569,5.0427278111515355,3.691275167785235
Burkina Faso,2020-04-06,364,18,108,238,1.7413768358608812,4.945054945054945
Cote d'Ivoire,2020-04-06,323,3,41,279,1.2245052695428007,0.9287925696594427
Niger,2020-04-06,253,10,26,217,1.0451522286941795,3.9525691699604746
Mauritius,2020-04-06,244,7,7,230,19.18238993710692,2.8688524590163933
Nigeria,2020-04-06,238,5,35,198,0.11545551566896284,2.100840336134454
Senegal,2020-04-06,226,2,92,132,1.3497372193024366,0.8849557522123894
Ghana,2020-04-06,214,5,31,178,0.6887008013387829,2.336448598130841
Congo (Kinshasa),2020-04-06,161,18,5,138,0.17976574625115843,11.180124223602485
Kenya,2020-04-06,158,6,4,148,0.29383868628070897,3.79746835443038
Guinea,2020-04-06,128,0,5,123,0.9746440264981344,0.0
Rwanda,2020-04-06,105,0,4,101,0.8106856084002471,0.0
Djibouti,2020-04-06,90,0,9,81,9.109311740890687,0.0
Madagascar,2020-04-06,82,0,2,80,0.29612509479614313,0.0
Togo,2020-04-06,58,3,23,32,0.7005677014132141,5.172413793103448
Uganda,2020-04-06,52,0,0,52,0.11368356616602174,0.0
Mali,2020-04-06,47,5,9,33,0.23208730433065036,10.638297872340425
Congo (Brazzaville),2020-04-06,45,5,2,38,0.8155128669807901,11.11111111111111
Ethiopia,2020-04-06,44,2,4,38,0.038272850631502035,4.545454545454546
Zambia,2020-04-06,39,1,5,33,0.21214099216710186,2.564102564102564
Eritrea,2020-04-06,31,0,0,31,0.8742244782853921,0.0
Benin,2020-04-06,26,1,5,20,0.2144683659160274,3.8461538461538463
Gabon,2020-04-06,24,1,1,22,1.078167115902965,4.166666666666666
Tanzania,2020-04-06,24,1,3,20,0.04017812301201996,4.166666666666666
Libya,2020-04-06,19,1,1,17,0.27652452335904526,5.263157894736842
Guinea-Bissau,2020-04-06,18,0,0,18,0.9146341463414633,0.0
Angola,2020-04-06,16,2,2,12,0.04868252905738453,12.5
Equatorial Guinea,2020-04-06,16,0,3,13,1.1404133998574484,0.0
Namibia,2020-04-06,16,0,3,13,0.6296733569460842,0.0
Liberia,2020-04-06,14,3,3,8,0.276789244760775,21.428571428571427
Sudan,2020-04-06,12,2,2,8,0.027366644621314055,16.666666666666664
Seychelles,2020-04-06,11,0,0,11,11.224489795918368,0.0
Mozambique,2020-04-06,10,0,1,9,0.03199488081906895,0.0
Eswatini,2020-04-06,10,0,4,6,0.8620689655172413,0.0
Zimbabwe,2020-04-06,10,1,0,9,0.0672811680010765,10.0
Chad,2020-04-06,9,0,0,9,0.054791184707171564,0.0
Central African Republic,2020-04-06,8,0,0,8,0.16563146997929606,0.0
Cabo Verde,2020-04-06,7,1,1,5,1.2589928057553956,14.285714285714285
Somalia,2020-04-06,7,0,1,6,0.04404454791417605,0.0
Sierra Leone,2020-04-06,6,0,0,6,0.07521624670928921,0.0
Mauritania,2020-04-06,6,1,2,3,0.12903225806451613,16.666666666666664
Botswana,2020-04-06,6,1,0,5,0.25510204081632654,16.666666666666664
Malawi,2020-04-06,5,0,0,5,0.026136957658128592,0.0
Sao Tome and Principe,2020-04-06,4,0,0,4,1.82648401826484,0.0
Gambia,2020-04-06,4,1,2,1,0.16549441456350847,25.0
Burundi,2020-04-06,3,0,0,3,0.025229164914641326,0.0
South Sudan,2020-04-06,1,0,0,1,0.008933357155619081,0.0
Lesotho,2020-04-06,0,0,0,0,0.0,
Comoros,2020-04-06,0,0,0,0,0.0,
