Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-07-30,482169,7812,309601,164756,812.9777942639397,1.6201788169708131
Egypt,2020-07-30,93757,4774,38236,50747,91.61862137705943,5.091886472476722
Nigeria,2020-07-30,42689,878,19270,22541,20.70874163190065,2.05673592728806
Ghana,2020-07-30,35142,175,31286,3681,113.0949699095678,0.4979796255193216
Algeria,2020-07-30,29831,1200,20082,8549,68.02809514036167,4.022660990245047
Morocco,2020-07-30,23259,346,17311,5602,63.01373574273252,1.487596199320693
Kenya,2020-07-30,19913,325,8121,11467,37.032973163973146,1.632099633405313
Cameroon,2020-07-30,17255,391,15320,1544,65.00037670458826,2.2660098522167487
Ethiopia,2020-07-30,16615,263,6763,9589,14.45235030096378,1.5829070117363828
Cote d'Ivoire,2020-07-30,15978,100,11160,4718,60.57320494351354,0.625860558267618
Sudan,2020-07-30,11579,725,6001,4853,26.406531505849625,6.261335175749201
Madagascar,2020-07-30,10748,105,7461,3182,38.81405510815789,0.9769259397097133
Senegal,2020-07-30,10106,204,6725,3177,60.355948399426666,2.018602810211755
Congo (Kinshasa),2020-07-30,9010,215,6437,2358,10.060182445484084,2.386237513873474
Gabon,2020-07-30,7352,49,4943,2360,330.27852650494157,0.6664853101196953
Guinea,2020-07-30,7242,46,6438,758,55.14353156171477,0.6351836509251587
Mauritania,2020-07-30,6295,157,4889,1249,135.3763440860215,2.494042891183479
Zambia,2020-07-30,5555,149,3289,2117,30.21649260226284,2.6822682268226825
Djibouti,2020-07-30,5081,58,4999,24,514.2712550607288,1.1415075772485732
Central African Republic,2020-07-30,4605,59,1574,2972,95.34161490683229,1.2812160694896852
Malawi,2020-07-30,3858,107,1760,1991,20.167276529012025,2.7734577501296007
Libya,2020-07-30,3438,73,604,2761,50.03638480570514,2.1233275159976728
Somalia,2020-07-30,3212,93,1562,1557,20.210155414333357,2.895392278953923
Congo (Brazzaville),2020-07-30,3200,54,829,2317,57.99202609641174,1.6875
Zimbabwe,2020-07-30,3092,53,924,2115,20.803337145932854,1.7141009055627425
Equatorial Guinea,2020-07-30,3071,51,842,2178,218.888096935139,1.660696841419733
Eswatini,2020-07-30,2577,40,1134,1403,222.1551724137931,1.5521924718665114
Mali,2020-07-30,2522,124,1931,467,12.453705989827663,4.9167327517842985
Cabo Verde,2020-07-30,2418,23,1694,701,434.8920863309353,0.9511993382961125
South Sudan,2020-07-30,2322,46,1175,1101,20.743255315347508,1.9810508182601205
Namibia,2020-07-30,2052,10,164,1878,80.7556080283353,0.4873294346978557
Rwanda,2020-07-30,1994,5,1085,904,15.395305744286597,0.25075225677031093
Guinea-Bissau,2020-07-30,1981,26,803,1152,100.66056910569105,1.3124684502776376
Sierra Leone,2020-07-30,1818,67,1362,389,22.79052275291463,3.685368536853685
Mozambique,2020-07-30,1808,11,638,1159,5.784674452087666,0.6084070796460177
Benin,2020-07-30,1805,36,1036,733,14.889053864554977,1.9944598337950137
Tunisia,2020-07-30,1514,50,1187,277,12.809882392757425,3.302509907529723
Liberia,2020-07-30,1181,73,667,441,23.34914986160538,6.181202370872143
Uganda,2020-07-30,1147,2,1028,117,2.507597122931287,0.17436791630340018
Niger,2020-07-30,1134,69,1028,37,4.684595364977072,6.084656084656085
Angola,2020-07-30,1109,51,395,663,3.374307795289965,4.598737601442742
Burkina Faso,2020-07-30,1106,53,935,118,5.291106539731139,4.792043399638336
Chad,2020-07-30,935,75,813,47,5.6921953001339345,8.02139037433155
Togo,2020-07-30,908,18,626,264,10.967508153158594,1.9823788546255507
Sao Tome and Principe,2020-07-30,870,15,771,84,397.2602739726027,1.7241379310344827
Botswana,2020-07-30,804,2,63,739,34.183673469387756,0.24875621890547264
Lesotho,2020-07-30,604,13,144,447,28.197945845004668,2.152317880794702
Tanzania,2020-07-30,509,21,183,305,0.8521110255465899,4.12573673870334
Gambia,2020-07-30,403,8,66,329,16.67356226727348,1.9851116625310175
Burundi,2020-07-30,387,1,304,82,3.2545622739887308,0.2583979328165375
Comoros,2020-07-30,378,7,330,41,43.44827586206896,1.8518518518518516
Mauritius,2020-07-30,344,10,332,2,27.044025157232703,2.9069767441860463
Eritrea,2020-07-30,279,0,225,54,7.868020304568528,0.0
Seychelles,2020-07-30,114,0,39,75,116.3265306122449,0.0
