Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-05-17,15515,264,7006,8245,26.159604781736327,1.7015791169835643
Egypt,2020-05-17,12229,630,3172,8427,11.950085015732796,5.151688609044076
Algeria,2020-05-17,7019,548,3507,2964,16.006476477161296,7.807379968656504
Morocco,2020-05-17,6870,192,3660,3018,18.612337785484,2.7947598253275108
Nigeria,2020-05-17,5959,182,1594,4183,2.8907538566023088,3.054203725457292
Ghana,2020-05-17,5735,29,1754,3952,18.45653783027065,0.5056669572798606
Cameroon,2020-05-17,3105,140,1567,1398,11.696677465531529,4.508856682769726
Guinea,2020-05-17,2658,16,1133,1509,20.239092362750323,0.601956358164033
Senegal,2020-05-17,2480,25,973,1482,14.811275680840899,1.0080645161290323
Sudan,2020-05-17,2289,97,222,1970,5.220187461515656,4.237658366098733
Cote d'Ivoire,2020-05-17,2109,27,1004,1078,7.995299112897111,1.2802275960170697
Congo (Kinshasa),2020-05-17,1455,61,270,1124,1.6245910608412142,4.192439862542955
Somalia,2020-05-17,1421,56,152,1213,8.941043226577738,3.9408866995073892
Djibouti,2020-05-17,1401,4,972,425,141.80161943319837,0.28551034975017847
Gabon,2020-05-17,1320,11,244,1065,59.299191374663074,0.8333333333333334
Tunisia,2020-05-17,1037,45,816,176,8.774007953295541,4.339440694310511
Guinea-Bissau,2020-05-17,990,4,26,960,50.30487804878049,0.40404040404040403
Niger,2020-05-17,904,54,698,152,3.734456975255092,5.9734513274336285
Kenya,2020-05-17,887,50,313,524,1.6495880679176507,5.636978579481398
Mali,2020-05-17,860,52,494,314,4.2467038664757295,6.046511627906977
Burkina Faso,2020-05-17,796,51,644,101,3.8080658278715975,6.407035175879397
Zambia,2020-05-17,753,7,188,558,4.095953002610966,0.9296148738379815
Equatorial Guinea,2020-05-17,594,7,22,565,42.33784746970777,1.1784511784511784
Tanzania,2020-05-17,509,21,183,305,0.8521110255465899,4.12573673870334
Sierra Leone,2020-05-17,505,32,141,332,6.330700764698509,6.336633663366337
Chad,2020-05-17,503,53,117,333,3.0622184341896994,10.536779324055665
Congo (Brazzaville),2020-05-17,391,15,87,289,7.085900688655309,3.8363171355498724
Benin,2020-05-17,339,2,83,254,2.7963375402128188,0.5899705014749262
Mauritius,2020-05-17,332,10,322,0,26.10062893081761,3.0120481927710845
Cabo Verde,2020-05-17,328,3,84,241,58.992805755395686,0.9146341463414633
Central African Republic,2020-05-17,327,0,13,314,6.770186335403727,0.0
Ethiopia,2020-05-17,317,5,113,199,0.27573849204968515,1.5772870662460567
Madagascar,2020-05-17,304,1,114,189,1.097829619732043,0.3289473684210526
Togo,2020-05-17,301,11,104,186,3.635704795265129,3.6544850498338874
Rwanda,2020-05-17,292,0,197,95,2.254478072884497,0.0
South Sudan,2020-05-17,290,4,4,282,2.5906735751295336,1.3793103448275863
Sao Tome and Principe,2020-05-17,235,7,4,224,107.30593607305936,2.9787234042553195
Uganda,2020-05-17,227,0,63,164,0.49627249076321023,0.0
Liberia,2020-05-17,226,21,120,85,4.4681692368525106,9.29203539823009
Eswatini,2020-05-17,203,2,73,128,17.5,0.9852216748768473
Mozambique,2020-05-17,137,0,44,93,0.4383298672212446,0.0
Malawi,2020-05-17,70,3,27,40,0.36591740721380034,4.285714285714286
Libya,2020-05-17,65,3,35,27,0.9460049483335758,4.615384615384616
Mauritania,2020-05-17,62,4,7,51,1.3333333333333335,6.451612903225806
Angola,2020-05-17,48,2,17,29,0.1460475871721536,4.166666666666666
Zimbabwe,2020-05-17,44,4,17,23,0.29603713920473657,9.090909090909092
Eritrea,2020-05-17,39,0,39,0,1.0998307952622675,0.0
Botswana,2020-05-17,25,1,17,7,1.0629251700680271,4.0
Gambia,2020-05-17,23,1,12,10,0.9515928837401738,4.3478260869565215
Burundi,2020-05-17,23,1,15,7,0.19342359767891684,4.3478260869565215
Namibia,2020-05-17,16,0,13,3,0.6296733569460842,0.0
Seychelles,2020-05-17,11,0,10,1,11.224489795918368,0.0
Comoros,2020-05-17,11,1,3,7,1.264367816091954,9.090909090909092
Lesotho,2020-05-17,1,0,0,1,0.04668534080298786,0.0
