Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-04-05,1655,11,95,1549,2.7904702490347164,0.6646525679758308
Algeria,2020-04-05,1320,152,90,1078,3.010193610179927,11.515151515151516
Egypt,2020-04-05,1173,78,247,848,1.14624660425665,6.649616368286446
Morocco,2020-04-05,1021,70,76,875,2.7661130828208393,6.8560235063663075
Cameroon,2020-04-05,650,9,17,624,2.4485798237022527,1.3846153846153846
Tunisia,2020-04-05,574,22,5,547,4.856586851679499,3.8327526132404177
Burkina Faso,2020-04-05,345,17,90,238,1.6504807922307803,4.9275362318840585
Cote d'Ivoire,2020-04-05,261,3,37,221,0.9894609143983623,1.1494252873563218
Nigeria,2020-04-05,232,5,33,194,0.11254487241680411,2.1551724137931036
Mauritius,2020-04-05,227,7,7,213,17.845911949685533,3.0837004405286343
Senegal,2020-04-05,222,2,82,138,1.3258480649784998,0.9009009009009009
Ghana,2020-04-05,214,5,31,178,0.6887008013387829,2.336448598130841
Niger,2020-04-05,184,10,13,161,0.760110711777585,5.434782608695652
Congo (Kinshasa),2020-04-05,154,18,3,133,0.1719498442402385,11.688311688311687
Kenya,2020-04-05,142,4,4,134,0.26408286994848523,2.8169014084507045
Guinea,2020-04-05,121,0,5,116,0.9213431812990178,0.0
Rwanda,2020-04-05,104,0,4,100,0.8029647930821495,0.0
Madagascar,2020-04-05,72,0,2,70,0.2600122783575891,0.0
Djibouti,2020-04-05,59,0,9,50,5.97165991902834,0.0
Uganda,2020-04-05,52,0,0,52,0.11368356616602174,0.0
Mali,2020-04-05,45,5,1,39,0.2222112488272184,11.11111111111111
Congo (Brazzaville),2020-04-05,45,5,2,38,0.8155128669807901,11.11111111111111
Togo,2020-04-05,44,3,20,21,0.5314651527962314,6.8181818181818175
Ethiopia,2020-04-05,43,2,4,37,0.03740301311714972,4.651162790697675
Zambia,2020-04-05,39,1,3,35,0.21214099216710186,2.564102564102564
Eritrea,2020-04-05,29,0,0,29,0.8178228990411731,0.0
Benin,2020-04-05,22,0,5,17,0.181473232698177,0.0
Tanzania,2020-04-05,22,1,3,18,0.036829946094351626,4.545454545454546
Gabon,2020-04-05,21,1,1,19,0.9433962264150944,4.761904761904762
Libya,2020-04-05,18,1,0,17,0.2619706010769903,5.555555555555555
Guinea-Bissau,2020-04-05,18,0,0,18,0.9146341463414633,0.0
Equatorial Guinea,2020-04-05,16,0,1,15,1.1404133998574484,0.0
Namibia,2020-04-05,16,0,3,13,0.6296733569460842,0.0
Angola,2020-04-05,14,2,2,10,0.042597212925211465,14.285714285714285
Liberia,2020-04-05,13,3,3,7,0.2570185844207196,23.076923076923077
Sudan,2020-04-05,12,2,2,8,0.027366644621314055,16.666666666666664
Mozambique,2020-04-05,10,0,1,9,0.03199488081906895,0.0
Seychelles,2020-04-05,10,0,0,10,10.204081632653061,0.0
Eswatini,2020-04-05,9,0,0,9,0.7758620689655172,0.0
Chad,2020-04-05,9,0,0,9,0.054791184707171564,0.0
Zimbabwe,2020-04-05,9,1,0,8,0.06055305120096885,11.11111111111111
Central African Republic,2020-04-05,8,0,0,8,0.16563146997929606,0.0
Cabo Verde,2020-04-05,7,1,0,6,1.2589928057553956,14.285714285714285
Somalia,2020-04-05,7,0,1,6,0.04404454791417605,0.0
Sierra Leone,2020-04-05,6,0,0,6,0.07521624670928921,0.0
Mauritania,2020-04-05,6,1,2,3,0.12903225806451613,16.666666666666664
Botswana,2020-04-05,6,1,0,5,0.25510204081632654,16.666666666666664
Gambia,2020-04-05,4,1,2,1,0.16549441456350847,25.0
Malawi,2020-04-05,4,0,0,4,0.020909566126502875,0.0
Burundi,2020-04-05,3,0,0,3,0.025229164914641326,0.0
South Sudan,2020-04-05,1,0,0,1,0.008933357155619081,0.0
Sao Tome and Principe,2020-04-05,0,0,0,0,0.0,
Comoros,2020-04-05,0,0,0,0,0.0,
Lesotho,2020-04-05,0,0,0,0,0.0,
