Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-07-28,459761,7257,287313,165191,775.1960073513294,1.5784287923508082
Egypt,2020-07-28,92947,4691,35959,52297,90.82709558895382,5.0469622473022255
Nigeria,2020-07-28,41804,868,18764,22172,20.279421752207238,2.0763563295378433
Ghana,2020-07-28,34406,168,30621,3617,110.72635406944936,0.48828692669883156
Algeria,2020-07-28,28615,1174,19233,8208,65.25506829946866,4.102743316442425
Morocco,2020-07-28,21387,327,17066,3994,57.94207688764866,1.5289661944171693
Kenya,2020-07-28,18581,299,7908,10374,34.55580145431552,1.6091706581992358
Cameroon,2020-07-28,17179,391,14539,2249,64.71408121750923,2.2760346935211597
Cote d'Ivoire,2020-07-28,15713,98,10537,5078,59.56857987717037,0.6236873926048495
Ethiopia,2020-07-28,15200,239,6526,8435,13.221530218155248,1.5723684210526316
Sudan,2020-07-28,11496,725,6001,4770,26.217245547218866,6.306541405706333
Madagascar,2020-07-28,10104,93,6613,3398,36.488389729515006,0.9204275534441805
Senegal,2020-07-28,9805,198,6591,3016,58.558289536550404,2.0193778684344723
Congo (Kinshasa),2020-07-28,8873,208,5930,2735,9.907214077556079,2.3441902400540964
Gabon,2020-07-28,7189,49,4682,2458,322.95597484276726,0.6815968841285297
Guinea,2020-07-28,7126,46,6312,768,54.26026041270083,0.6455234353073253
Mauritania,2020-07-28,6249,156,4683,1410,134.38709677419354,2.4963994239078255
Djibouti,2020-07-28,5068,58,4992,18,512.9554655870446,1.1444356748224151
Zambia,2020-07-28,5002,142,3195,1665,27.208442123585723,2.838864454218313
Central African Republic,2020-07-28,4599,59,1546,2994,95.21739130434783,1.2828875842574472
Malawi,2020-07-28,3709,103,1667,1939,19.38839519079979,2.777028848746293
Somalia,2020-07-28,3212,93,1562,1557,20.210155414333357,2.895392278953923
Congo (Brazzaville),2020-07-28,3200,54,829,2317,57.99202609641174,1.6875
Equatorial Guinea,2020-07-28,3071,51,842,2178,218.888096935139,1.660696841419733
Libya,2020-07-28,3017,67,579,2371,43.90918352495998,2.2207490884985086
Zimbabwe,2020-07-28,2817,40,604,2173,18.95310502590325,1.4199503017394393
Mali,2020-07-28,2520,124,1919,477,12.443829934324231,4.920634920634921
Eswatini,2020-07-28,2404,39,1025,1340,207.24137931034483,1.622296173044925
Cabo Verde,2020-07-28,2354,22,1616,716,423.38129496402877,0.9345794392523363
South Sudan,2020-07-28,2305,46,1175,1084,20.59138824370198,1.9956616052060738
Guinea-Bissau,2020-07-28,1954,26,803,1125,99.28861788617887,1.3306038894575232
Rwanda,2020-07-28,1926,5,1005,916,14.870290302655961,0.25960539979231567
Namibia,2020-07-28,1917,8,104,1805,75.44273907910272,0.4173187271778821
Sierra Leone,2020-07-28,1786,66,1336,384,22.389369437131755,3.6954087346024638
Benin,2020-07-28,1770,35,1036,699,14.600346448898788,1.977401129943503
Mozambique,2020-07-28,1720,11,602,1107,5.503119500879859,0.6395348837209303
Tunisia,2020-07-28,1468,50,1168,250,12.420678568406803,3.4059945504087197
Liberia,2020-07-28,1177,72,646,459,23.270067220245156,6.117247238742566
Uganda,2020-07-28,1135,2,989,144,2.4813624538160513,0.1762114537444934
Niger,2020-07-28,1132,69,1027,36,4.676333292022969,6.095406360424029
Burkina Faso,2020-07-28,1105,53,926,126,5.286322537434818,4.796380090497738
Angola,2020-07-28,1000,47,266,687,3.0426580660865334,4.7
Chad,2020-07-28,926,75,810,41,5.6374041154267625,8.099352051835854
Togo,2020-07-28,896,18,612,266,10.822563111486895,2.0089285714285716
Sao Tome and Principe,2020-07-28,867,14,759,94,395.8904109589041,1.6147635524798154
Botswana,2020-07-28,739,2,63,674,31.420068027210885,0.2706359945872801
Tanzania,2020-07-28,509,21,183,305,0.8521110255465899,4.12573673870334
Lesotho,2020-07-28,505,12,128,365,23.576097105508868,2.376237623762376
Burundi,2020-07-28,378,1,301,76,3.1788747792448073,0.26455026455026454
Comoros,2020-07-28,354,7,328,19,40.689655172413794,1.977401129943503
Mauritius,2020-07-28,344,10,332,2,27.044025157232703,2.9069767441860463
Gambia,2020-07-28,326,8,66,252,13.48779478692594,2.4539877300613497
Eritrea,2020-07-28,265,0,191,74,7.473209249858996,0.0
Seychelles,2020-07-28,114,0,39,75,116.3265306122449,0.0
