Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-03-31,1353,5,31,1317,2.281272656763729,0.36954915003695493
Algeria,2020-03-31,716,44,46,626,1.6328019885521425,6.145251396648044
Egypt,2020-03-31,710,46,157,507,0.6938065550061563,6.478873239436619
Morocco,2020-03-31,617,36,24,557,1.6715884153775298,5.834683954619125
Tunisia,2020-03-31,394,10,3,381,3.3336153650901093,2.5380710659898478
Burkina Faso,2020-03-31,261,14,32,215,1.2486245993398077,5.363984674329502
Cameroon,2020-03-31,193,6,5,182,0.7270398553454381,3.1088082901554404
Cote d'Ivoire,2020-03-31,179,1,7,171,0.6785957995299112,0.5586592178770949
Senegal,2020-03-31,175,0,40,135,1.0451505016722409,0.0
Ghana,2020-03-31,161,5,31,125,0.5181347150259068,3.1055900621118013
Mauritius,2020-03-31,143,5,0,138,11.242138364779874,3.4965034965034967
Nigeria,2020-03-31,135,2,8,125,0.06548947317357136,1.4814814814814816
Congo (Kinshasa),2020-03-31,98,8,2,88,0.10942262815287905,8.16326530612245
Rwanda,2020-03-31,75,0,0,75,0.5790611488573193,0.0
Kenya,2020-03-31,59,1,1,57,0.10972457272507485,1.694915254237288
Madagascar,2020-03-31,57,0,0,57,0.20584305369975806,0.0
Uganda,2020-03-31,44,0,0,44,0.09619378675586454,0.0
Zambia,2020-03-31,35,0,0,35,0.1903829416884247,0.0
Togo,2020-03-31,34,1,10,23,0.41067761806981523,2.941176470588235
Djibouti,2020-03-31,30,0,0,30,3.0364372469635628,0.0
Mali,2020-03-31,28,2,0,26,0.13826477704804702,7.142857142857142
Niger,2020-03-31,27,3,0,24,0.11153798488040649,11.11111111111111
Ethiopia,2020-03-31,26,0,2,24,0.022615775373160292,0.0
Guinea,2020-03-31,22,0,0,22,0.16751694205436687,0.0
Congo (Brazzaville),2020-03-31,19,0,0,19,0.3443276549474447,0.0
Tanzania,2020-03-31,19,1,1,17,0.03180768071784913,5.263157894736842
Gabon,2020-03-31,16,1,0,15,0.7187780772686434,6.25
Eritrea,2020-03-31,15,0,0,15,0.4230118443316413,0.0
Equatorial Guinea,2020-03-31,12,0,1,11,0.8553100498930863,0.0
Namibia,2020-03-31,11,0,2,9,0.4329004329004329,0.0
Seychelles,2020-03-31,10,0,0,10,10.204081632653061,0.0
Libya,2020-03-31,10,0,1,9,0.14553922282055015,0.0
Eswatini,2020-03-31,9,0,0,9,0.7758620689655172,0.0
Benin,2020-03-31,9,0,1,8,0.07423904974016332,0.0
Mozambique,2020-03-31,8,0,0,8,0.02559590465525516,0.0
Zimbabwe,2020-03-31,8,1,0,7,0.053824934400861196,12.5
Guinea-Bissau,2020-03-31,8,0,0,8,0.40650406504065045,0.0
Sudan,2020-03-31,7,2,1,4,0.015963876029099863,28.57142857142857
Angola,2020-03-31,7,2,1,4,0.021298606462605733,28.57142857142857
Chad,2020-03-31,7,0,0,7,0.042615365883355655,0.0
Mauritania,2020-03-31,6,1,2,3,0.12903225806451613,16.666666666666664
Cabo Verde,2020-03-31,6,1,0,5,1.079136690647482,16.666666666666664
Somalia,2020-03-31,5,0,1,4,0.03146039136726861,0.0
Botswana,2020-03-31,4,1,0,3,0.17006802721088435,25.0
Gambia,2020-03-31,4,1,0,3,0.16549441456350847,25.0
Central African Republic,2020-03-31,3,0,0,3,0.062111801242236024,0.0
Liberia,2020-03-31,3,0,0,3,0.05931198102016608,0.0
Burundi,2020-03-31,2,0,0,2,0.01681944327642755,0.0
Sierra Leone,2020-03-31,1,0,0,1,0.012536041118214866,0.0
South Sudan,2020-03-31,0,0,0,0,0.0,
Malawi,2020-03-31,0,0,0,0,0.0,
Sao Tome and Principe,2020-03-31,0,0,0,0,0.0,
Lesotho,2020-03-31,0,0,0,0,0.0,
Comoros,2020-03-31,0,0,0,0,0.0,
