Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-10-25,715868,18968,646170,50730,1207.0141125292957,2.649650494225192
Morocco,2020-10-25,197481,3301,163195,30985,535.0193709192381,1.6715532127141344
Egypt,2020-10-25,106540,6199,98903,1438,104.11007094416323,5.818471935423315
Ethiopia,2020-10-25,93343,1426,47543,44374,81.1932431021885,1.5276989168978927
Nigeria,2020-10-25,61992,1130,57465,3397,30.07276608130397,1.8228158472060914
Algeria,2020-10-25,56143,1914,39095,15134,128.03128776994822,3.409151630657428
Libya,2020-10-25,56013,795,30731,24487,815.2088487847475,1.4193133736811097
Kenya,2020-10-25,49721,902,34209,14610,92.46805899090587,1.8141228052533136
Tunisia,2020-10-25,48799,819,5032,42948,412.88603096708687,1.6783130801860693
Ghana,2020-10-25,47690,316,46887,487,153.47729540115213,0.6626127070664709
Cameroon,2020-10-25,21570,425,20117,1028,81.2551796880886,1.9703291608715807
Cote d'Ivoire,2020-10-25,20470,122,20166,182,77.60254757752672,0.5959941377625794
Madagascar,2020-10-25,16968,244,16301,423,61.276226932938506,1.438000942951438
Zambia,2020-10-25,16117,348,15179,590,87.66862489120975,2.1592107712353417
Senegal,2020-10-25,15551,321,14254,976,92.87505972288581,2.0641759372387627
Sudan,2020-10-25,13742,837,6764,6141,31.339369198841478,6.0908164750400235
Namibia,2020-10-25,12660,133,10779,1748,498.22904368358917,1.0505529225908372
Mozambique,2020-10-25,11986,86,9253,2647,38.34906414973604,0.71750375438011
Guinea,2020-10-25,11635,71,10474,1090,88.59361912738902,0.6102277610657499
Uganda,2020-10-25,11443,101,7351,3991,25.01694322380359,0.8826356724635147
Congo (Kinshasa),2020-10-25,11143,305,10467,371,12.4417994439544,2.737144395584672
Angola,2020-10-25,9381,268,3508,5605,28.54317531795777,2.856838290160964
Gabon,2020-10-25,8919,54,8512,353,400.6738544474394,0.6054490413723511
Cabo Verde,2020-10-25,8396,94,7285,1017,1510.071942446043,1.1195807527393997
Zimbabwe,2020-10-25,8276,237,7797,242,55.68189463769091,2.863702271628806
Mauritania,2020-10-25,7664,163,7385,116,164.81720430107526,2.1268267223382047
Botswana,2020-10-25,5923,21,927,4975,251.828231292517,0.35455005909167653
Malawi,2020-10-25,5890,183,5291,416,30.789336121275486,3.1069609507640066
Eswatini,2020-10-25,5854,116,5502,236,504.6551724137931,1.9815510761872224
Djibouti,2020-10-25,5536,61,5402,73,560.3238866396761,1.101878612716763
Congo (Brazzaville),2020-10-25,5253,92,3887,1274,95.1975353388909,1.751380163715972
Equatorial Guinea,2020-10-25,5079,83,4962,34,362.00997861724875,1.6341799566843869
Rwanda,2020-10-25,5066,34,4830,202,39.113650401482396,0.6711409395973155
Central African Republic,2020-10-25,4862,62,1924,2876,100.66252587991717,1.2751953928424515
Somalia,2020-10-25,3941,104,3185,652,24.797080475681117,2.638924130931236
Gambia,2020-10-25,3660,119,2660,881,151.42738932561025,3.2513661202185795
Mali,2020-10-25,3490,132,2661,697,17.23371685348872,3.7822349570200573
South Sudan,2020-10-25,2883,56,1290,1537,25.75486867964981,1.9424210891432536
Benin,2020-10-25,2557,41,2330,186,21.092138909510847,1.6034415330465388
Burkina Faso,2020-10-25,2451,65,2019,367,11.725589628283021,2.6519787841697267
Guinea-Bissau,2020-10-25,2403,41,1818,544,122.10365853658536,1.706200582605077
Sierra Leone,2020-10-25,2346,74,1787,485,29.409552463332076,3.154305200341006
Togo,2020-10-25,2200,52,1600,548,26.57325763981157,2.3636363636363638
Lesotho,2020-10-25,1940,43,970,927,90.56956115779646,2.216494845360825
Chad,2020-10-25,1437,96,1268,73,8.748325824911724,6.6805845511482245
Liberia,2020-10-25,1393,82,1278,33,27.540529853697116,5.886575735821967
Niger,2020-10-25,1215,69,1128,18,5.019209319618293,5.679012345679013
Sao Tome and Principe,2020-10-25,940,15,902,23,429.2237442922374,1.5957446808510638
Burundi,2020-10-25,557,1,511,45,4.684214952485073,0.17953321364452424
Comoros,2020-10-25,517,7,494,16,59.425287356321846,1.3539651837524178
Tanzania,2020-10-25,509,21,183,305,0.8521110255465899,4.12573673870334
Eritrea,2020-10-25,461,0,405,56,13.000564015792444,0.0
Mauritius,2020-10-25,435,10,386,39,34.19811320754717,2.2988505747126435
Seychelles,2020-10-25,153,0,149,4,156.12244897959184,0.0
