Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-05-24,22583,429,11100,11054,38.07685174256858,1.8996590355577203
Egypt,2020-05-24,17265,764,4807,11694,16.871225594621535,4.42513756154069
Algeria,2020-05-24,8306,600,4784,2922,18.941415247086727,7.223693715386467
Nigeria,2020-05-24,7839,226,2263,5350,3.802755408945377,2.883020793468555
Morocco,2020-05-24,7433,199,4703,2531,20.137628349272575,2.677250100901386
Ghana,2020-05-24,6683,32,1998,4653,21.50741801564059,0.47882687415831215
Cameroon,2020-05-24,4890,165,1865,2860,18.42085436600618,3.374233128834356
Sudan,2020-05-24,3634,165,458,3011,8.287532212821274,4.540451293340672
Guinea,2020-05-24,3275,20,1673,1582,24.93718114672961,0.6106870229007634
Senegal,2020-05-24,3047,35,1456,1556,18.19756330625896,1.1486708237610765
Cote d'Ivoire,2020-05-24,2376,30,1219,1127,9.007506255212677,1.2626262626262625
Djibouti,2020-05-24,2270,10,1064,1196,229.75708502024293,0.4405286343612335
Congo (Kinshasa),2020-05-24,2141,63,317,1761,2.3905494579113675,2.9425502101821577
Gabon,2020-05-24,1934,12,459,1463,86.88230008984726,0.6204756980351602
Somalia,2020-05-24,1594,61,204,1329,10.029572767885233,3.82685069008783
Kenya,2020-05-24,1214,51,383,780,2.257722564207472,4.200988467874795
Guinea-Bissau,2020-05-24,1114,6,42,1066,56.605691056910565,0.5385996409335727
Tunisia,2020-05-24,1051,48,917,86,8.892461291141382,4.567078972407232
Mali,2020-05-24,1030,65,597,368,5.086168584267443,6.310679611650485
Equatorial Guinea,2020-05-24,960,11,165,784,68.42480399144691,1.1458333333333333
Niger,2020-05-24,945,61,783,101,3.9038294708142276,6.455026455026455
Zambia,2020-05-24,920,7,336,577,5.0043516100957355,0.7608695652173914
Burkina Faso,2020-05-24,814,52,672,90,3.894177869205377,6.388206388206388
Sierra Leone,2020-05-24,707,40,241,426,8.862981070577911,5.657708628005658
Chad,2020-05-24,675,60,215,400,4.109338853037866,8.88888888888889
South Sudan,2020-05-24,655,8,6,641,5.851348936930498,1.2213740458015268
Central African Republic,2020-05-24,604,1,22,581,12.505175983436853,0.16556291390728478
Ethiopia,2020-05-24,582,5,152,425,0.5062454333530497,0.859106529209622
Madagascar,2020-05-24,527,2,142,383,1.9031454263117982,0.3795066413662239
Tanzania,2020-05-24,509,21,183,305,0.8521110255465899,4.12573673870334
Congo (Brazzaville),2020-05-24,487,16,147,324,8.825661471547662,3.285420944558522
Togo,2020-05-24,381,12,141,228,4.602005073076459,3.149606299212598
Cabo Verde,2020-05-24,380,3,155,222,68.34532374100719,0.7894736842105263
Mauritius,2020-05-24,334,10,322,2,26.257861635220124,2.9940119760479043
Rwanda,2020-05-24,327,0,237,90,2.524706609017912,0.0
Liberia,2020-05-24,265,26,139,100,5.23922499011467,9.811320754716983
Sao Tome and Principe,2020-05-24,251,8,4,239,114.61187214611871,3.187250996015936
Eswatini,2020-05-24,250,2,156,92,21.551724137931032,0.8
Mauritania,2020-05-24,237,6,15,216,5.096774193548387,2.5316455696202533
Uganda,2020-05-24,198,0,68,130,0.43287204040139043,0.0
Mozambique,2020-05-24,194,0,51,143,0.6207006878899376,0.0
Benin,2020-05-24,191,3,82,106,1.575517611152355,1.5706806282722512
Comoros,2020-05-24,87,1,21,65,10.0,1.1494252873563218
Malawi,2020-05-24,83,4,33,46,0.43387349712493467,4.819277108433735
Libya,2020-05-24,75,3,39,33,1.091544171154126,4.0
Angola,2020-05-24,69,4,18,47,0.2099434065599708,5.797101449275362
Zimbabwe,2020-05-24,56,4,25,27,0.3767745408060284,7.142857142857142
Burundi,2020-05-24,42,1,20,21,0.35320830880497855,2.380952380952381
Eritrea,2020-05-24,39,0,39,0,1.0998307952622675,0.0
Botswana,2020-05-24,35,1,19,15,1.488095238095238,2.857142857142857
Gambia,2020-05-24,25,1,13,11,1.034340091021928,4.0
Namibia,2020-05-24,21,0,14,7,0.8264462809917356,0.0
Seychelles,2020-05-24,11,0,11,0,11.224489795918368,0.0
Lesotho,2020-05-24,2,0,0,2,0.09337068160597572,0.0
