Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-11-07,735906,19789,678738,37379,1240.7998786018986,2.689066266615573
Morocco,2020-11-07,252185,4197,205556,42432,683.2245130177996,1.664254416400658
Egypt,2020-11-07,108962,6355,100239,2368,106.47683076983212,5.832308511224096
Ethiopia,2020-11-07,99201,1518,58948,38735,86.2887512612644,1.5302265098134091
Tunisia,2020-11-07,69543,1794,47416,20333,588.4000338438108,2.5796988913334196
Libya,2020-11-07,67039,920,39243,26876,975.6803958666861,1.3723355061978848
Nigeria,2020-11-07,63790,1155,59884,2751,30.944988842534197,1.81062862517636
Kenya,2020-11-07,61769,1103,41019,19647,114.87418868907031,1.7856853761595621
Algeria,2020-11-07,61381,2036,41783,17562,139.9762833230713,3.316987341359704
Ghana,2020-11-07,48904,320,47611,973,157.3842242461301,0.6543432030099787
Cameroon,2020-11-07,22342,429,21151,762,84.16333910947036,1.920150389401128
Cote d'Ivoire,2020-11-07,20813,126,20489,198,78.90287360679355,0.6053908614808052
Madagascar,2020-11-07,17111,244,16409,458,61.79264020800982,1.4259832856057506
Zambia,2020-11-07,16908,349,15873,686,91.97127937336815,2.0641116631180503
Senegal,2020-11-07,15693,326,15317,50,93.72312470138557,2.077359332186325
Sudan,2020-11-07,14090,837,6764,6489,32.13300189285959,5.940383250532292
Uganda,2020-11-07,14066,131,7753,6182,30.75140464790888,0.9313237594198778
Mozambique,2020-11-07,13577,99,11581,1897,43.43944968804991,0.7291743389555867
Namibia,2020-11-07,13170,134,11602,1434,518.2998819362456,1.0174639331814732
Guinea,2020-11-07,12400,73,10780,1547,94.41864006700678,0.5887096774193549
Angola,2020-11-07,12335,303,5647,6385,37.53118724517739,2.4564248074584514
Congo (Kinshasa),2020-11-07,11550,316,10838,396,12.896238318017888,2.735930735930736
Cabo Verde,2020-11-07,9291,100,8431,760,1671.043165467626,1.0763104079216446
Gabon,2020-11-07,9022,55,8878,89,405.3009883198563,0.6096209266238084
Zimbabwe,2020-11-07,8498,251,7995,252,57.17553656731481,2.953636149682278
Botswana,2020-11-07,7835,27,5534,2274,333.12074829931976,0.3446075303126994
Mauritania,2020-11-07,7814,165,7473,176,168.04301075268816,2.1115945738418223
Eswatini,2020-11-07,5989,117,5719,153,516.2931034482758,1.9535815662047085
Malawi,2020-11-07,5948,184,5346,418,31.092524830109774,3.093476798924008
Djibouti,2020-11-07,5605,61,5485,59,567.3076923076924,1.088314005352364
Congo (Brazzaville),2020-11-07,5379,92,3887,1400,97.48097136643712,1.7103550845882134
Rwanda,2020-11-07,5213,36,4953,224,40.248610253242745,0.6905812392096682
Equatorial Guinea,2020-11-07,5092,85,4968,39,362.93656450463294,1.6692851531814612
Central African Republic,2020-11-07,4879,62,1924,2893,101.0144927536232,1.2707522033203527
Somalia,2020-11-07,4229,107,3247,875,26.609199018435792,2.530148971388035
Gambia,2020-11-07,3684,121,3527,36,152.42035581299132,3.2844733984799133
Mali,2020-11-07,3676,137,2822,717,18.152190015307887,3.7268770402611535
South Sudan,2020-11-07,2943,59,1290,1594,26.290870108986958,2.0047570506286103
Benin,2020-11-07,2745,43,2466,236,22.642910170749815,1.5664845173041893
Burkina Faso,2020-11-07,2565,67,2370,128,12.270965890063627,2.612085769980507
Togo,2020-11-07,2483,57,1727,699,29.991544872569154,2.29561014901329
Guinea-Bissau,2020-11-07,2414,42,1862,510,122.66260162601625,1.739850869925435
Sierra Leone,2020-11-07,2381,74,1812,495,29.8483139024696,3.107937841243175
Lesotho,2020-11-07,1967,44,1024,899,91.83006535947712,2.236908998474835
Chad,2020-11-07,1543,99,1365,79,9.393644222573968,6.416072585871678
Liberia,2020-11-07,1442,82,1310,50,28.509292210359828,5.6865464632454925
Niger,2020-11-07,1242,69,1143,30,5.130747304498699,5.555555555555555
Sao Tome and Principe,2020-11-07,962,16,910,36,439.26940639269407,1.6632016632016633
Burundi,2020-11-07,612,1,511,100,5.14674964258683,0.16339869281045752
Comoros,2020-11-07,563,7,532,24,64.71264367816092,1.2433392539964476
Tanzania,2020-11-07,509,21,183,305,0.8521110255465899,4.12573673870334
Eritrea,2020-11-07,491,0,438,53,13.846587704455724,0.0
Mauritius,2020-11-07,453,10,416,27,35.613207547169814,2.207505518763797
Seychelles,2020-11-07,158,0,155,3,161.22448979591837,0.0
