Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-08-09,559859,10408,411474,137977,943.9697179180225,1.8590395081618767
Egypt,2020-08-09,95492,5009,52678,37805,93.31405007133505,5.2454655887404185
Nigeria,2020-08-09,46577,945,33186,12446,22.594838459299503,2.0288983833222405
Ghana,2020-08-09,41003,215,38330,2458,131.95700447333698,0.5243518766919494
Algeria,2020-08-09,35160,1302,24506,9352,80.1806116166108,3.703071672354949
Morocco,2020-08-09,33237,498,23347,9392,90.04632765300316,1.498330174203448
Kenya,2020-08-09,26436,420,12961,13055,49.16404753491659,1.5887426236949616
Ethiopia,2020-08-09,22818,407,10206,12205,19.847952402491213,1.7836795512314838
Cameroon,2020-08-09,18042,395,15320,2327,67.96504181420929,2.1893359937922625
Cote d'Ivoire,2020-08-09,16715,105,12926,3684,63.36719993934339,0.6281782829793598
Madagascar,2020-08-09,13086,148,10816,2122,47.25723159149182,1.1309796729329054
Sudan,2020-08-09,11956,781,6266,4909,27.266300257702568,6.532285045165607
Senegal,2020-08-09,11175,232,7352,3591,66.7403248924988,2.0760626398210293
Congo (Kinshasa),2020-08-09,9454,224,8324,906,10.555933944462433,2.36936746350751
Zambia,2020-08-09,8085,235,6698,1152,43.97845953002611,2.906617192331478
Guinea,2020-08-09,7930,50,6898,982,60.38224320414224,0.6305170239596469
Gabon,2020-08-09,7923,51,5704,2168,355.9299191374663,0.6436955698599016
Mauritania,2020-08-09,6523,157,5527,839,140.27956989247312,2.406868005518933
Libya,2020-08-09,5451,119,701,4631,79.33343035948188,2.1830856723536964
Djibouti,2020-08-09,5344,59,5106,179,540.8906882591093,1.1040419161676647
Equatorial Guinea,2020-08-09,4821,83,2182,2556,343.6208125445474,1.7216345156606514
Malawi,2020-08-09,4658,146,2375,2137,24.349189754312597,3.13439244310863
Zimbabwe,2020-08-09,4649,104,1437,3108,31.279015003700465,2.2370402237040223
Central African Republic,2020-08-09,4641,60,1721,2860,96.08695652173913,1.2928248222365868
Congo (Brazzaville),2020-08-09,3664,58,1589,2017,66.40086988039144,1.5829694323144103
Eswatini,2020-08-09,3236,58,1607,1571,278.9655172413793,1.792336217552534
Somalia,2020-08-09,3227,93,1728,1406,20.30453658843516,2.8819336845367216
Namibia,2020-08-09,2949,19,704,2226,116.05667060212514,0.6442861987114276
Cabo Verde,2020-08-09,2858,32,2086,740,514.0287769784172,1.119664100769769
Mali,2020-08-09,2567,125,1962,480,12.675917238654883,4.869497467861317
South Sudan,2020-08-09,2470,47,1175,1248,22.06539217437913,1.9028340080971662
Mozambique,2020-08-09,2269,16,840,1413,7.259638457846744,0.7051564565888057
Rwanda,2020-08-09,2140,7,1346,787,16.522544780728847,0.3271028037383178
Guinea-Bissau,2020-08-09,2052,29,944,1079,104.26829268292683,1.4132553606237817
Benin,2020-08-09,1936,38,1600,298,15.969644477439578,1.962809917355372
Sierra Leone,2020-08-09,1916,68,1445,403,24.019054782499687,3.549060542797495
Tunisia,2020-08-09,1697,51,1263,383,14.358236737456636,3.00530347672363
Angola,2020-08-09,1672,75,567,1030,5.087324286496683,4.485645933014354
Uganda,2020-08-09,1283,7,1115,161,2.8049233729039593,0.5455962587685114
Liberia,2020-08-09,1237,79,723,435,24.45630684064848,6.386418755052546
Gambia,2020-08-09,1235,23,221,991,51.09640049648324,1.862348178137652
Burkina Faso,2020-08-09,1175,54,974,147,5.621202698177295,4.595744680851064
Niger,2020-08-09,1158,69,1057,32,4.783740240426323,5.958549222797927
Togo,2020-08-09,1060,23,729,308,12.803478681000122,2.1698113207547167
Chad,2020-08-09,944,76,839,29,5.746986484841106,8.050847457627118
Sao Tome and Principe,2020-08-09,878,15,800,63,400.91324200913243,1.7084282460136675
Botswana,2020-08-09,804,2,63,739,34.183673469387756,0.24875621890547264
Lesotho,2020-08-09,742,23,175,544,34.64052287581699,3.0997304582210243
Tanzania,2020-08-09,509,21,183,305,0.8521110255465899,4.12573673870334
Burundi,2020-08-09,408,1,315,92,3.4311664283912204,0.24509803921568626
Comoros,2020-08-09,399,7,369,23,45.86206896551724,1.7543859649122806
Mauritius,2020-08-09,344,10,334,0,27.044025157232703,2.9069767441860463
Eritrea,2020-08-09,285,0,245,40,8.037225042301184,0.0
Seychelles,2020-08-09,126,0,125,1,128.57142857142858,0.0
