Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-12-27,1004413,26735,844874,132804,1693.5254345883425,2.6617536810057216
Morocco,2020-12-27,432079,7240,398060,26779,1170.5968410500934,1.6756195047664895
Egypt,2020-12-27,132541,7405,110015,15121,129.51804874235347,5.586950453067352
Tunisia,2020-12-27,131592,4466,100207,26919,1113.3936881292832,3.3938233327253937
Ethiopia,2020-12-27,122864,1909,109293,11662,106.87171636338333,1.5537504883448365
Libya,2020-12-27,98381,1436,68990,27955,1431.8294280308542,1.4596314328986288
Algeria,2020-12-27,98249,2728,65862,29659,224.05190303527854,2.776618591537827
Kenya,2020-12-27,95923,1658,77423,16842,178.3916981272433,1.72846971007996
Nigeria,2020-12-27,84414,1254,71034,12126,40.94983991462114,1.4855355746677092
Ghana,2020-12-27,54401,333,53180,888,175.0748238020146,0.6121211007150603
Uganda,2020-12-27,33811,248,11180,22383,73.91836645460309,0.7334891011800894
Cameroon,2020-12-27,26277,448,24892,937,98.98666465757553,1.704913041823648
Sudan,2020-12-27,24694,1468,13524,9702,56.315993523227434,5.944763910261602
Cote d'Ivoire,2020-12-27,22152,135,21752,265,83.97907347031617,0.6094257854821236
Namibia,2020-12-27,21923,191,18039,3693,862.7705627705628,0.8712311271267618
Zambia,2020-12-27,19834,383,18210,1241,107.88729329852045,1.9310275284864373
Senegal,2020-12-27,18609,388,16936,1285,111.13831820353559,2.085012628298135
Mozambique,2020-12-27,18265,161,16119,1985,58.43864981602943,0.8814672871612373
Madagascar,2020-12-27,17714,261,17228,225,63.970243039254626,1.4734108614655075
Angola,2020-12-27,17240,399,10354,6487,52.45542505933183,2.3143851508120648
Congo (Kinshasa),2020-12-27,16839,579,14484,1776,18.80171056598296,3.4384464635667205
Botswana,2020-12-27,14025,40,11627,2358,596.3010204081633,0.28520499108734404
Guinea,2020-12-27,13674,80,13067,527,104.11939389324603,0.585051923358198
Mauritania,2020-12-27,13642,324,10297,3021,293.3763440860215,2.375018325758686
Zimbabwe,2020-12-27,13077,349,10593,2135,87.98358339500774,2.6688078305421734
Cabo Verde,2020-12-27,11714,112,11447,155,2106.8345323741005,0.9561208809970976
Gabon,2020-12-27,9497,64,9331,102,426.6397124887691,0.6738970201116142
Eswatini,2020-12-27,8484,165,7016,1303,731.3793103448277,1.9448373408769446
Rwanda,2020-12-27,7970,74,6289,1607,61.5348980852378,0.9284818067754078
Congo (Brazzaville),2020-12-27,6908,107,5831,970,125.19028633562885,1.5489287782281413
Mali,2020-12-27,6629,253,4421,1955,32.73418596612513,3.816563584251018
Malawi,2020-12-27,6354,188,5682,484,33.21484579194981,2.9587661315706644
Burkina Faso,2020-12-27,6344,78,4775,1491,30.34971056786107,1.2295081967213115
Djibouti,2020-12-27,5813,61,5706,46,588.3603238866397,1.049372097023912
Equatorial Guinea,2020-12-27,5248,86,5097,65,374.0555951532431,1.638719512195122
Central African Republic,2020-12-27,4948,63,1924,2961,102.44306418219462,1.2732417138237673
Somalia,2020-12-27,4690,127,3605,958,29.509847102497954,2.7078891257995736
Gambia,2020-12-27,3793,123,3660,10,156.9300786098469,3.2428157131558133
Togo,2020-12-27,3555,68,3261,226,42.93996859524098,1.912798874824191
South Sudan,2020-12-27,3490,62,3118,310,31.177416473110597,1.7765042979942696
Benin,2020-12-27,3205,44,3061,100,26.437350490802608,1.3728549141965678
Niger,2020-12-27,3110,96,1673,1341,12.847523443632008,3.0868167202572345
Lesotho,2020-12-27,2725,51,1466,1208,127.21755368814192,1.8715596330275228
Sierra Leone,2020-12-27,2560,76,1872,612,32.09226526263006,2.96875
Guinea-Bissau,2020-12-27,2447,45,2386,16,124.33943089430895,1.8389865140988966
Chad,2020-12-27,2005,104,1662,239,12.206258370875442,5.187032418952618
Liberia,2020-12-27,1779,83,1406,290,35.17200474495848,4.665542439572794
Eritrea,2020-12-27,1039,1,623,415,29.300620417371686,0.0962463907603465
Sao Tome and Principe,2020-12-27,1014,17,963,34,463.01369863013696,1.6765285996055226
Burundi,2020-12-27,804,2,687,115,6.761416197123875,0.24875621890547264
Comoros,2020-12-27,715,7,626,82,82.18390804597702,0.9790209790209791
Mauritius,2020-12-27,527,10,496,21,41.430817610062896,1.8975332068311195
Tanzania,2020-12-27,509,21,183,305,0.8521110255465899,4.12573673870334
Seychelles,2020-12-27,205,0,184,21,209.18367346938774,0.0
