Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-09-25,668529,16312,599149,53068,1127.196546898447,2.4399839049614904
Morocco,2020-09-25,112522,1998,91932,18592,304.8467936387527,1.7756527612378024
Egypt,2020-09-25,102625,5853,93531,3241,100.28436296831941,5.703288672350792
Ethiopia,2020-09-25,72173,1155,29863,41155,62.778782923349915,1.600321449849667
Nigeria,2020-09-25,58062,1103,49606,7353,28.166294751140004,1.8996934311597946
Algeria,2020-09-25,50754,1707,35654,13393,115.74194431141822,3.363281711786263
Ghana,2020-09-25,46222,299,45417,506,148.7529366330898,0.6468781099909133
Kenya,2020-09-25,37707,682,24504,12521,70.12516040244742,1.8086827379531651
Libya,2020-09-25,31290,491,17508,13291,455.3922282055014,1.569191434963247
Cameroon,2020-09-25,20712,418,19440,854,78.02305432080163,2.018153727307841
Cote d'Ivoire,2020-09-25,19556,120,19065,371,74.13753885813937,0.6136224176723257
Madagascar,2020-09-25,16221,228,14867,1126,58.578599544978516,1.4055853523210653
Senegal,2020-09-25,14839,304,11910,2625,88.62279025322503,2.0486555697823303
Zambia,2020-09-25,14515,332,13643,540,78.95452567449956,2.287289011367551
Tunisia,2020-09-25,14392,191,5032,9169,121.770031305525,1.3271261812117843
Sudan,2020-09-25,13604,836,6764,6004,31.024652785696365,6.145251396648044
Namibia,2020-09-25,10835,119,8569,2147,426.40692640692646,1.0982925703737887
Congo (Kinshasa),2020-09-25,10578,271,10070,237,11.810944495930148,2.5619209680468895
Guinea,2020-09-25,10478,65,9816,597,79.78375085662073,0.620347394540943
Gabon,2020-09-25,8728,54,7934,740,392.0934411500449,0.618698441796517
Zimbabwe,2020-09-25,7787,227,6057,1503,52.391845522438274,2.915114935148324
Mozambique,2020-09-25,7589,53,4649,2887,24.280915053591425,0.6983792331005403
Mauritania,2020-09-25,7457,161,7070,226,160.36559139784947,2.1590451924366367
Uganda,2020-09-25,7218,71,3611,3536,15.780153472814323,0.9836519811582156
Malawi,2020-09-25,5764,179,4178,1407,30.13068478829064,3.1054823039555863
Cabo Verde,2020-09-25,5628,55,4982,591,1012.2302158273382,0.9772565742714996
Djibouti,2020-09-25,5409,61,5340,8,547.4696356275304,1.1277500462192642
Eswatini,2020-09-25,5399,108,4767,524,465.4310344827586,2.0003704389701795
Equatorial Guinea,2020-09-25,5018,83,4530,405,357.66215253029225,1.6540454364288562
Congo (Brazzaville),2020-09-25,5005,89,3887,1029,90.70315331641899,1.7782217782217784
Central African Republic,2020-09-25,4806,62,1840,2904,99.50310559006212,1.2900540990428633
Rwanda,2020-09-25,4798,29,3080,1689,37.04447189623224,0.6044185077115465
Angola,2020-09-25,4590,167,1554,2869,13.965800523337188,3.6383442265795205
Gambia,2020-09-25,3555,110,2034,1411,147.08316094331818,3.0942334739803097
Somalia,2020-09-25,3465,98,2877,490,21.802051217517146,2.8282828282828283
Mali,2020-09-25,3064,130,2402,532,15.130117031257715,4.242819843342036
Botswana,2020-09-25,2921,16,701,2204,124.19217687074831,0.5477576172543649
South Sudan,2020-09-25,2676,49,1290,1337,23.905663748436663,1.8310911808669654
Benin,2020-09-25,2325,40,1960,325,19.178421182875528,1.7204301075268817
Guinea-Bissau,2020-09-25,2324,39,1549,736,118.08943089430895,1.6781411359724614
Sierra Leone,2020-09-25,2199,72,1678,449,27.566754418954492,3.2742155525238745
Burkina Faso,2020-09-25,1962,56,1263,643,9.386212505382002,2.854230377166157
Togo,2020-09-25,1722,44,1312,366,20.799613479888876,2.5551684088269457
Lesotho,2020-09-25,1558,35,797,726,72.73576097105509,2.246469833119384
Liberia,2020-09-25,1338,82,1221,35,26.453143534994066,6.128550074738415
Niger,2020-09-25,1194,69,1107,18,4.932457553600198,5.778894472361809
Chad,2020-09-25,1175,83,1004,88,7.153293558991843,7.0638297872340425
Sao Tome and Principe,2020-09-25,911,15,881,15,415.98173515981733,1.646542261251372
Tanzania,2020-09-25,509,21,183,305,0.8521110255465899,4.12573673870334
Burundi,2020-09-25,483,1,462,20,4.061895551257253,0.2070393374741201
Comoros,2020-09-25,474,7,453,14,54.48275862068965,1.4767932489451476
Eritrea,2020-09-25,369,0,330,39,10.406091370558377,0.0
Mauritius,2020-09-25,367,10,343,14,28.852201257861637,2.7247956403269753
Seychelles,2020-09-25,143,0,140,3,145.91836734693877,0.0
