Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-09-07,639362,15004,566555,57803,1078.0185132104739,2.346714380898458
Egypt,2020-09-07,100041,5541,79008,15492,97.75929798502942,5.538729121060365
Morocco,2020-09-07,73780,1394,56096,16290,199.8862127820975,1.889400921658986
Ethiopia,2020-09-07,59648,933,21789,36926,51.884068056087116,1.5641765021459229
Nigeria,2020-09-07,55160,1061,43231,10868,26.758513631512564,1.923495286439449
Algeria,2020-09-07,46653,1562,32985,12106,106.38982007251829,3.3481233789895612
Ghana,2020-09-07,44869,283,43801,785,144.39867409004603,0.6307249994428225
Kenya,2020-09-07,35205,599,21310,13296,65.47209462349593,1.7014628603891493
Cameroon,2020-09-07,19604,415,18448,741,73.84916748285994,2.1169149153234033
Libya,2020-09-07,18834,296,2126,16412,274.1085722602241,1.5716257831581184
Cote d'Ivoire,2020-09-07,18701,119,17599,983,70.89620137993784,0.6363296080423506
Madagascar,2020-09-07,15352,202,14184,966,55.44039579646817,1.3157894736842104
Senegal,2020-09-07,14014,291,10037,3686,83.69565217391305,2.076494933637791
Sudan,2020-09-07,13437,833,6730,5874,30.64380031471641,6.199300439086105
Zambia,2020-09-07,12836,295,11748,793,69.82158398607484,2.298223745715176
Congo (Kinshasa),2020-09-07,10233,260,9451,522,11.425732182534809,2.5407993745724617
Guinea,2020-09-07,9816,62,8956,798,74.74301378207568,0.6316218418907905
Namibia,2020-09-07,8810,91,3806,4913,346.7138921684376,1.0329171396140748
Gabon,2020-09-07,8608,53,7533,1022,386.70260557053007,0.6157063197026023
Zimbabwe,2020-09-07,7298,210,5455,1633,49.101796407185624,2.8775006851192106
Mauritania,2020-09-07,7165,160,6681,324,154.08602150537632,2.2330774598743894
Malawi,2020-09-07,5621,176,3590,1855,29.38316779926817,3.131115459882583
Djibouti,2020-09-07,5388,61,5327,0,545.3441295546559,1.1321455085374907
Tunisia,2020-09-07,5124,94,1788,3242,43.35392165157797,1.834504293520687
Equatorial Guinea,2020-09-07,4985,83,4454,448,355.3100498930863,1.6649949849548646
Congo (Brazzaville),2020-09-07,4891,102,3887,902,88.63718738673433,2.0854630954814968
Eswatini,2020-09-07,4884,94,4029,761,421.0344827586207,1.9246519246519247
Central African Republic,2020-09-07,4729,62,1818,2849,97.90890269151139,1.3110594205963206
Mozambique,2020-09-07,4557,27,2697,1833,14.580067189249721,0.5924950625411455
Rwanda,2020-09-07,4409,19,2271,2119,34.04107473749228,0.4309367203447494
Cabo Verde,2020-09-07,4358,42,3790,526,783.8129496402877,0.9637448370812299
Uganda,2020-09-07,3776,44,1741,1991,8.255175881594193,1.1652542372881356
Somalia,2020-09-07,3362,97,2696,569,21.153967155351413,2.8851873884592503
Gambia,2020-09-07,3197,99,1315,1783,132.27141083988417,3.0966531122927745
Angola,2020-09-07,2981,120,1215,1646,9.070163695003956,4.02549480040255
Mali,2020-09-07,2870,127,2246,497,14.17213964742482,4.425087108013937
South Sudan,2020-09-07,2545,48,1290,1207,22.735393961050562,1.8860510805500983
Guinea-Bissau,2020-09-07,2245,38,1127,1080,114.07520325203254,1.6926503340757237
Benin,2020-09-07,2213,40,1793,380,18.254557452775718,1.807501129688206
Botswana,2020-09-07,2126,9,493,1624,90.39115646258503,0.4233301975540922
Sierra Leone,2020-09-07,2055,71,1611,373,25.761564497931555,3.454987834549878
Togo,2020-09-07,1493,33,1114,346,18.033578934653942,2.2103148024112524
Burkina Faso,2020-09-07,1463,56,1112,295,6.998995359517772,3.827751196172249
Liberia,2020-09-07,1311,82,1190,39,25.919335705812575,6.254767353165523
Niger,2020-09-07,1177,69,1091,17,4.862229933490313,5.862361937128292
Lesotho,2020-09-07,1148,31,528,589,53.59477124183007,2.7003484320557494
Chad,2020-09-07,1040,79,919,42,6.331425788384269,7.596153846153846
Sao Tome and Principe,2020-09-07,898,15,859,24,410.04566210045664,1.670378619153675
Tanzania,2020-09-07,509,21,183,305,0.8521110255465899,4.12573673870334
Burundi,2020-09-07,466,1,374,91,3.918930283407619,0.2145922746781116
Comoros,2020-09-07,452,7,410,35,51.95402298850574,1.5486725663716814
Mauritius,2020-09-07,356,10,335,11,27.9874213836478,2.8089887640449436
Eritrea,2020-09-07,330,0,295,35,9.30626057529611,0.0
Seychelles,2020-09-07,137,0,127,10,139.79591836734696,0.0
