Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-05-15,13524,247,6083,7194,22.802610059181575,1.826382727003845
Egypt,2020-05-15,11228,592,2799,7837,10.971915492407215,5.272532953330958
Morocco,2020-05-15,6652,190,3400,3062,18.021727940180433,2.85628382441371
Algeria,2020-05-15,6629,536,3271,2822,15.117101092335409,8.08568411525117
Ghana,2020-05-15,5638,28,1460,4150,18.14436971003765,0.4966300106420717
Nigeria,2020-05-15,5450,171,1320,3959,2.6438342873775103,3.1376146788990824
Cameroon,2020-05-15,3105,140,1567,1398,11.696677465531529,4.508856682769726
Guinea,2020-05-15,2473,15,895,1563,18.830427168202238,0.606550748079256
Senegal,2020-05-15,2310,25,890,1395,13.795986622073578,1.0822510822510822
Cote d'Ivoire,2020-05-15,2017,24,942,1051,7.646523618166653,1.189885969261279
Sudan,2020-05-15,1964,91,205,1668,4.479007503021734,4.633401221995927
Djibouti,2020-05-15,1309,4,935,370,132.48987854251013,0.30557677616501144
Congo (Kinshasa),2020-05-15,1298,50,212,1036,1.4492915443105816,3.8520801232665636
Somalia,2020-05-15,1284,53,135,1096,8.079028503114579,4.127725856697819
Gabon,2020-05-15,1209,10,219,980,54.31266846361186,0.8271298593879239
Tunisia,2020-05-15,1035,45,802,188,8.757086047888993,4.3478260869565215
Guinea-Bissau,2020-05-15,913,3,26,884,46.392276422764226,0.32858707557502737
Niger,2020-05-15,885,51,684,150,3.655967282191102,5.762711864406779
Mali,2020-05-15,806,46,455,305,3.9800503678830674,5.707196029776675
Kenya,2020-05-15,781,45,284,452,1.4524557847166688,5.761843790012804
Burkina Faso,2020-05-15,780,51,595,134,3.7315217911304597,6.538461538461539
Zambia,2020-05-15,654,7,124,523,3.557441253263707,1.0703363914373087
Equatorial Guinea,2020-05-15,594,7,22,565,42.33784746970777,1.1784511784511784
Tanzania,2020-05-15,509,21,183,305,0.8521110255465899,4.12573673870334
Sierra Leone,2020-05-15,447,27,97,323,5.603610379842046,6.0402684563758395
Chad,2020-05-15,428,48,88,292,2.6056252282966033,11.214953271028037
Congo (Brazzaville),2020-05-15,391,15,87,289,7.085900688655309,3.8363171355498724
Benin,2020-05-15,339,2,83,254,2.7963375402128188,0.5899705014749262
Mauritius,2020-05-15,332,10,322,0,26.10062893081761,3.0120481927710845
Cabo Verde,2020-05-15,326,2,67,257,58.63309352517986,0.6134969325153374
Central African Republic,2020-05-15,301,0,13,288,6.231884057971015,0.0
Ethiopia,2020-05-15,287,5,112,170,0.24964336661911554,1.7421602787456445
Rwanda,2020-05-15,287,0,177,110,2.2158739962940084,0.0
Togo,2020-05-15,263,11,96,156,3.1767121633047473,4.182509505703422
Madagascar,2020-05-15,238,0,112,126,0.8594850312375862,0.0
South Sudan,2020-05-15,236,4,4,228,2.1082722887261034,1.694915254237288
Sao Tome and Principe,2020-05-15,235,7,4,224,107.30593607305936,2.9787234042553195
Liberia,2020-05-15,219,20,108,91,4.329774614472123,9.1324200913242
Uganda,2020-05-15,203,0,63,140,0.44380315253273867,0.0
Eswatini,2020-05-15,190,2,66,122,16.379310344827587,1.0526315789473684
Mozambique,2020-05-15,119,0,42,77,0.3807390817469205,0.0
Libya,2020-05-15,64,3,28,33,0.9314510260515209,4.6875
Malawi,2020-05-15,63,3,24,36,0.3293256664924203,4.761904761904762
Angola,2020-05-15,48,2,17,29,0.1460475871721536,4.166666666666666
Zimbabwe,2020-05-15,42,4,13,25,0.2825809056045213,9.523809523809524
Eritrea,2020-05-15,39,0,39,0,1.0998307952622675,0.0
Mauritania,2020-05-15,29,3,7,19,0.6236559139784946,10.344827586206897
Botswana,2020-05-15,24,1,17,6,1.0204081632653061,4.166666666666666
Gambia,2020-05-15,23,1,10,12,0.9515928837401738,4.3478260869565215
Namibia,2020-05-15,16,0,13,3,0.6296733569460842,0.0
Burundi,2020-05-15,15,1,7,7,0.1261458245732066,6.666666666666667
Seychelles,2020-05-15,11,0,10,1,11.224489795918368,0.0
Comoros,2020-05-15,11,1,3,7,1.264367816091954,9.090909090909092
Lesotho,2020-05-15,1,0,0,1,0.04668534080298786,0.0
