Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2020-10-23,712412,18891,643523,49998,1201.1870036588039,2.651695928760324
Morocco,2020-10-23,190416,3205,157175,30036,515.8787353363496,1.6831568775733132
Egypt,2020-10-23,106230,6176,98713,1341,103.80714132155491,5.8138002447519534
Ethiopia,2020-10-23,92229,1400,46118,44711,80.22424411120002,1.5179607281874463
Nigeria,2020-10-23,61882,1129,57190,3563,30.019404288347722,1.8244400633463689
Algeria,2020-10-23,55630,1897,38788,14945,126.8614170714465,3.4100305590508717
Libya,2020-10-23,53384,774,29619,22991,776.9465871052248,1.4498726210100403
Kenya,2020-10-23,47843,884,33421,13538,88.97547004891112,1.8477102188407917
Ghana,2020-10-23,47601,314,46824,463,153.19087310526825,0.6596500073527867
Tunisia,2020-10-23,47214,784,5032,41398,399.475420932397,1.660524420722667
Cameroon,2020-10-23,21570,425,20117,1028,81.2551796880886,1.9703291608715807
Cote d'Ivoire,2020-10-23,20405,121,20100,184,77.35613010842368,0.5929919137466307
Madagascar,2020-10-23,16810,238,16215,357,60.70564443320935,1.4158239143367044
Zambia,2020-10-23,16095,346,15179,570,87.54895561357702,2.149735942839391
Senegal,2020-10-23,15525,321,14082,1122,92.71978021978022,2.0676328502415457
Sudan,2020-10-23,13733,836,6764,6133,31.318844215375492,6.0875263962717545
Namibia,2020-10-23,12501,133,10748,1620,491.97166469893745,1.0639148868090553
Mozambique,2020-10-23,11748,82,9234,2432,37.5875859862422,0.6979911474293496
Guinea,2020-10-23,11635,71,10474,1090,88.59361912738902,0.6102277610657499
Uganda,2020-10-23,11163,99,7269,3795,24.404800944448088,0.8868583714055361
Congo (Kinshasa),2020-10-23,11122,304,10379,439,12.41835173792164,2.7333213450818197
Gabon,2020-10-23,8919,54,8512,353,400.6738544474394,0.6054490413723511
Angola,2020-10-23,8829,265,3384,5180,26.863628065478,3.0014724204326653
Zimbabwe,2020-10-23,8257,236,7771,250,55.55406041848886,2.85818093738646
Cabo Verde,2020-10-23,8198,94,7034,1070,1474.4604316546763,1.1466211271041717
Mauritania,2020-10-23,7662,163,7374,125,164.7741935483871,2.127381884625424
Botswana,2020-10-23,5923,21,927,4975,251.828231292517,0.35455005909167653
Malawi,2020-10-23,5885,183,5287,415,30.763199163617355,3.109600679694138
Eswatini,2020-10-23,5831,116,5485,230,502.67241379310343,1.9893671754416051
Djibouti,2020-10-23,5528,61,5393,74,559.5141700404859,1.1034732272069465
Congo (Brazzaville),2020-10-23,5156,92,3887,1177,93.43965204784342,1.7843289371605897
Equatorial Guinea,2020-10-23,5074,83,4961,30,361.6535994297933,1.6357903035080803
Rwanda,2020-10-23,5052,34,4806,212,39.00555898702903,0.6730007917656373
Central African Republic,2020-10-23,4862,62,1924,2876,100.66252587991717,1.2751953928424515
Somalia,2020-10-23,3897,102,3166,629,24.520229031649155,2.617397998460354
Gambia,2020-10-23,3659,119,2660,880,151.3860157219694,3.252254714402842
Mali,2020-10-23,3444,132,2620,692,17.00656757690978,3.8327526132404177
South Sudan,2020-10-23,2876,56,1290,1530,25.692335179560477,1.9471488178025034
Benin,2020-10-23,2557,41,2330,186,21.092138909510847,1.6034415330465388
Burkina Faso,2020-10-23,2433,65,1996,372,11.63947758694924,2.6715988491574185
Guinea-Bissau,2020-10-23,2403,41,1818,544,122.10365853658536,1.706200582605077
Sierra Leone,2020-10-23,2343,74,1782,487,29.371944339977436,3.158344003414426
Togo,2020-10-23,2162,52,1586,524,26.114265007851188,2.4051803885291396
Lesotho,2020-10-23,1934,43,961,930,90.28944911297853,2.2233712512926576
Chad,2020-10-23,1423,96,1234,93,8.663095093145014,6.7463106113843985
Liberia,2020-10-23,1393,82,1278,33,27.540529853697116,5.886575735821967
Niger,2020-10-23,1215,69,1128,18,5.019209319618293,5.679012345679013
Sao Tome and Principe,2020-10-23,938,15,898,25,428.310502283105,1.5991471215351813
Burundi,2020-10-23,553,1,497,55,4.650576065932217,0.18083182640144665
Comoros,2020-10-23,517,7,494,16,59.425287356321846,1.3539651837524178
Tanzania,2020-10-23,509,21,183,305,0.8521110255465899,4.12573673870334
Eritrea,2020-10-23,461,0,405,56,13.000564015792444,0.0
Mauritius,2020-10-23,435,10,386,39,34.19811320754717,2.2988505747126435
Seychelles,2020-10-23,153,0,149,4,156.12244897959184,0.0
