,Country,08-15-2020_confirmed,08-15-2020_deaths,08-15-2020_recovered
0,Algeria,38133,1360,26644
1,Angola,1879,86,628
2,Benin,2063,39,1690
3,Botswana,1214,3,120
4,Burkina Faso,1240,54,1006
5,Burundi,412,1,315
6,Cabo Verde,3163,34,2302
7,Cameroon,18469,401,16540
8,Central African Republic,4652,61,1728
9,Chad,952,76,864
10,Comoros,403,7,379
11,Congo (Brazzaville),3745,60,1625
12,Congo (Kinshasa),9638,239,8597
13,Cote d'Ivoire,16993,108,13759
14,Djibouti,5367,59,5181
15,Egypt,96336,5141,58835
16,Equatorial Guinea,4821,83,2182
17,Eritrea,285,0,248
18,Eswatini,3745,69,2268
19,Ethiopia,28894,509,12037
20,Gabon,8225,51,6277
21,Gambia,1689,54,347
22,Ghana,42210,231,40147
23,Guinea,8343,50,7210
24,Guinea-Bissau,2117,33,1015
25,Kenya,29849,472,15970
26,Lesotho,903,25,271
27,Liberia,1257,82,788
28,Libya,7738,145,894
29,Madagascar,13724,166,12232
30,Malawi,5026,157,2623
31,Mali,2614,125,1986
32,Mauritania,6693,157,5928
33,Mauritius,346,10,334
34,Morocco,41017,632,28566
35,Mozambique,2791,19,1136
36,Namibia,3907,35,2352
37,Niger,1165,69,1077
38,Nigeria,48770,974,36290
39,Rwanda,2352,8,1631
40,Sao Tome and Principe,885,15,815
41,Senegal,12032,251,7637
42,Seychelles,127,0,126
43,Sierra Leone,1954,69,1505
44,Somalia,3250,93,2268
45,South Africa,583653,11677,466941
46,South Sudan,2488,47,1175
47,Sudan,12211,796,6340
48,Tanzania,509,21,183
49,Togo,1130,27,836
50,Tunisia,2023,54,1327
51,Uganda,1434,13,1142
52,Western Sahara,10,1,8
53,Zambia,9186,260,8065
54,Zimbabwe,5176,130,2047
