,Country,08-16-2020_confirmed,08-16-2020_deaths,08-16-2020_recovered
0,Algeria,38583,1370,27017
1,Angola,1906,88,628
2,Benin,2063,39,1690
3,Botswana,1214,3,120
4,Burkina Faso,1267,55,1013
5,Burundi,413,1,315
6,Cabo Verde,3179,35,2317
7,Cameroon,18469,401,16540
8,Central African Republic,4652,61,1728
9,Chad,956,76,865
10,Comoros,405,7,379
11,Congo (Brazzaville),3831,76,1625
12,Congo (Kinshasa),9676,240,8705
13,Cote d'Ivoire,17026,110,13947
14,Djibouti,5369,59,5202
15,Egypt,96475,5160,59743
16,Equatorial Guinea,4821,83,2182
17,Eritrea,285,0,248
18,Eswatini,3839,70,2268
19,Ethiopia,29876,528,12359
20,Gabon,8225,51,6277
21,Gambia,1872,63,401
22,Ghana,42532,231,40362
23,Guinea,8482,51,7364
24,Guinea-Bissau,2117,33,1015
25,Kenya,30120,474,16656
26,Lesotho,903,25,271
27,Liberia,1257,82,788
28,Libya,8172,153,933
29,Madagascar,13827,170,12424
30,Malawi,5072,161,2626
31,Mali,2640,125,1987
32,Mauritania,6701,157,5985
33,Mauritius,346,10,334
34,Morocco,42489,658,29344
35,Mozambique,2855,19,1163
36,Namibia,4154,35,2370
37,Niger,1167,69,1078
38,Nigeria,49068,975,36497
39,Rwanda,2453,8,1648
40,Sao Tome and Principe,885,15,818
41,Senegal,12162,253,7677
42,Seychelles,127,0,126
43,Sierra Leone,1956,69,1506
44,Somalia,3256,93,2374
45,South Africa,587345,11839,472377
46,South Sudan,2489,47,1175
47,Sudan,12314,798,6350
48,Tanzania,509,21,183
49,Togo,1147,27,843
50,Tunisia,2107,54,1358
51,Uganda,1500,13,1142
52,Western Sahara,10,1,8
53,Zambia,9343,260,8412
54,Zimbabwe,5261,132,2092
