,Country,08-13-2020_confirmed,08-13-2020_deaths,08-13-2020_recovered
0,Algeria,37187,1341,26004
1,Angola,1815,80,577
2,Benin,2014,38,1681
3,Botswana,1214,3,120
4,Burkina Faso,1228,54,997
5,Burundi,410,1,315
6,Cabo Verde,3073,33,2232
7,Cameroon,18308,401,15320
8,Central African Republic,4652,61,1728
9,Chad,949,76,860
10,Comoros,399,7,379
11,Congo (Brazzaville),3745,60,1625
12,Congo (Kinshasa),9589,234,8480
13,Cote d'Ivoire,16889,107,13522
14,Djibouti,5358,59,5167
15,Egypt,96108,5107,56890
16,Equatorial Guinea,4821,83,2182
17,Eritrea,285,0,248
18,Eswatini,3599,65,1991
19,Ethiopia,26204,479,11428
20,Gabon,8077,51,5920
21,Gambia,1556,43,267
22,Ghana,41725,223,39495
23,Guinea,8198,50,7120
24,Guinea-Bissau,2088,29,1015
25,Kenya,28754,460,15100
26,Lesotho,884,25,271
27,Liberia,1252,82,738
28,Libya,7050,135,816
29,Madagascar,13522,162,11780
30,Malawi,4912,153,2550
31,Mali,2597,125,1979
32,Mauritania,6653,157,5843
33,Mauritius,344,10,334
34,Morocco,37935,584,26687
35,Mozambique,2638,19,1015
36,Namibia,3544,27,848
37,Niger,1161,69,1075
38,Nigeria,48116,966,34309
39,Rwanda,2200,8,1558
40,Sao Tome and Principe,883,15,808
41,Senegal,11740,244,7572
42,Seychelles,127,0,126
43,Sierra Leone,1940,69,1496
44,Somalia,3227,93,1728
45,South Africa,572865,11270,437617
46,South Sudan,2478,47,1175
47,Sudan,12115,792,6305
48,Tanzania,509,21,183
49,Togo,1104,26,791
50,Tunisia,1847,53,1302
51,Uganda,1353,11,1141
52,Western Sahara,10,1,8
53,Zambia,8663,246,7401
54,Zimbabwe,4990,128,1927
