Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-27-2020,670766,16398,603721
Morocco,09-27-2020,117685,2069,95591
Egypt,09-27-2020,102840,5883,95080
Ethiopia,09-27-2020,73332,1170,30363
Nigeria,09-27-2020,58324,1108,49794
Algeria,09-27-2020,51067,1714,35860
Ghana,09-27-2020,46387,299,45618
Kenya,09-27-2020,38115,691,24621
Libya,09-27-2020,32364,520,18128
Cameroon,09-27-2020,20735,418,19440
Cote d'Ivoire,09-27-2020,19629,120,19163
Madagascar,09-27-2020,16285,229,14922
Tunisia,09-27-2020,16114,214,5032
Senegal,09-27-2020,14909,308,12113
Zambia,09-27-2020,14641,332,13784
Sudan,09-27-2020,13606,836,6764
Namibia,09-27-2020,11033,120,8776
Congo (Kinshasa),09-27-2020,10612,271,10093
Guinea,09-27-2020,10580,66,9892
Gabon,09-27-2020,8728,54,7934
Mozambique,09-27-2020,7983,58,4807
Zimbabwe,09-27-2020,7812,227,6106
Uganda,09-27-2020,7530,73,3647
Mauritania,09-27-2020,7464,161,7070
Cabo Verde,09-27-2020,5771,57,5031
Malawi,09-27-2020,5768,179,4206
Eswatini,09-27-2020,5431,108,4821
Djibouti,09-27-2020,5409,61,5340
Equatorial Guinea,09-27-2020,5028,83,4740
Congo (Brazzaville),09-27-2020,5008,89,3887
Rwanda,09-27-2020,4820,29,3099
Central African Republic,09-27-2020,4806,62,1840
Angola,09-27-2020,4718,174,1707
Somalia,09-27-2020,3588,99,2946
Gambia,09-27-2020,3569,111,2161
Mali,09-27-2020,3086,130,2420
Botswana,09-27-2020,2921,16,701
South Sudan,09-27-2020,2686,49,1290
Benin,09-27-2020,2340,40,1960
Guinea-Bissau,09-27-2020,2324,39,1549
Sierra Leone,09-27-2020,2215,72,1681
Burkina Faso,09-27-2020,2008,56,1276
Togo,09-27-2020,1743,46,1330
Lesotho,09-27-2020,1558,35,797
Liberia,09-27-2020,1339,82,1221
Niger,09-27-2020,1196,69,1107
Chad,09-27-2020,1178,84,1005
Sao Tome and Principe,09-27-2020,911,15,883
Tanzania,09-27-2020,509,21,183
Burundi,09-27-2020,485,1,472
Comoros,09-27-2020,478,7,458
Eritrea,09-27-2020,375,0,341
Mauritius,09-27-2020,367,10,343
Seychelles,09-27-2020,143,0,140
Western Sahara,09-27-2020,10,1,8
