Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,08-25-2020,613017,13308,520381
Egypt,08-25-2020,97619,5298,67717
Morocco,08-25-2020,54528,955,38293
Nigeria,08-25-2020,52800,1007,39964
Ghana,08-25-2020,43717,270,41843
Ethiopia,08-25-2020,43688,709,15796
Algeria,08-25-2020,42228,1456,29587
Kenya,08-25-2020,32803,559,19055
Cameroon,08-25-2020,18973,410,16540
Cote d'Ivoire,08-25-2020,17562,114,15908
Madagascar,08-25-2020,14475,178,13492
Senegal,08-25-2020,13056,274,8715
Sudan,08-25-2020,12974,819,6557
Zambia,08-25-2020,11285,282,10400
Libya,08-25-2020,11281,203,1112
Congo (Kinshasa),08-25-2020,9891,251,8972
Guinea,08-25-2020,9128,57,8040
Gabon,08-25-2020,8409,53,6959
Mauritania,08-25-2020,6960,158,6321
Zimbabwe,08-25-2020,6196,166,4961
Namibia,08-25-2020,6160,57,2732
Malawi,08-25-2020,5423,170,3066
Djibouti,08-25-2020,5383,60,5282
Equatorial Guinea,08-25-2020,4926,83,3795
Central African Republic,08-25-2020,4691,61,1773
Eswatini,08-25-2020,4327,86,2959
Congo (Brazzaville),08-25-2020,3979,78,1742
Cabo Verde,08-25-2020,3568,37,2673
Rwanda,08-25-2020,3537,15,1806
Mozambique,08-25-2020,3508,21,1809
Somalia,08-25-2020,3275,95,2443
Tunisia,08-25-2020,3069,71,1456
Mali,08-25-2020,2713,125,2041
Gambia,08-25-2020,2686,90,601
South Sudan,08-25-2020,2507,47,1290
Uganda,08-25-2020,2426,25,1267
Angola,08-25-2020,2283,102,977
Guinea-Bissau,08-25-2020,2149,33,1015
Benin,08-25-2020,2115,39,1705
Sierra Leone,08-25-2020,2001,69,1569
Botswana,08-25-2020,1562,3,199
Burkina Faso,08-25-2020,1338,55,1050
Togo,08-25-2020,1309,27,919
Liberia,08-25-2020,1295,82,821
Niger,08-25-2020,1173,69,1084
Lesotho,08-25-2020,1049,30,472
Chad,08-25-2020,995,77,871
Sao Tome and Principe,08-25-2020,892,15,833
Tanzania,08-25-2020,509,21,183
Burundi,08-25-2020,430,1,345
Comoros,08-25-2020,417,7,399
Mauritius,08-25-2020,348,10,335
Eritrea,08-25-2020,315,0,276
Seychelles,08-25-2020,136,0,127
Western Sahara,08-25-2020,10,1,8
