Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-17-2020,754256,20432,696820
Morocco,11-17-2020,301604,4932,247594
Egypt,11-17-2020,111284,6481,101288
Ethiopia,11-17-2020,103395,1588,64293
Tunisia,11-17-2020,81723,2445,56748
Libya,11-17-2020,74936,1041,45371
Kenya,11-17-2020,71729,1302,47262
Algeria,11-17-2020,69591,2186,45148
Nigeria,11-17-2020,65457,1163,61337
Ghana,11-17-2020,50376,323,48626
Cameroon,11-17-2020,22896,433,21510
Cote d'Ivoire,11-17-2020,21004,129,20675
Madagascar,11-17-2020,17310,250,16592
Zambia,11-17-2020,17243,353,16473
Uganda,11-17-2020,16563,150,8277
Senegal,11-17-2020,15806,329,15425
Sudan,11-17-2020,15047,1175,9609
Mozambique,11-17-2020,14566,118,12646
Angola,11-17-2020,13818,328,6582
Namibia,11-17-2020,13566,140,13140
Guinea,11-17-2020,12654,75,11386
Congo (Kinshasa),11-17-2020,11866,322,11180
Cabo Verde,11-17-2020,9960,103,9438
Botswana,11-17-2020,9103,30,6801
Gabon,11-17-2020,9084,58,8957
Zimbabwe,11-17-2020,8945,260,8164
Mauritania,11-17-2020,7994,165,7550
Eswatini,11-17-2020,6124,119,5812
Malawi,11-17-2020,5971,185,5402
Djibouti,11-17-2020,5656,61,5548
Congo (Brazzaville),11-17-2020,5515,92,3887
Rwanda,11-17-2020,5507,46,5008
Equatorial Guinea,11-17-2020,5121,85,4975
Central African Republic,11-17-2020,4900,63,1924
Somalia,11-17-2020,4382,108,3384
Mali,11-17-2020,3980,141,2972
Gambia,11-17-2020,3705,122,3576
South Sudan,11-17-2020,3016,59,1290
Benin,11-17-2020,2884,43,2579
Togo,11-17-2020,2722,62,2006
Burkina Faso,11-17-2020,2652,68,2454
Guinea-Bissau,11-17-2020,2419,43,2255
Sierra Leone,11-17-2020,2392,74,1823
Lesotho,11-17-2020,2052,44,1223
Chad,11-17-2020,1608,101,1450
Liberia,11-17-2020,1512,82,1318
Niger,11-17-2020,1327,70,1150
Sao Tome and Principe,11-17-2020,967,16,917
Burundi,11-17-2020,631,1,549
Comoros,11-17-2020,591,7,558
Eritrea,11-17-2020,518,0,451
Tanzania,11-17-2020,509,21,183
Mauritius,11-17-2020,491,10,431
Seychelles,11-17-2020,160,0,157
Western Sahara,11-17-2020,10,1,8
