Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,08-20-2020,599940,12618,497169
Egypt,08-20-2020,97025,5212,63462
Nigeria,08-20-2020,50964,992,37569
Morocco,08-20-2020,47638,775,32806
Ghana,08-20-2020,43260,261,41276
Algeria,08-20-2020,40258,1411,28281
Ethiopia,08-20-2020,35836,620,13536
Kenya,08-20-2020,31441,516,17869
Cameroon,08-20-2020,18762,408,16540
Cote d'Ivoire,08-20-2020,17249,112,14611
Madagascar,08-20-2020,14154,177,13038
Sudan,08-20-2020,12582,812,6456
Senegal,08-20-2020,12559,261,8050
Zambia,08-20-2020,10372,274,9126
Congo (Kinshasa),08-20-2020,9757,247,8895
Libya,08-20-2020,9707,173,1047
Guinea,08-20-2020,8876,53,7628
Gabon,08-20-2020,8319,53,6614
Mauritania,08-20-2020,6848,158,6123
Zimbabwe,08-20-2020,5745,151,4525
Djibouti,08-20-2020,5374,59,5216
Malawi,08-20-2020,5282,165,2883
Namibia,08-20-2020,4912,41,2442
Equatorial Guinea,08-20-2020,4892,83,2713
Central African Republic,08-20-2020,4679,61,1755
Eswatini,08-20-2020,4110,81,2643
Congo (Brazzaville),08-20-2020,3850,77,1625
Cabo Verde,08-20-2020,3368,37,2462
Somalia,08-20-2020,3265,93,2396
Mozambique,08-20-2020,3115,20,1380
Rwanda,08-20-2020,2717,11,1705
Mali,08-20-2020,2667,125,1993
Tunisia,08-20-2020,2543,63,1397
South Sudan,08-20-2020,2494,47,1290
Gambia,08-20-2020,2401,81,435
Guinea-Bissau,08-20-2020,2149,33,1015
Benin,08-20-2020,2095,39,1705
Angola,08-20-2020,2044,93,742
Sierra Leone,08-20-2020,1969,69,1536
Uganda,08-20-2020,1750,19,1194
Botswana,08-20-2020,1308,3,136
Burkina Faso,08-20-2020,1297,55,1034
Liberia,08-20-2020,1284,82,803
Togo,08-20-2020,1212,27,878
Niger,08-20-2020,1169,69,1082
Lesotho,08-20-2020,996,30,423
Chad,08-20-2020,972,76,869
Sao Tome and Principe,08-20-2020,888,15,829
Tanzania,08-20-2020,509,21,183
Burundi,08-20-2020,422,1,336
Comoros,08-20-2020,417,7,396
Mauritius,08-20-2020,346,10,334
Eritrea,08-20-2020,306,0,274
Seychelles,08-20-2020,132,0,126
Western Sahara,08-20-2020,10,1,8
