Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-25-2020,715868,18968,646170
Morocco,10-25-2020,197481,3301,163195
Egypt,10-25-2020,106540,6199,98903
Ethiopia,10-25-2020,93343,1426,47543
Nigeria,10-25-2020,61992,1130,57465
Algeria,10-25-2020,56143,1914,39095
Libya,10-25-2020,56013,795,30731
Kenya,10-25-2020,49721,902,34209
Tunisia,10-25-2020,48799,819,5032
Ghana,10-25-2020,47690,316,46887
Cameroon,10-25-2020,21570,425,20117
Cote d'Ivoire,10-25-2020,20470,122,20166
Madagascar,10-25-2020,16968,244,16301
Zambia,10-25-2020,16117,348,15179
Senegal,10-25-2020,15551,321,14254
Sudan,10-25-2020,13742,837,6764
Namibia,10-25-2020,12660,133,10779
Mozambique,10-25-2020,11986,86,9253
Guinea,10-25-2020,11635,71,10474
Uganda,10-25-2020,11443,101,7351
Congo (Kinshasa),10-25-2020,11143,305,10467
Angola,10-25-2020,9381,268,3508
Gabon,10-25-2020,8919,54,8512
Cabo Verde,10-25-2020,8396,94,7285
Zimbabwe,10-25-2020,8276,237,7797
Mauritania,10-25-2020,7664,163,7385
Botswana,10-25-2020,5923,21,927
Malawi,10-25-2020,5890,183,5291
Eswatini,10-25-2020,5854,116,5502
Djibouti,10-25-2020,5536,61,5402
Congo (Brazzaville),10-25-2020,5253,92,3887
Equatorial Guinea,10-25-2020,5079,83,4962
Rwanda,10-25-2020,5066,34,4830
Central African Republic,10-25-2020,4862,62,1924
Somalia,10-25-2020,3941,104,3185
Gambia,10-25-2020,3660,119,2660
Mali,10-25-2020,3490,132,2661
South Sudan,10-25-2020,2883,56,1290
Benin,10-25-2020,2557,41,2330
Burkina Faso,10-25-2020,2451,65,2019
Guinea-Bissau,10-25-2020,2403,41,1818
Sierra Leone,10-25-2020,2346,74,1787
Togo,10-25-2020,2200,52,1600
Lesotho,10-25-2020,1940,43,970
Chad,10-25-2020,1437,96,1268
Liberia,10-25-2020,1393,82,1278
Niger,10-25-2020,1215,69,1128
Sao Tome and Principe,10-25-2020,940,15,902
Burundi,10-25-2020,557,1,511
Comoros,10-25-2020,517,7,494
Tanzania,10-25-2020,509,21,183
Eritrea,10-25-2020,461,0,405
Mauritius,10-25-2020,435,10,386
Seychelles,10-25-2020,153,0,149
Western Sahara,10-25-2020,10,1,8
