Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-01-2020,628259,14263,549993
Egypt,09-01-2020,99115,5440,73828
Morocco,09-01-2020,63781,1184,48922
Nigeria,09-01-2020,54247,1023,42010
Ethiopia,09-01-2020,53304,828,19487
Algeria,09-01-2020,44833,1518,31493
Ghana,09-01-2020,44460,276,43121
Kenya,09-01-2020,34315,577,20211
Cameroon,09-01-2020,19409,414,17651
Cote d'Ivoire,09-01-2020,18103,117,16814
Madagascar,09-01-2020,14957,195,13915
Libya,09-01-2020,14624,242,1676
Senegal,09-01-2020,13655,284,9484
Sudan,09-01-2020,13189,823,6612
Zambia,09-01-2020,12381,290,11479
Congo (Kinshasa),09-01-2020,10104,259,9322
Guinea,09-01-2020,9479,59,8527
Gabon,09-01-2020,8533,53,7264
Namibia,09-01-2020,7692,81,3379
Mauritania,09-01-2020,7075,159,6464
Zimbabwe,09-01-2020,6559,203,5241
Malawi,09-01-2020,5576,175,3420
Djibouti,09-01-2020,5387,60,5327
Equatorial Guinea,09-01-2020,4965,83,3884
Central African Republic,09-01-2020,4711,62,1790
Eswatini,09-01-2020,4618,94,3562
Rwanda,09-01-2020,4142,16,2044
Mozambique,09-01-2020,4039,23,2170
Congo (Brazzaville),09-01-2020,3979,78,1742
Cabo Verde,09-01-2020,3970,40,3423
Tunisia,09-01-2020,3963,80,1624
Somalia,09-01-2020,3310,98,2481
Uganda,09-01-2020,3037,32,1489
Gambia,09-01-2020,3029,96,1032
Mali,09-01-2020,2777,126,2178
Angola,09-01-2020,2729,109,1084
South Sudan,09-01-2020,2527,47,1290
Guinea-Bissau,09-01-2020,2205,34,1127
Benin,09-01-2020,2145,40,1738
Sierra Leone,09-01-2020,2028,71,1594
Botswana,09-01-2020,1724,6,493
Togo,09-01-2020,1416,28,1035
Burkina Faso,09-01-2020,1370,55,1075
Liberia,09-01-2020,1305,82,1158
Niger,09-01-2020,1176,69,1088
Lesotho,09-01-2020,1085,31,528
Chad,09-01-2020,1017,77,884
Sao Tome and Principe,09-01-2020,896,15,853
Tanzania,09-01-2020,509,21,183
Burundi,09-01-2020,445,1,357
Comoros,09-01-2020,427,7,410
Mauritius,09-01-2020,356,10,335
Eritrea,09-01-2020,319,0,284
Seychelles,09-01-2020,136,0,127
Western Sahara,09-01-2020,10,1,8
