Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-02-2020,677833,16909,611044
Morocco,10-02-2020,128565,2263,106044
Egypt,10-02-2020,103466,5956,97143
Ethiopia,10-02-2020,76988,1208,31677
Nigeria,10-02-2020,59127,1112,50593
Algeria,10-02-2020,51847,1749,36385
Ghana,10-02-2020,46694,301,45945
Kenya,10-02-2020,38923,725,25114
Libya,10-02-2020,35717,570,20334
Cameroon,10-02-2020,20924,420,19764
Cote d'Ivoire,10-02-2020,19793,120,19357
Tunisia,10-02-2020,19721,271,5032
Madagascar,10-02-2020,16493,232,15467
Senegal,10-02-2020,15051,312,12694
Zambia,10-02-2020,14830,333,13980
Sudan,10-02-2020,13653,836,6764
Namibia,10-02-2020,11480,123,9351
Guinea,10-02-2020,10735,66,10066
Congo (Kinshasa),10-02-2020,10729,272,10183
Mozambique,10-02-2020,8979,64,5595
Gabon,10-02-2020,8797,54,8067
Uganda,10-02-2020,8491,79,4470
Zimbabwe,10-02-2020,7858,228,6322
Mauritania,10-02-2020,7511,162,7163
Cabo Verde,10-02-2020,6205,62,5399
Malawi,10-02-2020,5783,179,4535
Eswatini,10-02-2020,5521,111,5061
Djibouti,10-02-2020,5417,61,5346
Angola,10-02-2020,5211,189,2215
Congo (Brazzaville),10-02-2020,5089,89,3887
Equatorial Guinea,10-02-2020,5045,83,4879
Rwanda,10-02-2020,4847,29,3197
Central African Republic,10-02-2020,4829,62,1914
Somalia,10-02-2020,3593,99,3001
Gambia,10-02-2020,3585,115,2224
Botswana,10-02-2020,3172,16,710
Mali,10-02-2020,3156,131,2467
South Sudan,10-02-2020,2715,50,1290
Guinea-Bissau,10-02-2020,2362,39,1549
Benin,10-02-2020,2357,41,1973
Sierra Leone,10-02-2020,2252,72,1697
Burkina Faso,10-02-2020,2123,59,1385
Togo,10-02-2020,1818,48,1365
Lesotho,10-02-2020,1680,39,926
Liberia,10-02-2020,1346,82,1221
Chad,10-02-2020,1211,85,1070
Niger,10-02-2020,1198,69,1115
Sao Tome and Principe,10-02-2020,911,15,886
Burundi,10-02-2020,513,1,472
Tanzania,10-02-2020,509,21,183
Comoros,10-02-2020,484,7,466
Mauritius,10-02-2020,385,10,344
Eritrea,10-02-2020,381,0,353
Seychelles,10-02-2020,145,0,143
Western Sahara,10-02-2020,10,1,8
