Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-02-2020,727595,19465,657500
Morocco,11-02-2020,225070,3826,187101
Egypt,11-02-2020,107925,6291,99652
Ethiopia,11-02-2020,96942,1489,54405
Nigeria,11-02-2020,63036,1147,59328
Libya,11-02-2020,62907,880,36608
Tunisia,11-02-2020,61906,1381,5032
Algeria,11-02-2020,58574,1980,40577
Kenya,11-02-2020,56601,1027,37442
Ghana,11-02-2020,48200,320,47260
Cameroon,11-02-2020,22103,429,21151
Cote d'Ivoire,11-02-2020,20753,126,20410
Madagascar,11-02-2020,17111,244,16409
Zambia,11-02-2020,16543,349,15733
Senegal,11-02-2020,15637,325,15059
Sudan,11-02-2020,13866,837,6764
Mozambique,11-02-2020,13130,94,10439
Namibia,11-02-2020,13012,133,11201
Uganda,11-02-2020,12971,114,7556
Guinea,11-02-2020,12213,73,10600
Congo (Kinshasa),11-02-2020,11395,308,10768
Angola,11-02-2020,11228,289,5172
Gabon,11-02-2020,8984,55,8779
Cabo Verde,11-02-2020,8882,95,8110
Zimbabwe,11-02-2020,8389,245,7939
Mauritania,11-02-2020,7704,163,7437
Botswana,11-02-2020,6642,24,4676
Malawi,11-02-2020,5933,184,5323
Eswatini,11-02-2020,5929,117,5657
Djibouti,11-02-2020,5573,61,5460
Congo (Brazzaville),11-02-2020,5290,92,3887
Rwanda,11-02-2020,5155,35,4922
Equatorial Guinea,11-02-2020,5089,83,4965
Central African Republic,11-02-2020,4866,62,1924
Somalia,11-02-2020,3941,104,3185
Gambia,11-02-2020,3672,119,3196
Mali,11-02-2020,3573,136,2769
South Sudan,11-02-2020,2926,59,1290
Benin,11-02-2020,2683,41,2455
Burkina Faso,11-02-2020,2517,67,2281
Guinea-Bissau,11-02-2020,2413,41,1818
Sierra Leone,11-02-2020,2366,74,1802
Togo,11-02-2020,2364,57,1681
Lesotho,11-02-2020,1961,44,988
Chad,11-02-2020,1499,98,1329
Liberia,11-02-2020,1436,82,1283
Niger,11-02-2020,1222,69,1141
Sao Tome and Principe,11-02-2020,949,16,904
Burundi,11-02-2020,589,1,511
Comoros,11-02-2020,545,7,498
Tanzania,11-02-2020,509,21,183
Eritrea,11-02-2020,480,0,426
Mauritius,11-02-2020,451,10,413
Seychelles,11-02-2020,153,0,149
Western Sahara,11-02-2020,10,1,8
