Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-31-2020,1057161,28469,879671.0
Morocco,12-31-2020,439193,7388,407504.0
Tunisia,12-31-2020,139140,4676,105364.0
Egypt,12-31-2020,138062,7631,112105.0
Ethiopia,12-31-2020,124264,1923,112096.0
Libya,12-31-2020,100277,1478,72107.0
Algeria,12-31-2020,99610,2756,67127.0
Kenya,12-31-2020,96458,1670,78737.0
Nigeria,12-31-2020,87607,1289,73713.0
Ghana,12-31-2020,54771,335,53594.0
Uganda,12-31-2020,35216,251,11733.0
Cameroon,12-31-2020,26277,448,24892.0
Sudan,12-31-2020,25500,1468,13524.0
Namibia,12-31-2020,23941,205,20076.0
Cote d'Ivoire,12-31-2020,22490,137,21934.0
Zambia,12-31-2020,20725,388,18660.0
Senegal,12-31-2020,19140,410,17254.0
Mozambique,12-31-2020,18642,166,16663.0
Madagascar,12-31-2020,17714,261,17228.0
Congo (Kinshasa),12-31-2020,17658,591,14701.0
Angola,12-31-2020,17553,405,11044.0
Botswana,12-31-2020,14805,42,12136.0
Mauritania,12-31-2020,14364,347,11380.0
Zimbabwe,12-31-2020,13867,363,11250.0
Guinea,12-31-2020,13722,81,13141.0
Cabo Verde,12-31-2020,11840,113,11559.0
Gabon,12-31-2020,9571,64,9388.0
Eswatini,12-31-2020,9358,205,7073.0
Rwanda,12-31-2020,8383,92,6542.0
Congo (Brazzaville),12-31-2020,7107,108,5846.0
Mali,12-31-2020,7090,269,4650.0
Burkina Faso,12-31-2020,6707,85,5100.0
Malawi,12-31-2020,6583,189,5705.0
Djibouti,12-31-2020,5831,61,5728.0
Equatorial Guinea,12-31-2020,5277,86,5136.0
Central African Republic,12-31-2020,4963,63,1924.0
Somalia,12-31-2020,4714,130,3612.0
Gambia,12-31-2020,3797,124,3664.0
Togo,12-31-2020,3633,68,3393.0
South Sudan,12-31-2020,3558,63,3131.0
Niger,12-31-2020,3323,104,1825.0
Benin,12-31-2020,3251,44,3061.0
Lesotho,12-31-2020,3094,51,1480.0
Sierra Leone,12-31-2020,2611,76,1892.0
Guinea-Bissau,12-31-2020,2452,45,2397.0
Chad,12-31-2020,2113,104,1704.0
Liberia,12-31-2020,1779,83,1406.0
Eritrea,12-31-2020,1320,3,643.0
Sao Tome and Principe,12-31-2020,1014,17,971.0
Comoros,12-31-2020,823,10,705.0
Burundi,12-31-2020,818,2,687.0
Mauritius,12-31-2020,527,10,496.0
Tanzania,12-31-2020,509,21,183.0
Seychelles,12-31-2020,256,0,214.0
