,Country,07-06-2020_confirmed,07-06-2020_deaths,07-06-2020_recovered
0,Algeria,16404,959,11884
1,Angola,346,19,108
2,Benin,1199,21,333
3,Burkina Faso,1000,53,858
4,Cabo Verde,1463,17,722
5,Cameroon,12592,313,10100
6,Central African Republic,4033,52,970
7,Chad,872,74,787
8,Djibouti,4822,55,4610
9,Egypt,76222,3422,21238
10,Equatorial Guinea,3071,51,842
11,Eritrea,215,0,56
12,Ethiopia,5846,103,2430
13,Gabon,5743,46,2574
14,Gambia,61,3,27
15,Ghana,21077,129,16070
16,Guinea,5610,34,4522
17,Kenya,8067,164,2414
18,Liberia,891,39,377
19,Madagascar,3250,33,1135
20,Mauritania,4948,133,1896
21,Mauritius,342,10,330
22,Morocco,14379,237,10173
23,Namibia,485,0,25
24,Niger,1093,68,968
25,Nigeria,29286,654,11828
26,Rwanda,1113,3,575
27,Senegal,7478,136,4870
28,Seychelles,81,0,11
29,Somalia,3006,92,1051
30,South Africa,205721,3310,97848
31,Sudan,9894,616,4899
32,Tanzania,509,21,183
33,Togo,680,15,450
34,Tunisia,1199,50,1049
35,Uganda,953,0,892
36,Zambia,1632,30,1348
37,Zimbabwe,734,9,197
38,Mozambique,1012,8,277
39,Libya,1117,34,269
40,Guinea-Bissau,1790,25,760
41,Mali,2331,119,1547
42,Botswana,314,1,31
43,Burundi,191,1,118
44,Sierra Leone,1547,62,1086
45,Malawi,1742,19,317
46,South Sudan,2021,38,333
47,Sao Tome and Principe,721,13,269
48,Comoros,311,7,266
49,Lesotho,91,0,11
