Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-27-2020,717851,19053,647833
Morocco,10-27-2020,203733,3445,168706
Egypt,10-27-2020,106877,6222,99084
Ethiopia,10-27-2020,94218,1445,48968
Nigeria,10-27-2020,62224,1135,57916
Libya,10-27-2020,57975,812,32253
Algeria,10-27-2020,56706,1931,39444
Tunisia,10-27-2020,52399,983,5032
Kenya,10-27-2020,50833,934,34832
Ghana,10-27-2020,47775,316,46971
Cameroon,10-27-2020,21793,426,20117
Cote d'Ivoire,10-27-2020,20488,122,20229
Madagascar,10-27-2020,16968,244,16301
Zambia,10-27-2020,16243,348,15481
Senegal,10-27-2020,15571,322,14437
Sudan,10-27-2020,13747,837,6764
Namibia,10-27-2020,12729,133,10878
Mozambique,10-27-2020,12273,89,9282
Guinea,10-27-2020,11819,71,10505
Uganda,10-27-2020,11621,103,7400
Congo (Kinshasa),10-27-2020,11191,305,10509
Angola,10-27-2020,9871,271,3647
Gabon,10-27-2020,8937,54,8548
Cabo Verde,10-27-2020,8472,94,7599
Zimbabwe,10-27-2020,8315,242,7804
Mauritania,10-27-2020,7680,163,7392
Botswana,10-27-2020,6283,21,4438
Malawi,10-27-2020,5897,183,5299
Eswatini,10-27-2020,5875,116,5524
Djibouti,10-27-2020,5544,61,5421
Congo (Brazzaville),10-27-2020,5253,92,3887
Rwanda,10-27-2020,5084,35,4851
Equatorial Guinea,10-27-2020,5083,83,4964
Central African Republic,10-27-2020,4863,62,1924
Somalia,10-27-2020,3941,104,3185
Gambia,10-27-2020,3666,119,2666
Mali,10-27-2020,3515,136,2665
South Sudan,10-27-2020,2890,56,1290
Benin,10-27-2020,2557,41,2330
Burkina Faso,10-27-2020,2466,67,2181
Guinea-Bissau,10-27-2020,2403,41,1818
Sierra Leone,10-27-2020,2350,74,1790
Togo,10-27-2020,2229,54,1612
Lesotho,10-27-2020,1947,43,975
Chad,10-27-2020,1460,96,1290
Liberia,10-27-2020,1419,82,1278
Niger,10-27-2020,1218,69,1132
Sao Tome and Principe,10-27-2020,941,15,902
Burundi,10-27-2020,558,1,511
Comoros,10-27-2020,517,7,494
Tanzania,10-27-2020,509,21,183
Eritrea,10-27-2020,461,0,405
Mauritius,10-27-2020,439,10,389
Seychelles,10-27-2020,153,0,149
Western Sahara,10-27-2020,10,1,8
