Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-21-2020,661936,15992,591208
Morocco,09-21-2020,103119,1855,84158
Egypt,09-21-2020,102141,5787,90332
Ethiopia,09-21-2020,69709,1108,28634
Nigeria,09-21-2020,57437,1100,48674
Algeria,09-21-2020,50023,1679,35180
Ghana,09-21-2020,46062,297,45258
Kenya,09-21-2020,37079,650,23949
Libya,09-21-2020,28796,450,15384
Cameroon,09-21-2020,20598,416,19124
Cote d'Ivoire,09-21-2020,19327,120,18630
Madagascar,09-21-2020,16073,225,14682
Senegal,09-21-2020,14738,302,11458
Zambia,09-21-2020,14175,331,13629
Sudan,09-21-2020,13555,836,6760
Tunisia,09-21-2020,11260,164,2386
Namibia,09-21-2020,10526,113,8112
Congo (Kinshasa),09-21-2020,10519,271,9952
Guinea,09-21-2020,10344,65,9757
Gabon,09-21-2020,8704,54,7875
Zimbabwe,09-21-2020,7683,225,5924
Mauritania,09-21-2020,7384,161,6977
Mozambique,09-21-2020,6912,44,3738
Uganda,09-21-2020,6468,63,2731
Malawi,09-21-2020,5733,179,4053
Djibouti,09-21-2020,5404,61,5336
Eswatini,09-21-2020,5282,104,4647
Cabo Verde,09-21-2020,5281,52,4674
Equatorial Guinea,09-21-2020,5002,83,4509
Congo (Brazzaville),09-21-2020,5002,89,3887
Central African Republic,09-21-2020,4786,62,1830
Rwanda,09-21-2020,4722,27,2973
Angola,09-21-2020,4117,154,1449
Gambia,09-21-2020,3526,108,1992
Somalia,09-21-2020,3465,98,2877
Mali,09-21-2020,3024,128,2377
South Sudan,09-21-2020,2649,49,1290
Botswana,09-21-2020,2567,13,624
Guinea-Bissau,09-21-2020,2303,39,1127
Benin,09-21-2020,2294,40,1954
Sierra Leone,09-21-2020,2168,72,1650
Burkina Faso,09-21-2020,1896,56,1189
Togo,09-21-2020,1669,41,1274
Lesotho,09-21-2020,1424,33,754
Liberia,09-21-2020,1336,82,1218
Niger,09-21-2020,1189,69,1104
Chad,09-21-2020,1153,81,967
Sao Tome and Principe,09-21-2020,908,15,880
Tanzania,09-21-2020,509,21,183
Burundi,09-21-2020,474,1,462
Comoros,09-21-2020,470,7,450
Mauritius,09-21-2020,366,10,338
Eritrea,09-21-2020,364,0,305
Seychelles,09-21-2020,143,0,136
Western Sahara,09-21-2020,10,1,8
