Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-22-2020,767679,20903,710099
Morocco,11-22-2020,324941,5316,270457
Egypt,11-22-2020,113027,6548,101881
Ethiopia,11-22-2020,105785,1647,65691
Tunisia,11-22-2020,88711,2821,62249
Libya,11-22-2020,77823,1089,48914
Kenya,11-22-2020,77372,1380,51507
Algeria,11-22-2020,74862,2272,48794
Nigeria,11-22-2020,66383,1167,62076
Ghana,11-22-2020,50874,323,49405
Cameroon,11-22-2020,23528,435,22177
Cote d'Ivoire,11-22-2020,21138,131,20798
Uganda,11-22-2020,17968,172,8611
Zambia,11-22-2020,17424,357,16701
Madagascar,11-22-2020,17341,251,16657
Sudan,11-22-2020,16052,1197,9737
Senegal,11-22-2020,15882,330,15488
Mozambique,11-22-2020,15037,124,13151
Angola,11-22-2020,14493,337,7346
Namibia,11-22-2020,13865,145,13225
Guinea,11-22-2020,12826,75,11838
Congo (Kinshasa),11-22-2020,12180,327,11300
Cabo Verde,11-22-2020,10276,104,9730
Botswana,11-22-2020,9594,31,7296
Zimbabwe,11-22-2020,9220,268,8250
Gabon,11-22-2020,9131,59,8976
Mauritania,11-22-2020,8128,169,7591
Eswatini,11-22-2020,6219,120,5858
Malawi,11-22-2020,6003,185,5441
Djibouti,11-22-2020,5668,61,5555
Rwanda,11-22-2020,5665,47,5164
Congo (Brazzaville),11-22-2020,5632,93,3887
Equatorial Guinea,11-22-2020,5130,85,4975
Central African Republic,11-22-2020,4911,63,1924
Somalia,11-22-2020,4445,113,3412
Mali,11-22-2020,4255,145,3024
Gambia,11-22-2020,3726,123,3582
South Sudan,11-22-2020,3047,60,1290
Benin,11-22-2020,2916,43,2579
Togo,11-22-2020,2843,64,2248
Burkina Faso,11-22-2020,2735,68,2532
Guinea-Bissau,11-22-2020,2421,43,2286
Sierra Leone,11-22-2020,2405,74,1828
Lesotho,11-22-2020,2086,44,1276
Chad,11-22-2020,1642,101,1469
Liberia,11-22-2020,1551,82,1331
Niger,11-22-2020,1368,70,1166
Sao Tome and Principe,11-22-2020,979,17,923
Burundi,11-22-2020,662,1,575
Comoros,11-22-2020,596,7,572
Eritrea,11-22-2020,551,0,473
Tanzania,11-22-2020,509,21,183
Mauritius,11-22-2020,494,10,433
Seychelles,11-22-2020,163,0,159
Western Sahara,11-22-2020,10,1,8
