Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-11-2020,845083,22952,758373
Morocco,12-11-2020,394564,6542,349821
Egypt,12-11-2020,120611,6877,104499
Ethiopia,12-11-2020,115782,1791,91209
Tunisia,12-11-2020,109104,3801,83162
Algeria,12-11-2020,91121,2575,59590
Kenya,12-11-2020,90978,1582,71579
Libya,12-11-2020,89880,1278,59839
Nigeria,12-11-2020,72140,1190,65722
Ghana,12-11-2020,52738,326,51518
Uganda,12-11-2020,26369,220,9646
Cameroon,12-11-2020,25087,443,23851
Cote d'Ivoire,12-11-2020,21618,133,21234
Sudan,12-11-2020,20844,1340,11855
Zambia,12-11-2020,18161,365,17329
Madagascar,12-11-2020,17473,255,16927
Senegal,12-11-2020,16893,345,16015
Mozambique,12-11-2020,16680,139,14793
Namibia,12-11-2020,16097,160,14332
Angola,12-11-2020,16061,365,8798
Congo (Kinshasa),12-11-2020,14169,350,12208
Guinea,12-11-2020,13398,79,12626
Botswana,12-11-2020,12501,37,9940
Cabo Verde,12-11-2020,11262,110,10894
Zimbabwe,12-11-2020,11162,306,9324
Mauritania,12-11-2020,10501,210,7957
Gabon,12-11-2020,9330,63,9182
Eswatini,12-11-2020,6685,126,6279
Rwanda,12-11-2020,6428,54,5826
Malawi,12-11-2020,6055,186,5490
Congo (Brazzaville),12-11-2020,6049,99,4988
Djibouti,12-11-2020,5721,61,5608
Mali,12-11-2020,5649,185,3537
Equatorial Guinea,12-11-2020,5183,85,5048
Central African Republic,12-11-2020,4936,63,1924
Somalia,12-11-2020,4579,121,3529
Gambia,12-11-2020,3779,123,3645
Burkina Faso,12-11-2020,3579,69,2792
Togo,12-11-2020,3202,66,2726
South Sudan,12-11-2020,3181,62,3003
Benin,12-11-2020,3090,44,2972
Guinea-Bissau,12-11-2020,2444,44,2337
Sierra Leone,12-11-2020,2438,75,1850
Lesotho,12-11-2020,2214,44,1302
Niger,12-11-2020,2160,80,1269
Chad,12-11-2020,1745,102,1595
Liberia,12-11-2020,1676,83,1358
Sao Tome and Principe,12-11-2020,1009,17,947
Burundi,12-11-2020,723,1,640
Eritrea,12-11-2020,656,0,525
Comoros,12-11-2020,617,7,605
Mauritius,12-11-2020,515,10,478
Tanzania,12-11-2020,509,21,183
Seychelles,12-11-2020,187,0,182
