,Country,08-04-2020_confirmed,08-04-2020_deaths,08-04-2020_recovered
0,Algeria,32504,1248,22375
1,Angola,1344,59,503
2,Benin,1914,38,1036
3,Burkina Faso,1153,54,947
4,Cabo Verde,2631,26,1930
5,Cameroon,17718,391,15320
6,Central African Republic,4618,59,1640
7,Chad,938,75,814
8,Congo (Brazzaville),3546,58,1589
9,Congo (Kinshasa),9178,215,7727
10,Cote d'Ivoire,16293,103,11955
11,Djibouti,5248,59,5044
12,Egypt,94752,4912,45569
13,Equatorial Guinea,4821,83,2182
14,Eritrea,282,0,225
15,Eswatini,2856,49,1258
16,Ethiopia,19877,343,8240
17,Gabon,7646,51,5408
18,Gambia,671,14,79
19,Ghana,37812,191,34313
20,Guinea,7489,48,6591
21,Kenya,23202,388,9327
22,Liberia,1216,78,698
23,Madagascar,11895,123,9286
24,Mauritania,6418,157,5209
25,Mauritius,344,10,334
26,Morocco,27217,417,19629
27,Namibia,2470,12,211
28,Niger,1152,69,1037
29,Nigeria,44433,910,31851
30,Rwanda,2099,5,1222
31,Senegal,10432,214,6920
32,Seychelles,114,0,113
33,Somalia,3220,93,1598
34,South Africa,521318,8884,363751
35,Sudan,11780,763,6194
36,Tanzania,509,21,183
37,Togo,988,19,673
38,Tunisia,1584,51,1227
39,Uganda,1203,5,1073
40,Zambia,6793,173,5109
41,Zimbabwe,4221,81,1238
42,Mozambique,2029,15,765
43,Libya,4224,96,633
44,Guinea-Bissau,1981,27,803
45,Mali,2543,124,1946
46,Botswana,804,2,63
47,Burundi,395,1,304
48,Sierra Leone,1855,67,1397
49,Malawi,4361,128,2047
50,South Sudan,2437,47,1175
51,Western Sahara,10,1,8
52,Sao Tome and Principe,875,15,794
53,Comoros,388,7,340
54,Lesotho,726,21,174
