,Country,07-01-2020_confirmed,07-01-2020_deaths,07-01-2020_recovered
0,Algeria,14272,920,10040
1,Angola,291,15,97
2,Benin,1199,21,333
3,Burkina Faso,962,53,838
4,Cameroon,12592,313,10100
5,Central African Republic,3745,47,787
6,Chad,866,74,785
7,Djibouti,4704,55,4550
8,Egypt,69814,3034,18881
9,Equatorial Guinea,2001,32,515
10,Eritrea,203,0,56
11,Ethiopia,5846,103,2430
12,Gabon,5513,42,2508
13,Gambia,49,2,27
14,Ghana,18134,117,13550
15,Guinea,5404,33,4346
16,Kenya,6673,149,2089
17,Liberia,804,37,335
18,Madagascar,2303,22,1006
19,Mauritania,4472,129,1677
20,Mauritius,341,10,326
21,Morocco,12636,228,9026
22,Namibia,285,0,24
23,Niger,1075,67,943
24,Nigeria,26484,603,10152
25,Rwanda,1042,3,480
26,Senegal,6925,116,4545
27,Seychelles,81,0,11
28,Somalia,2924,90,932
29,South Africa,159333,2749,76025
30,Sudan,9573,602,4606
31,Tanzania,509,21,183
32,Togo,661,14,414
33,Tunisia,1175,50,1038
34,Uganda,893,0,837
35,Zambia,1632,30,1348
36,Zimbabwe,605,7,166
37,Mozambique,903,6,248
38,Libya,874,25,223
39,Guinea-Bissau,1654,24,317
40,Mali,2202,116,1483
41,Botswana,227,1,28
42,Burundi,170,1,115
43,Sierra Leone,1498,60,999
44,Malawi,1265,16,260
45,South Sudan,2021,38,333
46,Sao Tome and Principe,715,13,252
47,Comoros,303,7,200
48,Lesotho,35,0,11
