,Country,07-02-2020_confirmed,07-02-2020_deaths,07-02-2020_recovered
0,Algeria,14657,928,10342
1,Angola,315,17,97
2,Benin,1199,21,333
3,Burkina Faso,967,53,846
4,Cameroon,12592,313,10100
5,Central African Republic,3788,47,810
6,Chad,868,74,785
7,Djibouti,4715,55,4564
8,Egypt,71299,3120,19288
9,Equatorial Guinea,3071,51,842
10,Eritrea,215,0,56
11,Ethiopia,5846,103,2430
12,Gabon,5513,42,2508
13,Gambia,55,2,27
14,Ghana,18134,117,13550
15,Guinea,5450,33,4392
16,Kenya,6941,152,2109
17,Liberia,819,37,338
18,Madagascar,2403,24,1040
19,Mauritania,4606,129,1727
20,Mauritius,341,10,330
21,Morocco,12969,229,9090
22,Namibia,293,0,24
23,Niger,1081,68,959
24,Nigeria,27110,616,10801
25,Rwanda,1063,3,493
26,Senegal,7054,121,4599
27,Seychelles,81,0,11
28,Somalia,2944,90,951
29,South Africa,168061,2844,81999
30,Sudan,9573,602,4606
31,Tanzania,509,21,183
32,Togo,667,14,424
33,Tunisia,1178,50,1039
34,Uganda,902,0,847
35,Zambia,1632,30,1348
36,Zimbabwe,617,7,173
37,Mozambique,918,6,249
38,Libya,891,26,224
39,Guinea-Bissau,1654,24,317
40,Mali,2260,117,1502
41,Botswana,227,1,28
42,Burundi,170,1,115
43,Sierra Leone,1518,60,1007
44,Malawi,1342,16,271
45,South Sudan,2021,38,333
46,Sao Tome and Principe,717,13,260
47,Comoros,303,7,200
48,Lesotho,35,0,11
