Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-04-2020,635078,14678,557818
Egypt,09-04-2020,99582,5495,76305
Morocco,09-04-2020,68605,1292,52483
Ethiopia,09-04-2020,56516,880,20612
Nigeria,09-04-2020,54743,1051,42816
Algeria,09-04-2020,45773,1539,32259
Ghana,09-04-2020,44777,283,43693
Kenya,09-04-2020,34884,589,21059
Cameroon,09-04-2020,19604,415,18448
Cote d'Ivoire,09-04-2020,18269,119,17162
Libya,09-04-2020,16445,262,1910
Madagascar,09-04-2020,15187,198,14075
Senegal,09-04-2020,13881,289,9723
Sudan,09-04-2020,13189,823,6612
Zambia,09-04-2020,12639,292,11572
Congo (Kinshasa),09-04-2020,10149,259,9367
Guinea,09-04-2020,9649,61,8832
Gabon,09-04-2020,8601,53,7424
Namibia,09-04-2020,8323,87,3611
Mauritania,09-04-2020,7126,160,6623
Zimbabwe,09-04-2020,6837,206,5345
Malawi,09-04-2020,5608,175,3533
Djibouti,09-04-2020,5387,60,5327
Equatorial Guinea,09-04-2020,4972,83,4413
Eswatini,09-04-2020,4780,94,3844
Central African Republic,09-04-2020,4729,62,1818
Congo (Brazzaville),09-04-2020,4628,102,1742
Tunisia,09-04-2020,4542,87,1699
Rwanda,09-04-2020,4304,18,2191
Mozambique,09-04-2020,4265,26,2511
Cabo Verde,09-04-2020,4200,41,3562
Uganda,09-04-2020,3353,35,1564
Somalia,09-04-2020,3332,97,2696
Gambia,09-04-2020,3120,99,1295
Angola,09-04-2020,2876,115,1167
Mali,09-04-2020,2814,126,2220
South Sudan,09-04-2020,2536,47,1290
Guinea-Bissau,09-04-2020,2245,38,1127
Benin,09-04-2020,2194,40,1738
Sierra Leone,09-04-2020,2041,71,1602
Botswana,09-04-2020,2002,8,493
Togo,09-04-2020,1457,31,1079
Burkina Faso,09-04-2020,1408,55,1098
Liberia,09-04-2020,1306,82,1163
Niger,09-04-2020,1177,69,1091
Lesotho,09-04-2020,1148,31,528
Chad,09-04-2020,1023,77,914
Sao Tome and Principe,09-04-2020,897,15,859
Tanzania,09-04-2020,509,21,183
Burundi,09-04-2020,451,1,357
Comoros,09-04-2020,448,7,410
Mauritius,09-04-2020,356,10,335
Eritrea,09-04-2020,330,0,295
Seychelles,09-04-2020,136,0,127
Western Sahara,09-04-2020,10,1,8
