Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-07-2020,817878,22249,745750
Morocco,12-07-2020,381188,6320,334269
Egypt,12-07-2020,118847,6790,103703
Ethiopia,12-07-2020,113735,1755,82803
Tunisia,12-07-2020,104329,3596,77798
Algeria,12-07-2020,88825,2527,57648
Kenya,12-07-2020,88579,1531,69414
Libya,12-07-2020,87097,1243,57380
Nigeria,12-07-2020,69645,1181,64947
Ghana,12-07-2020,52274,325,51063
Cameroon,12-07-2020,24752,443,23344
Uganda,12-07-2020,23200,207,9374
Cote d'Ivoire,12-07-2020,21507,132,21150
Sudan,12-07-2020,19747,1301,11184
Zambia,12-07-2020,17931,364,17211
Madagascar,12-07-2020,17513,255,16927
Senegal,12-07-2020,16553,340,15806
Mozambique,12-07-2020,16326,136,14429
Angola,12-07-2020,15648,354,8353
Namibia,12-07-2020,15219,152,13949
Congo (Kinshasa),12-07-2020,13595,344,12059
Guinea,12-07-2020,13264,79,12465
Botswana,12-07-2020,12058,36,9400
Cabo Verde,12-07-2020,11098,109,10676
Zimbabwe,12-07-2020,10839,294,8972
Mauritania,12-07-2020,9679,194,7849
Gabon,12-07-2020,9278,60,9132
Eswatini,12-07-2020,6529,123,6094
Rwanda,12-07-2020,6191,51,5696
Malawi,12-07-2020,6051,185,5476
Congo (Brazzaville),12-07-2020,5774,94,4988
Djibouti,12-07-2020,5708,61,5596
Mali,12-07-2020,5290,175,3377
Equatorial Guinea,12-07-2020,5166,85,5036
Central African Republic,12-07-2020,4922,63,1924
Somalia,12-07-2020,4579,121,3529
Gambia,12-07-2020,3770,123,3615
Burkina Faso,12-07-2020,3315,68,2721
South Sudan,12-07-2020,3181,62,2977
Togo,12-07-2020,3111,65,2677
Benin,12-07-2020,3073,44,2922
Guinea-Bissau,12-07-2020,2444,44,2337
Sierra Leone,12-07-2020,2428,74,1846
Lesotho,12-07-2020,2150,44,1278
Niger,12-07-2020,1894,78,1239
Chad,12-07-2020,1728,102,1571
Liberia,12-07-2020,1676,83,1358
Sao Tome and Principe,12-07-2020,1002,17,940
Burundi,12-07-2020,698,1,630
Eritrea,12-07-2020,649,0,517
Comoros,12-07-2020,616,7,600
Mauritius,12-07-2020,511,10,478
Tanzania,12-07-2020,509,21,183
Seychelles,12-07-2020,184,0,168
Western Sahara,12-07-2020,10,1,8
