Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-04-2020,805804,21963,740450
Morocco,12-04-2020,372620,6136,323814
Egypt,12-04-2020,117583,6732,103191
Ethiopia,12-04-2020,112091,1734,78619
Tunisia,12-04-2020,101900,3481,75464
Kenya,12-04-2020,87249,1506,68110
Algeria,12-04-2020,86730,2492,56079
Libya,12-04-2020,85529,1219,56048
Nigeria,12-04-2020,68627,1179,64467
Ghana,12-04-2020,52096,325,50924
Cameroon,12-04-2020,24752,443,23344
Uganda,12-04-2020,21898,206,9117
Cote d'Ivoire,12-04-2020,21412,132,21054
Sudan,12-04-2020,18535,1271,10672
Zambia,12-04-2020,17857,364,17145
Madagascar,12-04-2020,17513,255,16657
Senegal,12-04-2020,16297,336,15707
Mozambique,12-04-2020,16038,133,14160
Angola,12-04-2020,15493,353,8299
Namibia,12-04-2020,14804,152,13874
Congo (Kinshasa),12-04-2020,13281,337,11753
Guinea,12-04-2020,13186,76,12270
Botswana,12-04-2020,11531,34,8978
Cabo Verde,12-04-2020,10996,108,10496
Zimbabwe,12-04-2020,10547,281,8802
Gabon,12-04-2020,9254,60,9106
Mauritania,12-04-2020,9181,182,7812
Eswatini,12-04-2020,6480,122,6066
Malawi,12-04-2020,6047,185,5472
Rwanda,12-04-2020,6043,51,5672
Congo (Brazzaville),12-04-2020,5774,94,4988
Djibouti,12-04-2020,5690,61,5592
Equatorial Guinea,12-04-2020,5159,85,5023
Mali,12-04-2020,4938,163,3307
Central African Republic,12-04-2020,4918,63,1924
Somalia,12-04-2020,4525,121,3480
Gambia,12-04-2020,3768,123,3613
South Sudan,12-04-2020,3154,62,2977
Burkina Faso,12-04-2020,3091,68,2687
Benin,12-04-2020,3055,44,2907
Togo,12-04-2020,3051,65,2599
Guinea-Bissau,12-04-2020,2441,44,2327
Sierra Leone,12-04-2020,2420,74,1842
Lesotho,12-04-2020,2150,44,1278
Niger,12-04-2020,1726,77,1237
Chad,12-04-2020,1719,102,1555
Liberia,12-04-2020,1676,83,1358
Sao Tome and Principe,12-04-2020,999,17,937
Burundi,12-04-2020,692,1,575
Eritrea,12-04-2020,632,0,508
Comoros,12-04-2020,615,7,590
Tanzania,12-04-2020,509,21,183
Mauritius,12-04-2020,508,10,465
Seychelles,12-04-2020,184,0,168
Western Sahara,12-04-2020,10,1,8
