Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-17-2020,702131,18408,630436
Morocco,10-17-2020,170911,2878,141381
Egypt,10-17-2020,105297,6109,98157
Ethiopia,10-17-2020,88434,1346,42099
Nigeria,10-17-2020,61307,1123,56557
Algeria,10-17-2020,54203,1846,37971
Libya,10-17-2020,47845,699,26062
Ghana,10-17-2020,47232,310,46578
Kenya,10-17-2020,44196,825,31752
Tunisia,10-17-2020,40542,626,5032
Cameroon,10-17-2020,21441,423,20117
Cote d'Ivoire,10-17-2020,20301,121,19983
Madagascar,10-17-2020,16810,238,16215
Zambia,10-17-2020,15789,346,14927
Senegal,10-17-2020,15392,317,13756
Sudan,10-17-2020,13691,836,6764
Namibia,10-17-2020,12263,131,10419
Guinea,10-17-2020,11478,70,10425
Congo (Kinshasa),10-17-2020,11000,302,10342
Mozambique,10-17-2020,10707,74,8272
Uganda,10-17-2020,10455,96,6901
Gabon,10-17-2020,8881,54,8430
Zimbabwe,10-17-2020,8110,231,7673
Cabo Verde,10-17-2020,7638,85,6473
Mauritania,10-17-2020,7607,163,7342
Angola,10-17-2020,7462,241,3022
Malawi,10-17-2020,5852,181,4740
Eswatini,10-17-2020,5765,115,5392
Djibouti,10-17-2020,5452,61,5373
Botswana,10-17-2020,5242,20,905
Congo (Brazzaville),10-17-2020,5156,92,3887
Equatorial Guinea,10-17-2020,5070,83,4954
Rwanda,10-17-2020,4971,34,4768
Central African Republic,10-17-2020,4855,62,1924
Somalia,10-17-2020,3864,99,3089
Gambia,10-17-2020,3649,118,2649
Mali,10-17-2020,3379,132,2570
South Sudan,10-17-2020,2817,55,1290
Benin,10-17-2020,2496,41,2330
Guinea-Bissau,10-17-2020,2389,41,1782
Burkina Faso,10-17-2020,2343,65,1718
Sierra Leone,10-17-2020,2327,73,1753
Togo,10-17-2020,2049,51,1517
Lesotho,10-17-2020,1833,42,961
Liberia,10-17-2020,1377,82,1268
Chad,10-17-2020,1365,93,1179
Niger,10-17-2020,1209,69,1126
Sao Tome and Principe,10-17-2020,932,15,896
Burundi,10-17-2020,536,1,497
Tanzania,10-17-2020,509,21,183
Comoros,10-17-2020,502,7,485
Eritrea,10-17-2020,452,0,388
Mauritius,10-17-2020,417,10,364
Seychelles,10-17-2020,149,0,148
Western Sahara,10-17-2020,10,1,8
