Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,01-01-2021,1073887,28887,887701
Morocco,01-01-2021,440970,7425,409638
Tunisia,01-01-2021,140557,4730,105499
Egypt,01-01-2021,139471,7687,112826
Ethiopia,01-01-2021,124652,1937,112251
Libya,01-01-2021,100744,1487,73252
Algeria,01-01-2021,99897,2762,67395
Kenya,01-01-2021,96614,1681,78802
Nigeria,01-01-2021,88587,1294,74373
Ghana,01-01-2021,54930,335,53758
Uganda,01-01-2021,35511,265,11878
Cameroon,01-01-2021,26848,448,24892
Namibia,01-01-2021,24545,208,20727
Sudan,01-01-2021,23316,1468,13524
Cote d'Ivoire,01-01-2021,22563,138,21981
Zambia,01-01-2021,20997,390,18773
Senegal,01-01-2021,19364,410,17375
Mozambique,01-01-2021,18794,167,16680
Congo (Kinshasa),01-01-2021,17849,591,14701
Madagascar,01-01-2021,17714,261,17228
Angola,01-01-2021,17568,405,11146
Botswana,01-01-2021,14805,42,12136
Mauritania,01-01-2021,14581,349,11652
Zimbabwe,01-01-2021,14084,369,11347
Guinea,01-01-2021,13738,81,13153
Cabo Verde,01-01-2021,11872,113,11569
Gabon,01-01-2021,9571,64,9388
Eswatini,01-01-2021,9482,216,7073
Rwanda,01-01-2021,8460,94,6598
Mali,01-01-2021,7203,271,4694
Congo (Brazzaville),01-01-2021,7107,108,5846
Burkina Faso,01-01-2021,6828,85,5152
Malawi,01-01-2021,6684,191,5708
Djibouti,01-01-2021,5840,61,5735
Equatorial Guinea,01-01-2021,5277,86,5136
Central African Republic,01-01-2021,4963,63,1924
Somalia,01-01-2021,4714,130,3612
Gambia,01-01-2021,3800,124,3669
Togo,01-01-2021,3662,68,3443
South Sudan,01-01-2021,3558,63,3131
Niger,01-01-2021,3403,106,1828
Benin,01-01-2021,3251,44,3061
Lesotho,01-01-2021,3206,51,1496
Sierra Leone,01-01-2021,2635,76,1906
Guinea-Bissau,01-01-2021,2452,45,2397
Chad,01-01-2021,2141,104,1704
Liberia,01-01-2021,1779,83,1406
Eritrea,01-01-2021,1252,1,643
Sao Tome and Principe,01-01-2021,1022,17,973
Comoros,01-01-2021,823,10,705
Burundi,01-01-2021,822,2,687
Mauritius,01-01-2021,527,10,496
Tanzania,01-01-2021,509,21,183
Seychelles,01-01-2021,275,0,214
