Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-19-2020,659656,15940,589434
Egypt,09-19-2020,101900,5750,88666
Morocco,09-19-2020,99816,1795,79008
Ethiopia,09-19-2020,68131,1089,27939
Nigeria,09-19-2020,57145,1095,48431
Algeria,09-19-2020,49623,1665,34923
Ghana,09-19-2020,45877,297,45081
Kenya,09-19-2020,36829,646,23777
Libya,09-19-2020,27234,436,14679
Cameroon,09-19-2020,20431,416,19124
Cote d'Ivoire,09-19-2020,19269,120,18392
Madagascar,09-19-2020,16020,219,14630
Senegal,09-19-2020,14688,302,11153
Zambia,09-19-2020,14070,330,13365
Sudan,09-19-2020,13535,836,6759
Congo (Kinshasa),09-19-2020,10488,268,9891
Namibia,09-19-2020,10292,111,7969
Guinea,09-19-2020,10286,63,9681
Tunisia,09-19-2020,9110,138,2366
Gabon,09-19-2020,8696,53,7848
Zimbabwe,09-19-2020,7672,225,5914
Mauritania,09-19-2020,7365,161,6927
Mozambique,09-19-2020,6537,41,3620
Uganda,09-19-2020,6017,63,2581
Malawi,09-19-2020,5718,179,4030
Djibouti,09-19-2020,5403,61,5333
Eswatini,09-19-2020,5245,104,4571
Cabo Verde,09-19-2020,5186,50,4581
Equatorial Guinea,09-19-2020,5002,83,4509
Congo (Brazzaville),09-19-2020,4986,89,3887
Central African Republic,09-19-2020,4786,62,1830
Rwanda,09-19-2020,4689,26,2910
Angola,09-19-2020,3901,147,1445
Gambia,09-19-2020,3504,108,1992
Somalia,09-19-2020,3401,98,2812
Mali,09-19-2020,3006,128,2349
South Sudan,09-19-2020,2642,49,1290
Botswana,09-19-2020,2567,13,624
Guinea-Bissau,09-19-2020,2303,39,1127
Benin,09-19-2020,2280,40,1950
Sierra Leone,09-19-2020,2159,72,1650
Burkina Faso,09-19-2020,1816,56,1176
Togo,09-19-2020,1659,41,1259
Lesotho,09-19-2020,1390,33,754
Liberia,09-19-2020,1335,82,1216
Niger,09-19-2020,1183,69,1104
Chad,09-19-2020,1149,81,966
Sao Tome and Principe,09-19-2020,908,15,876
Tanzania,09-19-2020,509,21,183
Burundi,09-19-2020,473,1,374
Comoros,09-19-2020,470,7,450
Mauritius,09-19-2020,366,10,338
Eritrea,09-19-2020,364,0,305
Seychelles,09-19-2020,141,0,136
Western Sahara,09-19-2020,10,1,8
