Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-30-2020,674339,16734,608112
Morocco,09-30-2020,123653,2194,102715
Egypt,09-30-2020,103198,5930,96494
Ethiopia,09-30-2020,75368,1198,31204
Nigeria,09-30-2020,58848,1112,50358
Algeria,09-30-2020,51530,1736,36174
Ghana,09-30-2020,46626,301,45757
Kenya,09-30-2020,38529,711,24908
Libya,09-30-2020,34525,551,19361
Cameroon,09-30-2020,20838,418,19440
Cote d'Ivoire,09-30-2020,19724,120,19291
Tunisia,09-30-2020,18413,265,5032
Madagascar,09-30-2020,16408,230,15301
Senegal,09-30-2020,14982,311,12437
Zambia,09-30-2020,14759,332,13959
Sudan,09-30-2020,13640,836,6764
Namibia,09-30-2020,11265,121,9014
Congo (Kinshasa),09-30-2020,10659,272,10139
Guinea,09-30-2020,10652,66,9996
Gabon,09-30-2020,8766,54,8005
Mozambique,09-30-2020,8728,61,5232
Uganda,09-30-2020,8129,75,4260
Zimbabwe,09-30-2020,7838,228,6303
Mauritania,09-30-2020,7502,161,7120
Cabo Verde,09-30-2020,6024,60,5277
Malawi,09-30-2020,5773,179,4263
Eswatini,09-30-2020,5482,109,4912
Djibouti,09-30-2020,5416,61,5344
Congo (Brazzaville),09-30-2020,5089,89,3887
Equatorial Guinea,09-30-2020,5030,83,4769
Angola,09-30-2020,4972,183,1941
Rwanda,09-30-2020,4840,29,3154
Central African Republic,09-30-2020,4829,62,1914
Somalia,09-30-2020,3588,99,2946
Gambia,09-30-2020,3579,112,2161
Botswana,09-30-2020,3172,16,710
Mali,09-30-2020,3118,131,2453
South Sudan,09-30-2020,2704,49,1290
Benin,09-30-2020,2357,41,1973
Guinea-Bissau,09-30-2020,2324,39,1549
Sierra Leone,09-30-2020,2231,72,1687
Burkina Faso,09-30-2020,2056,58,1335
Togo,09-30-2020,1784,48,1348
Lesotho,09-30-2020,1595,36,873
Liberia,09-30-2020,1343,82,1221
Chad,09-30-2020,1200,85,1007
Niger,09-30-2020,1197,69,1114
Sao Tome and Principe,09-30-2020,911,15,886
Tanzania,09-30-2020,509,21,183
Burundi,09-30-2020,508,1,472
Comoros,09-30-2020,479,7,464
Mauritius,09-30-2020,381,10,344
Eritrea,09-30-2020,375,0,341
Seychelles,09-30-2020,144,0,140
Western Sahara,09-30-2020,10,1,8
