Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-16-2020,883687,23827,774585
Morocco,12-16-2020,406970,6749,366835
Egypt,12-16-2020,123153,6990,105719
Ethiopia,12-16-2020,118006,1818,97969
Tunisia,12-16-2020,114547,3997,87884
Algeria,12-16-2020,93507,2631,61700
Kenya,12-16-2020,92853,1614,74403
Libya,12-16-2020,92577,1324,62720
Nigeria,12-16-2020,75062,1200,66775
Ghana,12-16-2020,53386,327,52048
Uganda,12-16-2020,28733,225,10070
Cameroon,12-16-2020,25472,445,23851
Sudan,12-16-2020,22082,1384,12753
Cote d'Ivoire,12-16-2020,21741,133,21364
Zambia,12-16-2020,18456,369,17635
Madagascar,12-16-2020,17587,259,16992
Senegal,12-16-2020,17336,352,16349
Namibia,12-16-2020,17276,164,15196
Mozambique,12-16-2020,17143,145,15241
Angola,12-16-2020,16407,379,9194
Congo (Kinshasa),12-16-2020,14930,364,12859
Guinea,12-16-2020,13474,80,12727
Botswana,12-16-2020,12873,38,10456
Zimbabwe,12-16-2020,11749,313,9702
Mauritania,12-16-2020,11629,244,8281
Cabo Verde,12-16-2020,11458,110,11106
Gabon,12-16-2020,9373,63,9223
Eswatini,12-16-2020,7026,135,6531
Rwanda,12-16-2020,6954,57,6057
Congo (Brazzaville),12-16-2020,6200,100,4988
Malawi,12-16-2020,6091,187,5661
Mali,12-16-2020,5969,209,3702
Djibouti,12-16-2020,5759,61,5628
Equatorial Guinea,12-16-2020,5195,85,5061
Central African Republic,12-16-2020,4936,63,1924
Somalia,12-16-2020,4579,121,3529
Burkina Faso,12-16-2020,4449,73,3088
Gambia,12-16-2020,3786,123,3653
Togo,12-16-2020,3315,66,2852
South Sudan,12-16-2020,3222,62,3043
Benin,12-16-2020,3152,44,2972
Sierra Leone,12-16-2020,2460,75,1854
Guinea-Bissau,12-16-2020,2447,44,2378
Lesotho,12-16-2020,2365,46,1423
Niger,12-16-2020,2361,82,1329
Chad,12-16-2020,1800,102,1620
Liberia,12-16-2020,1773,83,1406
Sao Tome and Principe,12-16-2020,1010,17,955
Burundi,12-16-2020,741,1,640
Eritrea,12-16-2020,711,0,564
Comoros,12-16-2020,633,7,606
Mauritius,12-16-2020,524,10,489
Tanzania,12-16-2020,509,21,183
Seychelles,12-16-2020,202,0,184
