Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-05-2020,682215,17016,615684
Morocco,10-05-2020,134695,2369,113336
Egypt,10-05-2020,103781,5990,97398
Ethiopia,10-05-2020,79437,1230,34016
Nigeria,10-05-2020,59465,1113,50951
Algeria,10-05-2020,52270,1768,36672
Ghana,10-05-2020,46829,303,46060
Kenya,10-05-2020,39449,735,27035
Libya,10-05-2020,37437,596,22076
Tunisia,10-05-2020,22230,321,5032
Cameroon,10-05-2020,20924,420,19764
Cote d'Ivoire,10-05-2020,19885,120,19490
Madagascar,10-05-2020,16570,233,15601
Senegal,10-05-2020,15122,312,12870
Zambia,10-05-2020,15089,334,14306
Sudan,10-05-2020,13653,836,6764
Namibia,10-05-2020,11654,125,9451
Guinea,10-05-2020,10800,67,10161
Congo (Kinshasa),10-05-2020,10778,274,10239
Mozambique,10-05-2020,9296,66,6104
Uganda,10-05-2020,8965,82,5078
Gabon,10-05-2020,8808,54,8135
Zimbabwe,10-05-2020,7898,228,6424
Mauritania,10-05-2020,7523,162,7204
Cabo Verde,10-05-2020,6433,68,5524
Malawi,10-05-2020,5794,180,4541
Eswatini,10-05-2020,5579,112,5141
Angola,10-05-2020,5530,199,2591
Djibouti,10-05-2020,5421,61,5352
Congo (Brazzaville),10-05-2020,5089,89,3887
Equatorial Guinea,10-05-2020,5045,83,4879
Rwanda,10-05-2020,4867,29,3226
Central African Republic,10-05-2020,4845,62,1914
Somalia,10-05-2020,3745,99,3010
Gambia,10-05-2020,3594,115,2226
Mali,10-05-2020,3189,131,2482
Botswana,10-05-2020,3172,16,710
South Sudan,10-05-2020,2726,50,1290
Guinea-Bissau,10-05-2020,2385,40,1728
Benin,10-05-2020,2357,41,1973
Sierra Leone,10-05-2020,2269,72,1706
Burkina Faso,10-05-2020,2184,59,1420
Togo,10-05-2020,1864,48,1403
Lesotho,10-05-2020,1683,39,926
Liberia,10-05-2020,1354,82,1236
Chad,10-05-2020,1223,86,1075
Niger,10-05-2020,1200,69,1115
Sao Tome and Principe,10-05-2020,913,15,888
Burundi,10-05-2020,514,1,472
Tanzania,10-05-2020,509,21,183
Comoros,10-05-2020,487,7,466
Eritrea,10-05-2020,398,0,358
Mauritius,10-05-2020,387,10,357
Seychelles,10-05-2020,146,0,143
Western Sahara,10-05-2020,10,1,8
