Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-22-2020,663282,16118,592904
Morocco,09-22-2020,105346,1889,85883
Egypt,09-22-2020,102254,5806,91143
Ethiopia,09-22-2020,70422,1127,28991
Nigeria,09-22-2020,57613,1100,48836
Algeria,09-22-2020,50214,1689,35307
Ghana,09-22-2020,46062,297,45258
Kenya,09-22-2020,37218,659,24147
Libya,09-22-2020,29446,460,15913
Cameroon,09-22-2020,20598,416,19124
Cote d'Ivoire,09-22-2020,19343,120,18682
Madagascar,09-22-2020,16136,226,14743
Senegal,09-22-2020,14759,302,11621
Zambia,09-22-2020,14389,331,13629
Sudan,09-22-2020,13578,836,6760
Tunisia,09-22-2020,11260,164,2386
Namibia,09-22-2020,10607,116,8359
Congo (Kinshasa),09-22-2020,10523,271,10011
Guinea,09-22-2020,10387,65,9780
Gabon,09-22-2020,8704,54,7875
Zimbabwe,09-22-2020,7711,226,5979
Mauritania,09-22-2020,7403,161,7011
Mozambique,09-22-2020,7114,45,4064
Uganda,09-22-2020,6712,64,2778
Malawi,09-22-2020,5739,179,4065
Djibouti,09-22-2020,5407,61,5338
Cabo Verde,09-22-2020,5337,52,4742
Eswatini,09-22-2020,5307,106,4672
Equatorial Guinea,09-22-2020,5018,83,4509
Congo (Brazzaville),09-22-2020,5002,89,3887
Central African Republic,09-22-2020,4802,62,1830
Rwanda,09-22-2020,4738,27,2991
Angola,09-22-2020,4236,155,1462
Gambia,09-22-2020,3540,110,2002
Somalia,09-22-2020,3465,98,2877
Mali,09-22-2020,3030,129,2380
South Sudan,09-22-2020,2660,49,1290
Botswana,09-22-2020,2567,13,624
Guinea-Bissau,09-22-2020,2324,39,1549
Benin,09-22-2020,2294,40,1954
Sierra Leone,09-22-2020,2174,72,1652
Burkina Faso,09-22-2020,1907,56,1252
Togo,09-22-2020,1683,41,1290
Lesotho,09-22-2020,1424,33,754
Liberia,09-22-2020,1336,82,1218
Niger,09-22-2020,1193,69,1104
Chad,09-22-2020,1155,81,967
Sao Tome and Principe,09-22-2020,908,15,880
Tanzania,09-22-2020,509,21,183
Burundi,09-22-2020,474,1,462
Comoros,09-22-2020,470,7,453
Mauritius,09-22-2020,367,10,339
Eritrea,09-22-2020,364,0,309
Seychelles,09-22-2020,143,0,136
Western Sahara,09-22-2020,10,1,8
