Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-11-2020,742394,20011,686458
Morocco,11-11-2020,270626,4506,221743
Egypt,11-11-2020,109881,6405,100662
Ethiopia,11-11-2020,100727,1545,62497
Tunisia,11-11-2020,74522,2100,51750
Libya,11-11-2020,70885,970,42098
Kenya,11-11-2020,65804,1180,43626
Nigeria,11-11-2020,64516,1162,60737
Algeria,11-11-2020,64257,2093,42980
Ghana,11-11-2020,49302,320,47843
Cameroon,11-11-2020,22490,433,21510
Cote d'Ivoire,11-11-2020,20855,127,20572
Madagascar,11-11-2020,17223,249,16516
Zambia,11-11-2020,17036,350,16070
Senegal,11-11-2020,15735,326,15386
Uganda,11-11-2020,14993,139,7939
Sudan,11-11-2020,14346,1116,9525
Mozambique,11-11-2020,13991,104,11959
Namibia,11-11-2020,13292,134,11739
Angola,11-11-2020,12953,312,6125
Guinea,11-11-2020,12516,74,10879
Congo (Kinshasa),11-11-2020,11656,316,10963
Cabo Verde,11-11-2020,9560,102,8829
Gabon,11-11-2020,9048,57,8922
Zimbabwe,11-11-2020,8667,255,8046
Mauritania,11-11-2020,7885,165,7499
Botswana,11-11-2020,7835,27,5534
Eswatini,11-11-2020,6044,117,5744
Malawi,11-11-2020,5955,185,5366
Djibouti,11-11-2020,5635,61,5501
Congo (Brazzaville),11-11-2020,5379,92,3887
Rwanda,11-11-2020,5312,41,4974
Equatorial Guinea,11-11-2020,5102,85,4971
Central African Republic,11-11-2020,4884,62,1924
Somalia,11-11-2020,4301,107,3330
Mali,11-11-2020,3753,138,2909
Gambia,11-11-2020,3697,122,3549
South Sudan,11-11-2020,2960,59,1290
Benin,11-11-2020,2844,43,2515
Togo,11-11-2020,2593,59,1792
Burkina Faso,11-11-2020,2586,67,2411
Guinea-Bissau,11-11-2020,2419,43,2255
Sierra Leone,11-11-2020,2386,74,1813
Lesotho,11-11-2020,2026,44,1029
Chad,11-11-2020,1565,99,1420
Liberia,11-11-2020,1461,82,1311
Niger,11-11-2020,1263,69,1144
Sao Tome and Principe,11-11-2020,962,16,914
Burundi,11-11-2020,620,1,549
Comoros,11-11-2020,569,7,541
Tanzania,11-11-2020,509,21,183
Eritrea,11-11-2020,491,0,438
Mauritius,11-11-2020,453,10,416
Seychelles,11-11-2020,158,0,155
Western Sahara,11-11-2020,10,1,8
