Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-14-2020,749182,20206,693261
Morocco,11-14-2020,288211,4697,234904
Egypt,11-14-2020,110547,6442,100946
Ethiopia,11-14-2020,102321,1565,63675
Tunisia,11-14-2020,79339,2279,53758
Libya,11-14-2020,72628,995,43259
Kenya,11-14-2020,69273,1228,44872
Algeria,11-14-2020,66819,2139,44199
Nigeria,11-14-2020,64996,1163,61029
Ghana,11-14-2020,50018,320,48179
Cameroon,11-14-2020,22692,433,21510
Cote d'Ivoire,11-14-2020,20945,127,20630
Madagascar,11-14-2020,17223,249,16516
Zambia,11-14-2020,17097,350,16137
Uganda,11-14-2020,15789,144,8038
Senegal,11-14-2020,15779,327,15407
Sudan,11-14-2020,14401,1116,9535
Mozambique,11-14-2020,14340,110,12505
Namibia,11-14-2020,13449,138,12467
Angola,11-14-2020,13374,322,6345
Guinea,11-14-2020,12585,74,11041
Congo (Kinshasa),11-14-2020,11760,319,11086
Cabo Verde,11-14-2020,9780,102,9148
Gabon,11-14-2020,9062,58,8939
Zimbabwe,11-14-2020,8786,257,8096
Botswana,11-14-2020,8225,27,5559
Mauritania,11-14-2020,7948,165,7516
Eswatini,11-14-2020,6093,119,5771
Malawi,11-14-2020,5964,185,5399
Djibouti,11-14-2020,5645,61,5519
Congo (Brazzaville),11-14-2020,5515,92,3887
Rwanda,11-14-2020,5394,42,4994
Equatorial Guinea,11-14-2020,5104,85,4973
Central African Republic,11-14-2020,4896,63,1924
Somalia,11-14-2020,4301,107,3330
Mali,11-14-2020,3868,139,2937
Gambia,11-14-2020,3702,122,3567
South Sudan,11-14-2020,3003,59,1290
Benin,11-14-2020,2844,43,2515
Togo,11-14-2020,2651,61,1885
Burkina Faso,11-14-2020,2635,68,2426
Guinea-Bissau,11-14-2020,2419,43,2255
Sierra Leone,11-14-2020,2391,74,1816
Lesotho,11-14-2020,2041,44,1056
Chad,11-14-2020,1591,100,1439
Liberia,11-14-2020,1498,82,1314
Niger,11-14-2020,1301,70,1147
Sao Tome and Principe,11-14-2020,964,16,917
Burundi,11-14-2020,627,1,549
Comoros,11-14-2020,579,7,549
Tanzania,11-14-2020,509,21,183
Eritrea,11-14-2020,493,0,444
Mauritius,11-14-2020,470,10,428
Seychelles,11-14-2020,160,0,157
Western Sahara,11-14-2020,10,1,8
