,Country,08-12-2020_confirmed,08-12-2020_deaths,08-12-2020_recovered
0,Algeria,36699,1333,25627
1,Angola,1762,80,577
2,Benin,2014,38,1681
3,Botswana,1066,2,80
4,Burkina Faso,1213,54,995
5,Burundi,409,1,315
6,Cabo Verde,3000,33,2172
7,Cameroon,18263,401,15320
8,Central African Republic,4652,61,1728
9,Chad,949,76,859
10,Comoros,399,7,379
11,Congo (Brazzaville),3745,60,1625
12,Congo (Kinshasa),9538,225,8421
13,Cote d'Ivoire,16847,105,13321
14,Djibouti,5358,59,5150
15,Egypt,95963,5085,55901
16,Equatorial Guinea,4821,83,2182
17,Eritrea,285,0,248
18,Eswatini,3525,63,1910
19,Ethiopia,25118,463,11034
20,Gabon,8077,51,5920
21,Gambia,1477,33,247
22,Ghana,41572,223,39320
23,Guinea,8116,50,7060
24,Guinea-Bissau,2088,29,1015
25,Kenya,28104,456,14610
26,Lesotho,798,24,175
27,Liberia,1252,82,738
28,Libya,6611,132,778
29,Madagascar,13397,156,11529
30,Malawi,4752,152,2529
31,Mali,2582,125,1977
32,Mauritania,6622,157,5741
33,Mauritius,344,10,334
34,Morocco,36694,556,25677
35,Mozambique,2559,19,951
36,Namibia,3406,22,835
37,Niger,1161,69,1075
38,Nigeria,47743,956,33943
39,Rwanda,2189,8,1524
40,Sao Tome and Principe,882,15,807
41,Senegal,11587,242,7523
42,Seychelles,127,0,126
43,Sierra Leone,1937,69,1483
44,Somalia,3227,93,1728
45,South Africa,568919,11010,432029
46,South Sudan,2477,47,1175
47,Sudan,12033,786,6282
48,Tanzania,509,21,183
49,Togo,1092,26,782
50,Tunisia,1780,52,1278
51,Uganda,1332,9,1139
52,Western Sahara,10,1,8
53,Zambia,8501,246,7233
54,Zimbabwe,4893,122,1620
