Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,12-29-2020,1021451,27568,858456
Morocco,12-29-2020,435189,7314,401429
Egypt,12-29-2020,135233,7520,111040
Tunisia,12-29-2020,134802,4570,104401
Ethiopia,12-29-2020,123388,1913,110739
Libya,12-29-2020,99350,1444,70412
Algeria,12-29-2020,98988,2745,66550
Kenya,12-29-2020,96139,1665,77659
Nigeria,12-29-2020,85560,1267,71937
Ghana,12-29-2020,54681,335,53462
Uganda,12-29-2020,34281,250,11450
Cameroon,12-29-2020,26277,448,24892
Sudan,12-29-2020,23316,1468,13524
Namibia,12-29-2020,22851,195,18743
Cote d'Ivoire,12-29-2020,22250,137,21872
Zambia,12-29-2020,20177,385,18380
Senegal,12-29-2020,18806,395,17096
Mozambique,12-29-2020,18372,162,16439
Madagascar,12-29-2020,17714,261,17228
Angola,12-29-2020,17371,403,10627
Congo (Kinshasa),12-29-2020,17182,584,14658
Botswana,12-29-2020,14025,40,11627
Mauritania,12-29-2020,13989,334,10830
Guinea,12-29-2020,13688,80,13082
Zimbabwe,12-29-2020,13325,359,11067
Cabo Verde,12-29-2020,11752,112,11504
Gabon,12-29-2020,9510,64,9356
Eswatini,12-29-2020,8934,175,7048
Rwanda,12-29-2020,8128,79,6339
Congo (Brazzaville),12-29-2020,6908,107,5831
Mali,12-29-2020,6796,262,4492
Burkina Faso,12-29-2020,6537,82,4803
Malawi,12-29-2020,6388,188,5688
Djibouti,12-29-2020,5813,61,5716
Equatorial Guinea,12-29-2020,5248,86,5097
Central African Republic,12-29-2020,4961,63,1924
Somalia,12-29-2020,4690,127,3605
Gambia,12-29-2020,3797,124,3664
Togo,12-29-2020,3604,68,3366
South Sudan,12-29-2020,3511,63,3131
Niger,12-29-2020,3208,102,1767
Benin,12-29-2020,3205,44,3061
Lesotho,12-29-2020,3005,51,1480
Sierra Leone,12-29-2020,2569,76,1875
Guinea-Bissau,12-29-2020,2452,45,2397
Chad,12-29-2020,2048,104,1686
Liberia,12-29-2020,1779,83,1406
Eritrea,12-29-2020,1220,1,643
Sao Tome and Principe,12-29-2020,1014,17,963
Burundi,12-29-2020,809,2,687
Comoros,12-29-2020,765,9,700
Mauritius,12-29-2020,527,10,496
Tanzania,12-29-2020,509,21,183
Seychelles,12-29-2020,217,0,207
