Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-13-2020,746945,20153,692177
Morocco,11-13-2020,282336,4631,229160
Egypt,11-13-2020,110319,6429,100847
Ethiopia,11-13-2020,101757,1558,63571
Tunisia,11-13-2020,77668,2209,52912
Libya,11-13-2020,72628,995,43259
Kenya,11-13-2020,68193,1228,44872
Algeria,11-13-2020,65975,2124,43779
Nigeria,11-13-2020,64884,1163,60936
Ghana,11-13-2020,50018,320,48179
Cameroon,11-13-2020,22583,433,21510
Cote d'Ivoire,11-13-2020,20899,127,20599
Madagascar,11-13-2020,17223,249,16516
Zambia,11-13-2020,17093,350,16134
Senegal,11-13-2020,15755,326,15400
Uganda,11-13-2020,15402,144,8038
Sudan,11-13-2020,14401,1116,9535
Mozambique,11-13-2020,14227,110,12238
Namibia,11-13-2020,13372,138,12243
Angola,11-13-2020,13228,317,6326
Guinea,11-13-2020,12537,74,10899
Congo (Kinshasa),11-13-2020,11692,318,10983
Cabo Verde,11-13-2020,9741,102,9076
Gabon,11-13-2020,9062,58,8939
Zimbabwe,11-13-2020,8765,257,8090
Botswana,11-13-2020,8225,27,5559
Mauritania,11-13-2020,7932,165,7513
Eswatini,11-13-2020,6076,118,5756
Malawi,11-13-2020,5962,185,5372
Djibouti,11-13-2020,5641,61,5509
Congo (Brazzaville),11-13-2020,5515,92,3887
Rwanda,11-13-2020,5362,42,4993
Equatorial Guinea,11-13-2020,5104,85,4973
Central African Republic,11-13-2020,4888,62,1924
Somalia,11-13-2020,4301,107,3330
Mali,11-13-2020,3806,139,2926
Gambia,11-13-2020,3698,122,3557
South Sudan,11-13-2020,2980,59,1290
Benin,11-13-2020,2844,43,2515
Togo,11-13-2020,2627,60,1856
Burkina Faso,11-13-2020,2609,68,2413
Guinea-Bissau,11-13-2020,2419,43,2255
Sierra Leone,11-13-2020,2389,74,1816
Lesotho,11-13-2020,2041,44,1056
Chad,11-13-2020,1589,100,1435
Liberia,11-13-2020,1491,82,1314
Niger,11-13-2020,1289,69,1145
Sao Tome and Principe,11-13-2020,963,16,916
Burundi,11-13-2020,624,1,549
Comoros,11-13-2020,574,7,542
Tanzania,11-13-2020,509,21,183
Eritrea,11-13-2020,493,0,444
Mauritius,11-13-2020,470,10,428
Seychelles,11-13-2020,160,0,157
Western Sahara,11-13-2020,10,1,8
