Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-11-2020,646398,15378,574587
Egypt,09-11-2020,100708,5607,82473
Morocco,09-11-2020,82197,1524,64194
Ethiopia,09-11-2020,63367,986,24024
Nigeria,09-11-2020,56017,1076,43998
Algeria,09-11-2020,47752,1599,33723
Ghana,09-11-2020,45388,285,44267
Kenya,09-11-2020,35793,616,22442
Libya,09-11-2020,21908,352,2506
Cameroon,09-11-2020,20009,415,18837
Cote d'Ivoire,09-11-2020,18916,119,17960
Madagascar,09-11-2020,15669,209,14320
Senegal,09-11-2020,14193,293,10350
Sudan,09-11-2020,13470,834,6731
Zambia,09-11-2020,13323,306,11899
Congo (Kinshasa),09-11-2020,10361,262,9622
Guinea,09-11-2020,9979,63,9189
Namibia,09-11-2020,9437,98,4898
Gabon,09-11-2020,8643,53,7706
Zimbabwe,09-11-2020,7479,224,5660
Mauritania,09-11-2020,7266,161,6786
Tunisia,09-11-2020,6259,103,1956
Malawi,09-11-2020,5669,177,3720
Djibouti,09-11-2020,5394,61,5327
Eswatini,09-11-2020,5025,98,4165
Equatorial Guinea,09-11-2020,4996,83,4490
Congo (Brazzaville),09-11-2020,4928,88,3887
Mozambique,09-11-2020,4918,31,2899
Central African Republic,09-11-2020,4749,62,1825
Cabo Verde,09-11-2020,4651,44,4076
Rwanda,09-11-2020,4534,22,2450
Uganda,09-11-2020,4377,49,1998
Somalia,09-11-2020,3376,98,2791
Gambia,09-11-2020,3362,100,1582
Angola,09-11-2020,3279,131,1288
Mali,09-11-2020,2912,128,2271
South Sudan,09-11-2020,2568,49,1290
Guinea-Bissau,09-11-2020,2275,39,1127
Botswana,09-11-2020,2252,10,546
Benin,09-11-2020,2242,40,1793
Sierra Leone,09-11-2020,2087,72,1622
Togo,09-11-2020,1548,37,1166
Burkina Faso,09-11-2020,1499,56,1127
Liberia,09-11-2020,1315,82,1199
Lesotho,09-11-2020,1245,33,528
Niger,09-11-2020,1178,69,1100
Chad,09-11-2020,1081,79,934
Sao Tome and Principe,09-11-2020,906,15,866
Tanzania,09-11-2020,509,21,183
Burundi,09-11-2020,469,1,374
Comoros,09-11-2020,456,7,415
Mauritius,09-11-2020,361,10,335
Eritrea,09-11-2020,361,0,304
Seychelles,09-11-2020,138,0,136
Western Sahara,09-11-2020,10,1,8
