Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,08-22-2020,607045,12987,504127
Egypt,08-22-2020,97237,5243,65118
Nigeria,08-22-2020,51905,997,38767
Morocco,08-22-2020,50812,858,35040
Ghana,08-22-2020,43325,261,41408
Algeria,08-22-2020,41068,1424,28874
Ethiopia,08-22-2020,39033,662,14480
Kenya,08-22-2020,32118,542,18453
Cameroon,08-22-2020,18762,408,16540
Cote d'Ivoire,08-22-2020,17374,113,15106
Madagascar,08-22-2020,14277,178,13332
Senegal,08-22-2020,12850,266,8165
Sudan,08-22-2020,12682,815,6492
Zambia,08-22-2020,10831,279,9942
Libya,08-22-2020,10437,188,1085
Congo (Kinshasa),08-22-2020,9811,251,8920
Guinea,08-22-2020,8932,53,7648
Gabon,08-22-2020,8388,53,6734
Mauritania,08-22-2020,6894,158,6203
Zimbabwe,08-22-2020,5893,153,4629
Namibia,08-22-2020,5538,46,2460
Malawi,08-22-2020,5382,168,2998
Djibouti,08-22-2020,5382,60,5233
Equatorial Guinea,08-22-2020,4926,83,3795
Central African Republic,08-22-2020,4679,61,1755
Eswatini,08-22-2020,4189,83,2762
Congo (Brazzaville),08-22-2020,3850,77,1625
Cabo Verde,08-22-2020,3455,37,2538
Mozambique,08-22-2020,3304,20,1474
Somalia,08-22-2020,3269,93,2396
Rwanda,08-22-2020,2889,11,1754
Tunisia,08-22-2020,2738,68,1434
Mali,08-22-2020,2699,125,2010
South Sudan,08-22-2020,2497,47,1290
Gambia,08-22-2020,2437,84,455
Uganda,08-22-2020,2166,20,1199
Guinea-Bissau,08-22-2020,2149,33,1015
Angola,08-22-2020,2134,94,814
Benin,08-22-2020,2115,39,1705
Sierra Leone,08-22-2020,1980,69,1545
Botswana,08-22-2020,1308,3,136
Burkina Faso,08-22-2020,1297,55,1034
Liberia,08-22-2020,1286,82,816
Togo,08-22-2020,1275,27,903
Niger,08-22-2020,1172,69,1083
Lesotho,08-22-2020,1015,30,472
Chad,08-22-2020,982,76,869
Sao Tome and Principe,08-22-2020,892,15,831
Tanzania,08-22-2020,509,21,183
Burundi,08-22-2020,429,1,336
Comoros,08-22-2020,417,7,396
Mauritius,08-22-2020,346,10,334
Eritrea,08-22-2020,306,0,274
Seychelles,08-22-2020,132,0,126
Western Sahara,08-22-2020,10,1,8
