Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,10-03-2020,679716,16938,612763
Morocco,10-03-2020,131228,2293,108687
Egypt,10-03-2020,103575,5970,97274
Ethiopia,10-03-2020,77860,1214,32325
Nigeria,10-03-2020,59287,1113,50718
Algeria,10-03-2020,51995,1756,36482
Ghana,10-03-2020,46803,303,46006
Kenya,10-03-2020,39184,728,25426
Libya,10-03-2020,36087,578,20889
Tunisia,10-03-2020,20944,276,5032
Cameroon,10-03-2020,20924,420,19764
Cote d'Ivoire,10-03-2020,19849,120,19421
Madagascar,10-03-2020,16529,232,15480
Senegal,10-03-2020,15068,312,12751
Zambia,10-03-2020,14974,333,14094
Sudan,10-03-2020,13653,836,6764
Namibia,10-03-2020,11572,123,9419
Congo (Kinshasa),10-03-2020,10752,274,10212
Guinea,10-03-2020,10735,66,10066
Mozambique,10-03-2020,9049,64,5736
Gabon,10-03-2020,8797,54,8067
Uganda,10-03-2020,8662,79,4546
Zimbabwe,10-03-2020,7885,228,6327
Mauritania,10-03-2020,7517,162,7174
Cabo Verde,10-03-2020,6296,62,5409
Malawi,10-03-2020,5783,179,4539
Eswatini,10-03-2020,5530,111,5076
Djibouti,10-03-2020,5418,61,5347
Angola,10-03-2020,5370,193,2436
Congo (Brazzaville),10-03-2020,5089,89,3887
Equatorial Guinea,10-03-2020,5045,83,4879
Rwanda,10-03-2020,4852,29,3211
Central African Republic,10-03-2020,4845,62,1914
Somalia,10-03-2020,3593,99,3001
Gambia,10-03-2020,3590,115,2226
Botswana,10-03-2020,3172,16,710
Mali,10-03-2020,3170,131,2476
South Sudan,10-03-2020,2715,50,1290
Guinea-Bissau,10-03-2020,2362,39,1549
Benin,10-03-2020,2357,41,1973
Sierra Leone,10-03-2020,2259,72,1704
Burkina Faso,10-03-2020,2154,59,1397
Togo,10-03-2020,1840,48,1375
Lesotho,10-03-2020,1680,39,926
Liberia,10-03-2020,1347,82,1221
Chad,10-03-2020,1214,85,1075
Niger,10-03-2020,1200,69,1115
Sao Tome and Principe,10-03-2020,913,15,886
Burundi,10-03-2020,513,1,472
Tanzania,10-03-2020,509,21,183
Comoros,10-03-2020,487,7,466
Eritrea,10-03-2020,398,0,358
Mauritius,10-03-2020,385,10,357
Seychelles,10-03-2020,146,0,143
Western Sahara,10-03-2020,10,1,8
