Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,11-03-2020,728836,19539,659259
Morocco,11-03-2020,229565,3900,189909
Egypt,11-03-2020,108122,6305,99765
Ethiopia,11-03-2020,97502,1494,55254
Libya,11-03-2020,63688,893,36995
Nigeria,11-03-2020,63173,1151,59634
Tunisia,11-03-2020,63126,1483,5032
Algeria,11-03-2020,58979,1980,40577
Kenya,11-03-2020,57093,1039,37846
Ghana,11-03-2020,48200,320,47260
Cameroon,11-03-2020,22103,429,21151
Cote d'Ivoire,11-03-2020,20765,126,20427
Madagascar,11-03-2020,17111,244,16409
Zambia,11-03-2020,16661,349,15763
Senegal,11-03-2020,15640,326,15149
Sudan,11-03-2020,13905,837,6764
Mozambique,11-03-2020,13202,95,10695
Uganda,11-03-2020,13099,115,7612
Namibia,11-03-2020,13030,133,11304
Guinea,11-03-2020,12213,73,10600
Angola,11-03-2020,11577,291,5230
Congo (Kinshasa),11-03-2020,11427,315,10783
Gabon,11-03-2020,8984,55,8779
Cabo Verde,11-03-2020,8944,95,8155
Zimbabwe,11-03-2020,8410,246,7942
Mauritania,11-03-2020,7724,164,7437
Botswana,11-03-2020,6642,24,4676
Eswatini,11-03-2020,5942,117,5669
Malawi,11-03-2020,5934,184,5333
Djibouti,11-03-2020,5575,61,5467
Congo (Brazzaville),11-03-2020,5348,92,3887
Rwanda,11-03-2020,5162,35,4930
Equatorial Guinea,11-03-2020,5089,83,4965
Central African Republic,11-03-2020,4866,62,1924
Somalia,11-03-2020,4229,107,3247
Gambia,11-03-2020,3679,120,3494
Mali,11-03-2020,3584,136,2775
South Sudan,11-03-2020,2940,59,1290
Benin,11-03-2020,2683,41,2455
Burkina Faso,11-03-2020,2530,67,2298
Guinea-Bissau,11-03-2020,2413,41,1818
Togo,11-03-2020,2381,57,1691
Sierra Leone,11-03-2020,2368,74,1803
Lesotho,11-03-2020,1961,44,988
Chad,11-03-2020,1513,98,1331
Liberia,11-03-2020,1436,82,1294
Niger,11-03-2020,1222,69,1141
Sao Tome and Principe,11-03-2020,954,16,907
Burundi,11-03-2020,597,1,511
Comoros,11-03-2020,545,7,498
Tanzania,11-03-2020,509,21,183
Eritrea,11-03-2020,480,0,426
Mauritius,11-03-2020,451,10,413
Seychelles,11-03-2020,157,0,151
Western Sahara,11-03-2020,10,1,8
