Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2021-01-28,1437798,43105,1272197,122496,2424.249270768349,2.9979871998709138
Morocco,2021-01-28,469139,8224,447076,13839,1271.0005147517,1.7529985782465323
Tunisia,2021-01-28,204351,6508,152436,45407,1729.0041458668245,3.184716492701284
Egypt,2021-01-28,164282,9169,128440,26673,160.53511052045263,5.58125661971488
Ethiopia,2021-01-28,135594,2085,121860,11649,117.94474792108834,1.5376786583477144
Nigeria,2021-01-28,127024,1547,100853,24624,61.620258077035025,1.217880085653105
Libya,2021-01-28,116779,1832,96293,18654,1699.5924901761025,1.5687752078712782
Algeria,2021-01-28,106610,2881,72745,30984,243.1187430161228,2.7023731357283554
Kenya,2021-01-28,100422,1753,83757,14912,186.75866173216048,1.7456334269383205
Ghana,2021-01-28,63883,390,59553,3940,205.59006211180125,0.6104910539580171
Zambia,2021-01-28,50319,705,42771,6843,273.7108355091384,1.4010612293567042
Uganda,2021-01-28,39424,318,14114,24992,86.18963293325463,0.8066152597402598
Mozambique,2021-01-28,35833,347,22750,12736,114.64725643896976,0.9683811012195462
Namibia,2021-01-28,33459,332,31409,1718,1316.7650531286895,0.9922591828805404
Zimbabwe,2021-01-28,32646,1160,24419,7067,219.64610105631434,3.5532683942902654
Cameroon,2021-01-28,29617,462,28045,1110,111.5685979055225,1.559914913731978
Sudan,2021-01-28,29066,1798,21155,6113,66.28657438025952,6.18592169545173
Cote d'Ivoire,2021-01-28,27694,151,25542,2001,104.98900598984002,0.5452444572831661
Senegal,2021-01-28,25711,614,21395,3702,153.5535117056856,2.3880829217066624
Congo (Kinshasa),2021-01-28,22322,665,14997,6660,24.92379495539353,2.9791237344323984
Malawi,2021-01-28,22304,628,7548,14128,116.59174072138003,2.815638450502152
Botswana,2021-01-28,21293,134,17198,3961,905.3146258503401,0.629314798290518
Angola,2021-01-28,19672,464,17692,1516,59.85516947605428,2.3586823912159414
Madagascar,2021-01-28,18743,279,17930,534,67.68625185078184,1.4885557274715895
Mauritania,2021-01-28,16543,421,15560,562,355.76344086021504,2.5448830320981686
Eswatini,2021-01-28,15283,538,9833,4912,1317.5,3.520251259569456
Rwanda,2021-01-28,14529,186,9234,5109,112.1757257566399,1.2801982242411727
Guinea,2021-01-28,14435,82,13946,407,109.91395720703572,0.56806373397991
Cabo Verde,2021-01-28,13784,131,12981,672,2479.1366906474823,0.9503772489843296
Gabon,2021-01-28,10536,68,10122,346,473.31536388140165,0.64540622627183
Burkina Faso,2021-01-28,10377,120,8825,1432,49.64359182892408,1.156403584851113
Lesotho,2021-01-28,8278,160,2512,5606,386.4612511671335,1.9328340178787147
Mali,2021-01-28,8056,328,5883,1845,39.78075156782381,4.07149950347567
Congo (Brazzaville),2021-01-28,7887,117,5846,1924,142.93222181949983,1.4834537847090148
Djibouti,2021-01-28,5929,62,5845,22,600.1012145748988,1.0457075392140327
Equatorial Guinea,2021-01-28,5492,86,5268,138,391.44689950106914,1.5659140568099053
Central African Republic,2021-01-28,4981,63,4885,33,103.12629399585921,1.2648062638024493
Togo,2021-01-28,4922,76,4122,724,59.451624592342064,1.5440877691995123
Somalia,2021-01-28,4784,130,3666,988,30.101302460202607,2.717391304347826
Niger,2021-01-28,4474,157,3622,695,18.482257198331062,3.5091640590075994
Gambia,2021-01-28,4019,128,3780,111,166.28051303268515,3.184871858671311
South Sudan,2021-01-28,3929,64,3613,252,35.09916026442737,1.628913209468058
Benin,2021-01-28,3786,48,3398,340,31.229893590695372,1.2678288431061806
Chad,2021-01-28,3296,118,2364,814,20.065749421648608,3.5800970873786406
Sierra Leone,2021-01-28,3282,77,2260,945,41.143286949981196,2.3461304082876295
Comoros,2021-01-28,2598,85,1538,975,298.6206896551724,3.2717474980754426
Guinea-Bissau,2021-01-28,2532,45,2421,66,128.65853658536585,1.7772511848341233
Eritrea,2021-01-28,2085,7,1549,529,58.79864636209814,0.3357314148681055
Liberia,2021-01-28,1936,84,1757,95,38.27599841834717,4.338842975206612
Burundi,2021-01-28,1584,2,773,809,13.32099907493062,0.12626262626262627
Sao Tome and Principe,2021-01-28,1232,17,1011,204,562.5570776255707,1.37987012987013
Seychelles,2021-01-28,1149,3,854,292,1172.4489795918369,0.26109660574412535
Mauritius,2021-01-28,569,10,528,31,44.73270440251572,1.7574692442882252
Tanzania,2021-01-28,509,21,183,305,0.8521110255465899,4.12573673870334
