Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2021-02-17,1496439,48478,1399829,48132,2523.1229661602792,3.239557375876999
Morocco,2021-02-17,479579,8517,461466,9596,1299.2847660588984,1.7759326409204739
Tunisia,2021-02-17,225116,7651,185421,32044,1904.6958287503173,3.3986922297837556
Egypt,2021-02-17,175677,10150,136081,29446,171.67021713213595,5.7776487531094
Nigeria,2021-02-17,149369,1787,125722,21860,72.45997865528282,1.1963660465022863
Ethiopia,2021-02-17,149308,2237,130124,16947,129.87369959291604,1.4982452380314517
Libya,2021-02-17,128348,2056,112731,13561,1867.9668170571967,1.6018948483809643
Algeria,2021-02-17,111247,2947,76489,31811,253.6931882967321,2.649060199376163
Kenya,2021-02-17,103332,1801,85391,16140,192.17050082758365,1.7429257151705184
Ghana,2021-02-17,78271,565,69775,7931,251.89392720368167,0.721851004842151
Zambia,2021-02-17,71677,983,64040,6654,389.8879460400348,1.3714301658830588
Mozambique,2021-02-17,52629,561,32857,19211,168.38585826267797,1.0659522316593513
Uganda,2021-02-17,40102,331,14569,25202,87.67189173826544,0.825395242132562
Namibia,2021-02-17,36440,394,34440,1606,1434.081070444707,1.0812294182217344
Zimbabwe,2021-02-17,35423,1418,31615,2390,238.3300814102133,4.003048866555628
Cameroon,2021-02-17,32098,479,29609,2010,120.91463874029986,1.4923048164994703
Senegal,2021-02-17,31771,769,26095,4907,189.74558050645007,2.42044631897013
Cote d'Ivoire,2021-02-17,31497,180,29741,1576,119.40632345136098,0.5714829983807982
Sudan,2021-02-17,30078,1864,22606,5608,68.59449474332368,6.1972205598776515
Malawi,2021-02-17,29634,976,15321,13337,154.90852064819654,3.2935142066545184
Botswana,2021-02-17,25802,226,21893,3683,1097.0238095238094,0.875901092938532
Congo (Kinshasa),2021-02-17,24602,695,15560,8347,27.469545896093166,2.82497357938379
Angola,2021-02-17,20400,496,18951,953,62.07022454816528,2.431372549019608
Madagascar,2021-02-17,19598,292,18915,391,70.77389765627822,1.4899479538728442
Rwanda,2021-02-17,17716,243,15918,1555,136.78196417541693,1.3716414540528334
Mauritania,2021-02-17,17041,432,16315,294,366.47311827956986,2.535062496332375
Eswatini,2021-02-17,16673,637,12487,3549,1437.3275862068965,3.820548191687159
Guinea,2021-02-17,15088,85,14577,426,114.8861646234676,0.5633616118769883
Cabo Verde,2021-02-17,14848,141,14338,369,2670.5035971223024,0.9496228448275862
Gabon,2021-02-17,13107,75,11955,1077,588.8140161725067,0.5722133211261158
Burkina Faso,2021-02-17,11672,138,11012,522,55.83887480265991,1.1823166552433173
Lesotho,2021-02-17,10375,279,3198,6898,484.36041083099906,2.689156626506024
Congo (Brazzaville),2021-02-17,8419,123,7019,1277,152.5733961580283,1.4609811141465732
Mali,2021-02-17,8256,342,6247,1667,40.768357118167,4.142441860465116
Togo,2021-02-17,6007,81,5146,780,72.55707211015823,1.348426835358748
Djibouti,2021-02-17,6006,63,5868,75,607.8947368421052,1.048951048951049
South Sudan,2021-02-17,5922,79,3876,1967,52.90334107557621,1.3340087808172914
Equatorial Guinea,2021-02-17,5694,87,5426,181,405.84461867426944,1.5279241306638567
Somalia,2021-02-17,5500,172,3750,1578,34.60643050399547,3.127272727272727
Benin,2021-02-17,5143,65,4119,959,42.42349253485111,1.2638537818393933
Central African Republic,2021-02-17,4997,63,4908,26,103.45755693581779,1.2607564538723235
Niger,2021-02-17,4715,170,4193,352,19.477836989300616,3.6055143160127257
Gambia,2021-02-17,4469,138,3912,419,184.89863467107986,3.0879391362720967
Sierra Leone,2021-02-17,3825,79,2583,1163,47.95035727717187,2.065359477124183
Chad,2021-02-17,3724,132,3223,369,22.671374649945207,3.544575725026853
Comoros,2021-02-17,3413,135,3000,278,392.2988505747127,3.9554644008203925
Guinea-Bissau,2021-02-17,2999,46,2482,471,152.38821138211384,1.533844614871624
Eritrea,2021-02-17,2627,7,1973,647,74.08347433728144,0.26646364674533685
Seychelles,2021-02-17,2211,10,1607,594,2256.122448979592,0.45228403437358666
Liberia,2021-02-17,1985,85,1794,106,39.24476077500989,4.282115869017632
Burundi,2021-02-17,1895,3,773,1119,15.936422504415104,0.15831134564643798
Sao Tome and Principe,2021-02-17,1535,20,1136,379,700.9132420091324,1.3029315960912053
Mauritius,2021-02-17,603,10,556,37,47.40566037735849,1.658374792703151
Tanzania,2021-02-17,509,21,183,305,0.8521110255465899,4.12573673870334
