Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2021-01-26,1423578,41797,1254674,127107,2400.2731457283044,2.9360526785325427
Morocco,2021-01-26,467493,8187,444823,14483,1266.5411394977107,1.7512561685415609
Tunisia,2021-01-26,200662,6370,148995,45297,1697.7916913444453,3.174492430056513
Egypt,2021-01-26,163129,9067,127433,26629,159.4084077628159,5.558177883760704
Ethiopia,2021-01-26,134569,2075,120748,11746,117.05316446887721,1.5419598867495485
Nigeria,2021-01-26,124299,1522,99276,23501,60.298340933346275,1.2244668098697495
Libya,2021-01-26,115299,1789,94287,19223,1678.052685198661,1.5516179671983277
Algeria,2021-01-26,106097,2871,72336,30890,241.94887231762104,2.7060143076618566
Kenya,2021-01-26,100193,1750,83625,14818,186.3327816109055,1.7466290060183847
Ghana,2021-01-26,62135,372,58150,3613,199.96459949151998,0.598696386899493
Zambia,2021-01-26,47622,672,40362,6588,259.0404699738903,1.4111125110243166
Uganda,2021-01-26,39261,318,14051,24892,85.83327867777267,0.8099640864980514
Mozambique,2021-01-26,34055,329,21343,12383,108.95856662933932,0.9660842754367934
Namibia,2021-01-26,32957,328,30432,2197,1297.0090515545062,0.9952362168886733
Zimbabwe,2021-01-26,32004,1103,23413,7488,215.32665007064523,3.4464441944756903
Cameroon,2021-01-26,29617,462,28045,1110,111.5685979055225,1.559914913731978
Sudan,2021-01-26,28522,1750,20680,6092,65.04595315742662,6.135614613280977
Cote d'Ivoire,2021-01-26,27237,147,25196,1894,103.25650163014632,0.5397070161912104
Senegal,2021-01-26,25127,592,20870,3665,150.06569517439084,2.3560313606877066
Congo (Kinshasa),2021-01-26,22048,661,14968,6419,24.61785821953752,2.9980043541364294
Malawi,2021-01-26,20830,540,7005,13285,108.88656560376373,2.5924147863658185
Botswana,2021-01-26,20658,124,16794,3740,878.3163265306122,0.6002517184625811
Angola,2021-01-26,19553,462,17388,1703,59.49309316618998,2.362808776146883
Madagascar,2021-01-26,18743,279,17930,534,67.68625185078184,1.4885557274715895
Mauritania,2021-01-26,16460,418,15391,651,353.9784946236559,2.5394896719319564
Eswatini,2021-01-26,14830,517,9542,4771,1278.448275862069,3.4861766689143625
Guinea,2021-01-26,14379,82,13798,499,109.48755044544278,0.5702760970860282
Rwanda,2021-01-26,13885,181,8861,4843,107.20352069178504,1.303564998199496
Cabo Verde,2021-01-26,13619,129,12841,649,2449.460431654676,0.9472061091122697
Gabon,2021-01-26,10411,67,10013,331,467.69991015274036,0.6435500912496398
Burkina Faso,2021-01-26,10157,118,8472,1567,48.591111323733436,1.161760362311706
Lesotho,2021-01-26,8047,146,2398,5503,375.6769374416433,1.8143407481048837
Mali,2021-01-26,8006,327,5731,1948,39.53385018023801,4.084436672495628
Congo (Brazzaville),2021-01-26,7887,117,5846,1924,142.93222181949983,1.4834537847090148
Djibouti,2021-01-26,5923,62,5841,20,599.493927125506,1.0467668411278068
Equatorial Guinea,2021-01-26,5454,86,5219,149,388.7384176764077,1.5768243491015768
Central African Republic,2021-01-26,4980,63,4885,32,103.1055900621118,1.2650602409638554
Somalia,2021-01-26,4754,130,3666,958,29.912540111998993,2.734539335296592
Togo,2021-01-26,4682,76,4005,601,56.55272375890809,1.6232379325074753
Niger,2021-01-26,4407,153,3544,710,18.20547775436857,3.4717494894486043
Gambia,2021-01-26,4012,128,3753,131,165.990897807199,3.1904287138584246
South Sudan,2021-01-26,3788,64,3542,182,33.83955690548508,1.689545934530095
Benin,2021-01-26,3643,48,3317,278,30.05031757815722,1.3175953884161407
Chad,2021-01-26,3225,116,2316,793,19.63350785340314,3.5968992248062013
Sierra Leone,2021-01-26,3194,77,2232,885,40.040115331578285,2.410770194113964
Guinea-Bissau,2021-01-26,2532,45,2421,66,128.65853658536585,1.7772511848341233
Comoros,2021-01-26,2425,77,1441,907,278.7356321839081,3.175257731958763
Eritrea,2021-01-26,1970,7,1530,433,55.55555555555556,0.3553299492385787
Liberia,2021-01-26,1932,84,1733,115,38.19691577698695,4.3478260869565215
Burundi,2021-01-26,1481,2,773,706,12.4547977461946,0.1350438892640108
Sao Tome and Principe,2021-01-26,1210,17,1005,188,552.5114155251141,1.4049586776859504
Seychelles,2021-01-26,1116,3,754,359,1138.7755102040817,0.2688172043010753
Mauritius,2021-01-26,568,10,525,33,44.65408805031446,1.7605633802816902
Tanzania,2021-01-26,509,21,183,305,0.8521110255465899,4.12573673870334
