Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2021-03-25,1541563,52535,1467254,21774,2599.2058540862263,3.407904834249395
Morocco,2021-03-25,493353,8788,481074,3491,1336.601555091978,1.7812803408512767
Tunisia,2021-03-25,248037,8663,214407,24967,2098.6293256620693,3.4926240843100023
Egypt,2021-03-25,198011,11768,151765,34478,193.49483065256902,5.9431041709804004
Ethiopia,2021-03-25,194524,2741,151172,40611,169.2042726418705,1.4090806275832288
Nigeria,2021-03-25,162275,2036,149882,10357,78.72077229067625,1.254660298875366
Libya,2021-03-25,155232,2591,142633,10008,2259.234463687964,1.6691146155431869
Kenya,2021-03-25,126170,2092,91268,32810,234.64320916479141,1.658080367757787
Algeria,2021-03-25,116543,3071,81065,32407,265.77044993272676,2.6350788979175066
Ghana,2021-03-25,89999,737,86621,2641,289.6373056994819,0.8188979877554194
Zambia,2021-03-25,87318,1191,83895,2232,474.967362924282,1.3639799354085067
Mozambique,2021-03-25,66762,753,54095,11914,213.60422332426813,1.1278871214163746
Namibia,2021-03-25,43010,502,40884,1624,1692.6406926406926,1.167170425482446
Cote d'Ivoire,2021-03-25,42074,229,37797,4048,159.50413223140495,0.5442791272519846
Uganda,2021-03-25,40734,334,15147,25253,89.05358431166786,0.8199538469092158
Cameroon,2021-03-25,40622,601,35261,4760,153.02493784374295,1.4794938703165772
Botswana,2021-03-25,38466,506,33903,4057,1635.4591836734694,1.3154474081006604
Senegal,2021-03-25,38255,1028,35811,1416,228.46989966555182,2.6872304273951118
Zimbabwe,2021-03-25,36778,1518,34555,705,247.44667967435916,4.1274675077491985
Malawi,2021-03-25,33387,1108,29260,3019,174.52692106638787,3.3186569622907123
Sudan,2021-03-25,31407,2028,23990,5389,71.62535063513421,6.45715923201834
Congo (Kinshasa),2021-03-25,27729,726,25355,1648,30.961020980114114,2.6181975549064154
Madagascar,2021-03-25,23040,369,21372,1299,83.20392907442852,1.6015624999999998
Angola,2021-03-25,21914,532,20190,1192,66.67680886022029,2.427671807976636
Rwanda,2021-03-25,21210,298,19540,1372,163.75849289684993,1.404997642621405
Guinea,2021-03-25,19232,113,16190,2929,146.4402649813447,0.5875623960066556
Gabon,2021-03-25,18426,109,15863,2454,827.7628032345013,0.5915554108325193
Mauritania,2021-03-25,17712,447,16962,303,380.90322580645164,2.5237127371273713
Eswatini,2021-03-25,17306,666,16250,390,1491.896551724138,3.8483762856812667
Cabo Verde,2021-03-25,16787,164,15936,687,3019.244604316547,0.9769464466551497
Burkina Faso,2021-03-25,12619,145,12294,180,60.36932497727599,1.1490609398526033
Lesotho,2021-03-25,10686,315,4438,5933,498.8795518207283,2.947782144862437
Somalia,2021-03-25,10664,471,4634,5559,67.09872270811049,4.416729182295573
South Sudan,2021-03-25,10048,108,9330,610,89.76237269966053,1.0748407643312101
Congo (Brazzaville),2021-03-25,9681,135,8208,1338,175.44400144980065,1.3944840409048653
Mali,2021-03-25,9647,375,6718,2554,47.63715372080391,3.887218824505027
Togo,2021-03-25,9506,107,7466,1933,114.82063051093128,1.1256048811277088
Benin,2021-03-25,7100,90,6452,558,58.5663614616844,1.267605633802817
Djibouti,2021-03-25,7016,64,6207,745,710.1214574898785,0.9122006841505131
Equatorial Guinea,2021-03-25,6851,102,6335,414,488.3107626514612,1.488833746898263
Gambia,2021-03-25,5303,161,4926,216,219.4042201075714,3.0360173486705637
Central African Republic,2021-03-25,5088,64,4957,67,105.34161490683229,1.257861635220126
Niger,2021-03-25,4964,185,4569,210,20.506465072086584,3.726833199033038
Chad,2021-03-25,4465,158,4080,227,27.182515524169,3.538633818589026
Sierra Leone,2021-03-25,3953,79,2798,1076,49.55497054030337,1.9984821654439666
Seychelles,2021-03-25,3882,18,3318,546,3961.2244897959185,0.46367851622874806
Comoros,2021-03-25,3687,146,3492,49,423.7931034482759,3.9598589639273123
Guinea-Bissau,2021-03-25,3607,61,2911,635,183.28252032520325,1.6911560853895204
Eritrea,2021-03-25,3192,9,2962,221,90.01692047377327,0.28195488721804507
Burundi,2021-03-25,2657,6,773,1878,22.344630392734,0.22581859239744073
Sao Tome and Principe,2021-03-25,2177,34,2026,117,994.0639269406394,1.5617822691777674
Liberia,2021-03-25,2042,85,1899,58,40.37168841439304,4.16258570029383
Mauritius,2021-03-25,853,10,592,251,67.05974842767296,1.1723329425556859
Tanzania,2021-03-25,509,21,183,305,0.8521110255465899,4.12573673870334
