Country/Region,Date,Confirmed,Deaths,Recovered,Active,Incidence Rate,Case - Fatality Ratio
South Africa,2021-01-02,1088889,29175,897704,162010,1835.959129305839,2.6793364612921975
Morocco,2021-01-02,442141,7452,412168,22521,1197.8570073961691,1.6854351892269661
Tunisia,2021-01-02,141979,4765,106050,31164,1201.2776038581944,3.356130131920918
Egypt,2021-01-02,140878,7741,113480,19657,137.66490120585533,5.494825309842559
Ethiopia,2021-01-02,125049,1944,112325,10780,108.77231133224315,1.5545906004846102
Libya,2021-01-02,100744,1487,73252,26005,1466.2203463833503,1.4760184229333757
Algeria,2021-01-02,100159,2769,67611,29779,228.40756197122073,2.764604279196078
Kenya,2021-01-02,96678,1685,79012,15981,179.7958007104201,1.7428991083803969
Nigeria,2021-01-02,89163,1302,74789,13072,43.25361404870476,1.4602469634265334
Ghana,2021-01-02,55064,335,53828,901,177.20850899494738,0.6083829725410431
Uganda,2021-01-02,35712,274,12037,23401,78.07437528694169,0.7672491039426523
Cameroon,2021-01-02,26848,448,24892,1508,101.13764785655088,1.66865315852205
Sudan,2021-01-02,25882,1468,13524,10890,59.02529134073753,5.67189552584808
Namibia,2021-01-02,24654,213,20931,3510,970.2479338842975,0.8639571671939645
Cote d'Ivoire,2021-01-02,22563,138,21981,444,85.53719008264463,0.6116207951070336
Zambia,2021-01-02,21230,392,18942,1896,115.48085291557877,1.8464437117286858
Senegal,2021-01-02,19511,416,17433,1662,116.52532250358338,2.132130592998821
Mozambique,2021-01-02,18968,168,16684,2116,60.68788993760998,0.8857022353437369
Congo (Kinshasa),2021-01-02,17998,595,14716,2687,20.095800627505277,3.305922880320036
Madagascar,2021-01-02,17767,262,17298,207,64.16164096637897,1.4746440029267744
Angola,2021-01-02,17608,407,11189,6012,53.57512322765168,2.3114493412085415
Botswana,2021-01-02,14805,42,12136,2627,629.4642857142857,0.28368794326241137
Mauritania,2021-01-02,14677,353,11913,2411,315.63440860215053,2.4051236628738843
Zimbabwe,2021-01-02,14491,377,11363,2751,97.49714055035994,2.601614795390242
Guinea,2021-01-02,13784,81,13153,550,104.95697860351785,0.5876378409750436
Cabo Verde,2021-01-02,11883,113,11578,192,2137.2302158273383,0.9509383152402592
Eswatini,2021-01-02,9711,227,7096,2388,837.155172413793,2.3375553496035426
Gabon,2021-01-02,9571,64,9388,119,429.9640610961366,0.6686866576115349
Rwanda,2021-01-02,8567,98,6685,1784,66.14422483014206,1.1439243609198086
Mali,2021-01-02,7226,276,4807,2143,35.68218853389956,3.819540548021035
Congo (Brazzaville),2021-01-02,7107,108,5846,1153,128.79666545849946,1.5196285352469396
Burkina Faso,2021-01-02,6940,86,5253,1601,33.20097593646845,1.239193083573487
Malawi,2021-01-02,6712,192,5710,810,35.086251960271824,2.860548271752086
Djibouti,2021-01-02,5841,61,5738,42,591.1943319838057,1.044341722307824
Equatorial Guinea,2021-01-02,5277,86,5136,55,376.1225944404847,1.629713852567747
Central African Republic,2021-01-02,4963,63,1924,2976,102.7536231884058,1.2693935119887165
Somalia,2021-01-02,4714,130,3612,972,29.660856981060846,2.7577428935086976
Gambia,2021-01-02,3800,124,3669,7,157.21969383533306,3.263157894736842
Togo,2021-01-02,3683,68,3457,158,44.4860490397391,1.8463209340211784
South Sudan,2021-01-02,3558,63,3131,364,31.784884759692694,1.770657672849916
Niger,2021-01-02,3437,110,1906,1421,14.19837237162804,3.200465522257783
Benin,2021-01-02,3251,44,3061,146,26.816794522807886,1.353429713934174
Lesotho,2021-01-02,3206,65,1496,1645,149.67320261437908,2.0274485339987525
Sierra Leone,2021-01-02,2646,76,1910,660,33.17036479879654,2.872260015117158
Guinea-Bissau,2021-01-02,2452,45,2397,10,124.59349593495934,1.8352365415986949
Chad,2021-01-02,2169,104,1710,355,13.204675514428347,4.79483633010604
Liberia,2021-01-02,1779,83,1406,290,35.17200474495848,4.665542439572794
Eritrea,2021-01-02,1320,3,643,674,37.22504230118444,0.22727272727272727
Sao Tome and Principe,2021-01-02,1024,17,978,29,467.57990867579906,1.66015625
Comoros,2021-01-02,864,13,732,119,99.3103448275862,1.5046296296296295
Burundi,2021-01-02,822,2,687,133,6.912791186611724,0.24330900243309003
Mauritius,2021-01-02,527,10,496,21,41.430817610062896,1.8975332068311195
Tanzania,2021-01-02,509,21,183,305,0.8521110255465899,4.12573673870334
Seychelles,2021-01-02,285,0,214,71,290.81632653061223,0.0
